clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.367727029745,1.50203704834e-05,-0.6003211,2016_9_26-20_16_22
5.0,2.87697723909,10.4896349907,-0.5339493,2016_9_26-20_16_37
2.0,1.06121720286,2.16373205185,-0.5021896,2016_9_26-20_16_44
3.0,1.62986095448,3.85724401474,-0.4948876,2016_9_26-20_16_51
1.0,0.522533500671,1.74971795082,-0.4907947,2016_9_26-20_16_57
5.0,3.05679644567,2.45304894447,-0.3342491,2016_9_26-20_17_16
3.0,1.79543414432,0.639768123627,-0.5486382,2016_9_26-20_17_27
3.0,1.09607368449,2.21393799782,-0.4947590,2016_9_26-20_17_34
2.0,1.39630252579,2.49765110016,-0.4944406,2016_9_26-20_17_43
1.0,0.700929767647,1.57477283478,-0.4876894,2016_9_26-20_17_49
3.0,1.44358456173,1.66022896767,-0.4684053,2016_9_26-20_17_54
1.0,0.054328233712,0.749920845032,-0.5984115,2016_9_26-20_17_59
5.0,4.11639927689,4.61097002029,-0.3436116,2016_9_26-20_18_15
4.0,1.71468166491,0.792350053787,-0.5061731,2016_9_26-20_18_24
3.0,1.57435310565,1.64461803436,-0.4720877,2016_9_26-20_18_30
4.0,1.82569736413,0.326191186905,-0.5063170,2016_9_26-20_18_34
3.0,1.39041383257,1.43715596199,-0.4812937,2016_9_26-20_18_40
4.0,2.2072420313,4.19716501236,-0.3513409,2016_9_26-20_18_48
3.0,1.92151857156,0.464926958084,-0.5489891,2016_9_26-20_18_57
4.0,1.84290349173,0.936615943909,-0.5032808,2016_9_26-20_19_6
3.0,1.51302042536,2.19622278214,-0.4775988,2016_9_26-20_19_12
5.0,2.27401460879,1.69141316414,-0.3417679,2016_9_26-20_19_20
2.0,0.815779619013,0.960929870605,-0.5990019,2016_9_26-20_19_22
2.0,1.09262560076,1.89478111267,-0.4956514,2016_9_26-20_19_28
4.0,2.13893741768,4.56268000603,-0.5156848,2016_9_26-20_19_39
4.0,1.87736171939,0.59547996521,-0.5019602,2016_9_26-20_19_47
3.0,1.0284432149,1.28172898293,-0.4871302,2016_9_26-20_19_53
3.0,1.87336311643,0.188695907593,-0.5500008,2016_9_26-20_19_58
6.0,3.68017546763,1.9001019001,-0.3400702,2016_9_26-20_20_15
2.0,1.05478852476,0.890151023865,-0.6001664,2016_9_26-20_20_25
5.0,2.38474754847,2.74687600136,-0.3633210,2016_9_26-20_20_41
9.0,3.0471126475,5.01947999001,-0.4973623,2016_9_26-20_20_53
8.0,3.54505348086,1.07498693466,-0.4293750,2016_9_26-20_21_12
8.0,3.53507649333,1.74396491051,-0.4293750,2016_9_26-20_21_34
2.0,2.02335286096,1.2536008358,-0.4623224,2016_9_26-20_21_51
1.0,0.620975071154,0.42693400383,-0.6003211,2016_9_26-20_22_15
