SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
19,2016,9,26,53501391,2016_9_26-14_51_41,2,0,17.2,-3276.8,13,0.01,0.09,4.04,73,14,65535,255,0.8,1.24,1,65535,0,65535,0,0,-1.01,-0.95,0.21,0.26,-0.15,-0.01,24.7,531,175,0,12,37.4,416,422,508,0
20,2016,9,26,53502390,2016_9_26-14_51_42,2,0,17.3,-3276.8,13,0.01,0.04,4.04,73,14,65535,255,0.8,0.56,1,65535,0,65535,0,0,-1,-0.95,0.2,0.26,-0.12,-0.01,24.7,531,254,0,12,37.4,416,422,508,0
21,2016,9,26,53503390,2016_9_26-14_51_43,2,0,17.3,-3276.8,13,0.01,0.03,4.04,73,14,65535,255,0.8,0.24,1,65535,0,65535,0,0,-0.98,-0.95,0.21,0.27,-0.12,-0.01,24.7,531,50,0,12,37.4,415,420,507,0
22,2016,9,26,53504391,2016_9_26-14_51_44,2,0,17.3,-3276.8,12,0.02,0.06,4.04,73,14,65535,255,0.8,0.14,1,65535,0,65535,0,0,-0.98,-0.93,0.2,0.28,-0.12,0,24.7,531,254,0,12,37.4,415,422,507,0
23,2016,9,26,53505390,2016_9_26-14_51_45,2,0,17.3,-3276.8,12,0.01,0.03,4.04,73,15,65535,255,0.8,0.08,1,65535,0,65535,0,0,-0.98,-0.96,0.21,0.26,-0.1,-0.02,24.7,531,254,-1,12,37.4,419,420,507,0
24,2016,9,26,53506391,2016_9_26-14_51_46,2,0,17.1,-3276.8,13,0.01,0.03,4.04,73,15,65535,255,0.8,0.06,1,65535,0,65535,0,0,-1,-0.95,0.2,0.26,-0.12,-0.03,24.7,531,254,0,12,37.4,415,422,507,0
25,2016,9,26,53507391,2016_9_26-14_51_47,2,0,17.1,-3276.8,14,0.04,0.08,4.04,73,15,65535,255,0.8,0.04,1,65535,0,65535,0,0,-1.07,-0.95,0.19,0.25,-0.12,-0.02,24.7,531,254,0,12,37.4,416,421,508,0
26,2016,9,26,53508391,2016_9_26-14_51_48,2,0,16.6,-3276.8,14,0.05,0.14,4.04,73,14,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.01,-0.86,0.21,0.37,-0.16,-0.02,24.6,531,254,0,12,37.4,415,422,508,0
27,2016,9,26,53509391,2016_9_26-14_51_49,2,0,16.6,-3276.8,13,0.04,0.08,4.04,73,13,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.95,0.19,0.25,-0.18,-0.01,24.6,531,254,-75,12,37.4,418,423,508,0
28,2016,9,26,53510392,2016_9_26-14_51_50,2,0,16.1,-3276.8,12,0.04,0.09,4.04,73,11,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.04,-0.96,0.14,0.2,-0.18,0,24.6,531,254,-75,12,37.4,415,421,507,0
29,2016,9,26,53511391,2016_9_26-14_51_51,2,0,16.1,-3276.8,11,0.03,0.12,4.04,73,10,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.01,-0.97,0.02,0.22,-0.07,-0.01,24.6,531,254,0,12,37.4,415,421,508,0
30,2016,9,26,53512393,2016_9_26-14_51_52,2,0,15.7,-3276.8,10,0.01,0.07,4.04,73,9,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1.02,-0.96,0.12,0.2,-0.08,-0.01,24.6,531,254,-75,12,37.4,415,421,492,0
31,2016,9,26,53513389,2016_9_26-14_51_53,2,0,15.7,-3276.8,10,0.01,0.04,4.04,73,8,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.14,0.2,-0.09,-0.01,24.6,531,254,0,12,37.4,414,421,507,0
32,2016,9,26,53514396,2016_9_26-14_51_54,2,0,15.4,-3276.8,10,0.01,0.03,4.04,73,7,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.97,0.15,0.2,-0.07,0,24.6,531,254,-75,12,37.4,415,422,508,0
33,2016,9,26,53515392,2016_9_26-14_51_55,2,0,15.4,-3276.8,10,0.01,0.03,4.04,73,7,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.97,0.15,0.2,-0.07,0,24.6,531,254,0,12,37.4,415,421,507,0
34,2016,9,26,53516393,2016_9_26-14_51_56,2,0,14.7,-3276.8,10,0.01,0.03,4.04,73,6,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.14,0.21,-0.08,-0.01,24.6,531,254,0,12,37.4,419,430,509,0
35,2016,9,26,53517395,2016_9_26-14_51_57,2,0,14.7,-3276.8,10,0.01,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.13,0.21,-0.08,0,24.6,531,254,-75,12,37.4,416,421,507,0
36,2016,9,26,53518392,2016_9_26-14_51_58,2,0,14.2,-3276.8,10,0.01,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.96,0.14,0.2,-0.07,0,24.6,531,254,0,12,37.4,415,420,508,0
37,2016,9,26,53519393,2016_9_26-14_51_59,2,0,14.2,-3276.8,10,0.01,0.03,4.04,73,5,65535,255,0.8,0.02,1,65535,0,65535,0,0,-1,-0.95,0.14,0.21,-0.08,-0.01,24.6,531,254,0,12,37.4,415,413,494,0
38,2016,9,26,53520394,2016_9_26-14_52_0,2,0,13.7,-3276.8,10,0.02,0.07,4.04,73,5,65535,255,0.8,0.96,1,65535,0,65535,0,0,-1,-0.97,0.13,0.2,-0.1,0.01,24.6,531,254,-75,12,37.4,416,422,506,0
39,2016,9,26,53521393,2016_9_26-14_52_1,2,57,13.7,-3276.8,10,0.02,0.04,4.04,73,4,65535,255,0.8,0.5,1,65535,0,65535,0,1,-1.03,-0.96,0.13,0.2,-0.12,-0.01,24.6,528,254,0,12,37.4,414,422,508,0
40,2016,9,26,53522393,2016_9_26-14_52_2,2,53,13.5,-3276.8,10,0.02,0.07,4.04,73,4,65535,255,5.864,0.22,1,65535,0,65535,0,0,-1.02,-0.96,0.14,0.21,-0.13,-0.01,24.6,531,254,-5,12,37.4,415,422,507,0
41,2016,9,26,53523395,2016_9_26-14_52_3,2,51,13.5,-3276.8,12,0.04,0.07,4.04,73,4,65535,255,5.864,0.1,1,65535,0,65535,0,0,-1.01,-0.93,0.18,0.26,-0.14,-0.01,24.6,531,254,-75,12,37.4,417,423,508,0
42,2016,9,26,53524393,2016_9_26-14_52_4,2,51,13.4,-3276.8,12,0.01,0.07,4.04,73,4,65535,255,0,0.04,1,65535,0,65535,0,0,-0.98,-0.95,0.16,0.22,-0.14,-0.04,24.6,531,254,0,12,37.4,415,422,507,0
43,2016,9,26,53525394,2016_9_26-14_52_5,2,50,13.4,-3276.8,12,0.01,0.12,4.04,73,4,65535,255,0,0.06,1,65535,0,65535,0,0,-0.98,-0.96,0.01,0.22,-0.13,-0.04,24.6,531,254,-75,12,37.4,415,420,508,0
44,2016,9,26,53526395,2016_9_26-14_52_6,2,50,13.2,-3276.8,12,0.01,0.1,4.04,73,4,65535,255,0.6,0.06,1,65535,0,65535,0,0,-1,-0.97,0.01,0.2,-0.13,-0.06,24.6,531,254,0,12,37.4,419,426,492,0
45,2016,9,26,53527395,2016_9_26-14_52_7,2,50,13.2,-3276.8,12,0.01,0.03,4.04,73,4,65535,255,0.6,0.04,1,65535,0,65535,0,0,-1.01,-0.95,0.15,0.21,-0.13,-0.04,24.6,531,254,0,12,37.4,415,421,508,0
