SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,9,16,3797065,2016_9_16-1_3_17,2,73,16.7,-3276.8,-34,0.01,0.03,3.906,51,15,65535,255,3.36,0.36,91,65535,100,65535,1,40,-0.86,-0.79,0.51,0.59,0.19,0.21,26.4,512,254,0,12,-0.1,423,429,514,0
1,2016,9,16,3798065,2016_9_16-1_3_18,2,73,17.1,-3276.8,-33,0.02,0.04,3.906,51,14,65535,255,3.22,0.32,92,65535,100,65535,1,41,-0.89,-0.79,0.5,0.57,0.18,0.22,26.4,512,254,-75,12,-0.1,415,420,508,0
2,2016,9,16,3799065,2016_9_16-1_3_19,2,72,17.1,-3276.8,-33,0.02,0.04,3.906,51,13,65535,255,3.22,0.3,93,65535,100,65535,1,42,-0.89,-0.8,0.46,0.55,0.19,0.24,26.4,512,254,0,12,-0.1,415,420,507,0
3,2016,9,16,3800065,2016_9_16-1_3_20,2,71,17.5,-3276.8,-33,0.01,0.04,3.906,51,11,65535,255,3.18,0.32,94,65535,100,65535,1,43,-0.89,-0.79,0.49,0.57,0.19,0.22,26.4,512,254,0,12,-0.1,410,413,481,0
4,2016,9,16,3801066,2016_9_16-1_3_21,2,70,17.5,-3276.8,-33,0.01,0.04,3.905,50,11,65535,255,3.18,0.34,95,65535,100,65535,1,44,-0.86,-0.79,0.49,0.57,0.18,0.22,26.4,512,254,0,12,-0.1,415,420,507,0
5,2016,9,16,3802065,2016_9_16-1_3_22,2,74,17.6,-3276.8,-33,0.01,0.06,3.905,50,10,65535,255,3.28,0.32,95,65535,100,65535,1,45,-0.9,-0.79,0.5,0.57,0.18,0.24,26.4,512,254,0,12,-0.1,417,421,508,0
6,2016,9,16,3803066,2016_9_16-1_3_23,2,73,17.6,-3276.8,-33,0.01,0.06,3.905,50,9,65535,255,3.28,0.32,96,65535,100,65535,1,46,-0.92,-0.8,0.5,0.57,0.19,0.24,26.4,512,254,-75,12,-0.1,415,420,507,0
7,2016,9,16,3804066,2016_9_16-1_3_24,2,73,17.6,-3276.8,-30,0.11,0.09,3.905,50,9,65535,255,3.16,0.82,93,65535,100,65535,1,47,-0.91,-0.8,0.43,0.56,0.18,0.27,26.4,512,254,0,12,-0.1,415,420,507,0
8,2016,9,16,3805065,2016_9_16-1_3_25,2,73,17.6,-3276.8,-34,0.12,0.31,3.905,50,9,65535,255,3.16,3.28,81,65535,100,65535,1,48,-1.01,-0.77,0.19,0.56,0.19,0.45,26.4,512,254,0,12,-0.1,412,405,496,0
9,2016,9,16,3806065,2016_9_16-1_3_26,2,72,17.3,-3276.8,-36,0.06,0.12,3.905,50,8,65535,255,3.18,2.72,71,65535,100,65535,1,49,-0.84,-0.78,0.5,0.59,0.32,0.37,26.4,512,254,-75,12,-0.1,415,419,507,0
10,2016,9,16,3807066,2016_9_16-1_3_27,2,72,17.3,-3276.8,-37,0.03,0.08,3.905,50,8,65535,255,3.18,1.78,64,65535,100,65535,1,50,-0.81,-0.77,0.53,0.59,0.31,0.37,26.4,512,254,0,12,-0.1,415,421,509,0
11,2016,9,16,3808066,2016_9_16-1_3_28,2,71,17.4,-3276.8,-38,0.02,0.04,3.905,50,7,65535,255,3.14,1.3,60,65535,100,65535,1,51,-0.83,-0.78,0.51,0.59,0.3,0.38,26.4,512,254,0,12,37.1,415,419,507,0
12,2016,9,16,3809067,2016_9_16-1_3_29,2,70,17.4,-3276.8,-39,0.01,0.03,3.905,50,7,65535,255,3.14,0.92,60,65535,100,65535,1,52,-0.81,-0.78,0.5,0.57,0.31,0.37,26.4,512,254,-75,12,37.1,414,419,506,0
13,2016,9,16,3810066,2016_9_16-1_3_30,2,69,17.5,-3276.8,-39,0.01,0.03,3.905,50,6,65535,255,3.12,0.68,64,65535,100,65535,1,53,-0.81,-0.78,0.51,0.57,0.31,0.37,26.4,512,254,0,12,37.1,415,421,507,0
14,2016,9,16,3811066,2016_9_16-1_3_31,2,71,17.5,-3276.8,-39,0.01,0.03,3.905,50,6,65535,255,3.12,0.54,68,65535,100,65535,1,54,-0.81,-0.77,0.51,0.59,0.31,0.37,26.4,512,254,-9,12,37.1,414,421,507,0
15,2016,9,16,3812066,2016_9_16-1_3_32,2,74,17.5,-3276.8,-39,0.02,0.03,3.905,50,5,65535,255,3.1,0.58,72,65535,100,65535,1,55,-0.81,-0.77,0.5,0.59,0.28,0.37,26.4,512,254,0,12,37.1,415,419,507,0
16,2016,9,16,3813067,2016_9_16-1_3_33,2,77,17.5,-3276.8,-38,0.01,0.04,3.905,50,5,65535,255,3.1,0.6,76,65535,100,65535,1,56,-0.83,-0.77,0.49,0.57,0.3,0.37,26.5,512,254,0,12,37.1,415,419,507,0
17,2016,9,16,3814067,2016_9_16-1_3_34,2,82,17.6,-3276.8,-38,0.02,0.06,3.904,50,5,65535,255,3.1,0.6,79,65535,100,65535,1,57,-0.83,-0.77,0.49,0.56,0.26,0.39,26.5,512,254,-75,12,37.1,415,420,507,0
18,2016,9,16,3815067,2016_9_16-1_3_35,2,82,17.6,-3276.8,-37,0.02,0.04,3.903,50,5,65535,255,3.1,0.52,81,65535,100,65535,1,58,-0.84,-0.78,0.5,0.57,0.28,0.36,26.5,512,254,0,12,37.1,414,419,507,0
19,2016,9,16,3816068,2016_9_16-1_3_36,2,79,17.3,-3276.8,-37,0.03,0.06,3.903,50,5,65535,255,3.02,0.6,84,65535,100,65535,1,59,-0.85,-0.75,0.48,0.57,0.26,0.37,26.5,512,254,0,12,37.1,415,418,507,0
20,2016,9,16,3817068,2016_9_16-1_3_37,2,80,17.3,-3276.8,-37,0.01,0.06,3.903,50,5,65535,255,3.02,0.56,86,65535,100,65535,1,60,-0.84,-0.77,0.51,0.57,0.25,0.36,26.5,512,254,-75,12,37.1,415,418,507,0
21,2016,9,16,3818068,2016_9_16-1_3_38,2,81,17.1,-3276.8,-38,0.01,0.03,3.903,50,5,65535,255,3,0.5,88,65535,100,65535,1,61,-0.84,-0.78,0.5,0.57,0.31,0.37,26.5,512,254,1,12,37.1,416,423,500,0
22,2016,9,16,3819067,2016_9_16-1_3_39,2,80,17.1,-3276.8,-38,0.01,0.03,3.903,50,4,65535,255,3,0.44,89,65535,100,65535,1,62,-0.81,-0.75,0.5,0.57,0.3,0.36,26.5,512,254,1,12,37.1,415,420,508,0
23,2016,9,16,3820070,2016_9_16-1_3_40,2,77,16.9,-3276.8,-38,0.01,0.06,3.903,50,4,65535,255,2.98,0.4,91,65535,100,65535,1,63,-0.83,-0.78,0.51,0.59,0.25,0.37,26.5,512,254,-75,12,37.1,422,426,514,0
24,2016,9,16,3821067,2016_9_16-1_3_41,2,80,16.9,-3276.8,-38,0.01,0.03,3.903,50,4,65535,255,2.98,0.38,92,65535,100,65535,1,64,-0.83,-0.78,0.49,0.57,0.3,0.37,26.5,512,254,0,12,37.1,414,420,507,0
25,2016,9,16,3822068,2016_9_16-1_3_42,2,83,16.7,-3276.8,-39,0.01,0.03,3.903,50,4,65535,255,3,0.36,93,65535,100,65535,1,65,-0.83,-0.78,0.5,0.57,0.3,0.37,26.5,512,254,-75,12,37.1,415,420,507,0
26,2016,9,16,3823070,2016_9_16-1_3_43,2,83,16.7,-3276.8,-39,0.01,0.03,3.903,50,4,65535,255,3,0.36,94,65535,100,65535,1,66,-0.84,-0.77,0.51,0.57,0.31,0.37,26.5,512,254,1,12,37.1,425,411,508,0
27,2016,9,16,3824071,2016_9_16-1_3_44,2,82,16.2,-3276.8,-39,0.01,0.03,3.903,50,4,65535,255,3.32,0.36,94,65535,100,65535,1,67,-0.84,-0.78,0.5,0.57,0.3,0.37,26.5,512,254,1,12,37.1,414,420,507,0
28,2016,9,16,3825070,2016_9_16-1_3_45,2,78,16.2,-3276.8,-39,0.01,0.02,3.903,50,4,65535,255,3.32,0.34,95,65535,100,65535,1,68,-0.81,-0.78,0.51,0.57,0.31,0.37,26.5,512,254,-75,12,37.1,415,420,517,0
29,2016,9,16,3826068,2016_9_16-1_3_46,2,77,16.1,-3276.8,-39,0.01,0.03,3.903,50,4,65535,255,3.28,0.3,96,65535,100,65535,1,69,-0.81,-0.78,0.5,0.59,0.3,0.37,26.5,512,254,0,12,37.1,415,419,507,0
30,2016,9,16,3827067,2016_9_16-1_3_47,2,77,16.1,-3276.8,-38,0.01,0.06,3.903,50,4,65535,255,3.28,0.3,96,65535,100,65535,1,70,-0.83,-0.78,0.5,0.57,0.27,0.36,26.6,512,254,0,12,37.1,415,420,507,0
31,2016,9,16,3828070,2016_9_16-1_3_48,2,82,15.7,-3276.8,-38,0.01,0.03,3.902,50,4,65535,255,3.3,0.36,97,65535,100,65535,1,71,-0.81,-0.77,0.5,0.57,0.3,0.37,26.6,512,254,-75,12,37.1,414,420,507,0
32,2016,9,16,3829070,2016_9_16-1_3_49,2,82,15.7,-3276.8,-38,0.01,0.03,3.902,50,5,65535,255,3.3,0.3,97,65535,100,65535,1,72,-0.84,-0.78,0.5,0.57,0.3,0.37,26.6,512,254,0,12,37.1,415,420,507,0
33,2016,9,16,3830071,2016_9_16-1_3_50,2,81,15.3,-3276.8,-38,0.01,0.03,3.902,50,5,65535,255,3.4,0.34,98,65535,100,65535,1,73,-0.81,-0.78,0.5,0.57,0.3,0.37,26.6,512,254,-75,12,37.1,414,419,507,0
34,2016,9,16,3831070,2016_9_16-1_3_51,2,78,15.3,-3276.8,-37,0.01,0.03,3.902,50,4,65535,255,3.4,0.36,98,65535,100,65535,1,74,-0.84,-0.78,0.5,0.57,0.28,0.37,26.6,512,254,0,12,37.1,415,420,506,0
35,2016,9,16,3832071,2016_9_16-1_3_52,2,79,15,-3276.8,-38,0.01,0.04,3.902,50,4,65535,255,3.44,0.32,98,65535,100,65535,1,75,-0.84,-0.77,0.49,0.57,0.3,0.37,26.6,512,254,0,12,37.1,415,420,507,0
36,2016,9,16,3833071,2016_9_16-1_3_53,2,78,15,-3276.8,-39,0.01,0.03,3.902,50,4,65535,255,3.44,0.3,98,65535,100,65535,1,76,-0.84,-0.77,0.51,0.59,0.3,0.37,26.6,512,254,-75,12,37.1,415,421,507,0
37,2016,9,16,3834071,2016_9_16-1_3_54,2,77,14.7,-3276.8,-38,0.01,0.03,3.902,50,4,65535,255,3.28,0.36,99,65535,100,65535,1,77,-0.84,-0.77,0.51,0.57,0.3,0.37,26.6,512,254,2,12,37.1,415,420,507,0
38,2016,9,16,3835073,2016_9_16-1_3_55,2,80,14.7,-3276.8,-39,0.01,0.03,3.902,50,4,65535,255,3.28,0.36,99,65535,100,65535,1,78,-0.84,-0.78,0.51,0.57,0.31,0.37,26.6,512,254,0,12,37.1,415,420,507,0
39,2016,9,16,3836071,2016_9_16-1_3_56,2,78,14.4,-3276.8,-38,0.01,0.03,3.902,50,5,65535,255,3.36,0.34,99,65535,100,65535,1,79,-0.81,-0.78,0.5,0.57,0.3,0.37,26.6,512,254,-75,12,37.1,415,420,506,0
40,2016,9,16,3837071,2016_9_16-1_3_57,2,77,14.4,-3276.8,-39,0.01,0.03,3.902,50,5,65535,255,3.36,0.34,99,65535,100,65535,1,80,-0.81,-0.78,0.49,0.59,0.3,0.37,26.6,512,254,0,12,37.1,415,419,506,0
41,2016,9,16,3838071,2016_9_16-1_3_58,2,77,14.5,-3276.8,-39,0.01,0.04,3.902,50,5,65535,255,3.42,0.36,99,65535,100,65535,1,81,-0.84,-0.78,0.51,0.59,0.28,0.37,26.6,512,254,-75,12,37.1,415,420,507,0
42,2016,9,16,3839072,2016_9_16-1_3_59,2,79,14.5,-3276.8,-39,0.01,0.03,3.902,50,5,65535,255,3.42,0.34,99,65535,100,65535,1,82,-0.83,-0.78,0.5,0.57,0.3,0.37,26.6,512,254,-75,12,37.1,415,420,507,0
43,2016,9,16,3840071,2016_9_16-1_4_0,2,77,14.5,-3276.8,-39,0.01,0.04,3.902,50,4,65535,255,3.36,0.34,99,65535,100,65535,1,83,-0.83,-0.77,0.51,0.59,0.28,0.36,26.6,512,254,0,12,37.1,415,420,508,0
44,2016,9,16,3841072,2016_9_16-1_4_1,2,76,14.5,-3276.8,-39,0.01,0.03,3.901,50,4,65535,255,3.36,0.36,99,65535,100,65535,1,84,-0.83,-0.78,0.51,0.57,0.31,0.37,26.6,512,254,-75,12,37.1,415,420,507,0
45,2016,9,16,3842072,2016_9_16-1_4_2,2,78,14.6,-3276.8,-39,0.01,0.03,3.901,50,4,65535,255,3.26,0.32,100,65535,100,65535,1,85,-0.81,-0.78,0.5,0.57,0.3,0.37,26.6,512,254,-75,12,37.1,415,419,506,0
46,2016,9,16,3843072,2016_9_16-1_4_3,2,78,14.6,-3276.8,-39,0.01,0.03,3.901,50,4,65535,255,3.26,0.34,100,65535,100,65535,1,86,-0.84,-0.78,0.5,0.57,0.28,0.37,26.6,512,254,0,12,37.1,421,422,501,0
47,2016,9,16,3844075,2016_9_16-1_4_4,2,80,14.9,-3276.8,-39,0.01,0.13,3.901,50,4,65535,255,3.24,0.32,100,65535,100,65535,1,87,-0.84,-0.77,0.49,0.59,0.31,0.55,26.6,512,254,-75,12,37.1,415,420,507,0
48,2016,9,16,3845072,2016_9_16-1_4_5,2,82,14.9,-3276.8,-38,0.01,0.04,3.901,50,3,65535,255,3.24,0.32,100,65535,100,65535,1,88,-0.83,-0.78,0.48,0.56,0.3,0.38,26.6,512,254,0,12,37.1,415,420,507,0
49,2016,9,16,3846073,2016_9_16-1_4_6,2,78,15.2,-3276.8,-39,0.01,0.03,3.901,50,3,65535,255,3.4,0.3,100,65535,100,65535,1,89,-0.81,-0.77,0.5,0.57,0.3,0.37,26.6,512,254,-75,12,37.1,414,419,507,0
50,2016,9,16,3847075,2016_9_16-1_4_7,2,76,15.2,-3276.8,-38,0.01,0.03,3.901,50,3,65535,255,3.4,0.28,100,65535,100,65535,1,90,-0.81,-0.77,0.5,0.57,0.3,0.37,26.6,512,254,-75,12,37.1,415,420,507,0
51,2016,9,16,3848075,2016_9_16-1_4_8,2,76,15.8,-3276.8,-38,0.01,0.03,3.901,50,3,65535,255,3.5,0.3,100,65535,100,65535,1,91,-0.84,-0.77,0.5,0.56,0.3,0.37,26.6,512,254,1,12,37.1,415,420,504,0
52,2016,9,16,3849075,2016_9_16-1_4_9,2,76,15.8,-3276.8,-39,0.01,0.04,3.901,50,3,65535,255,3.5,0.32,100,65535,100,65535,1,92,-0.84,-0.78,0.51,0.57,0.28,0.37,26.6,512,254,-75,12,37.1,415,420,507,0
53,2016,9,16,3850076,2016_9_16-1_4_10,2,77,16,-3276.8,-39,0.01,0.03,3.901,50,3,65535,255,3.46,0.34,100,65535,100,65535,1,93,-0.84,-0.78,0.51,0.59,0.28,0.37,26.6,512,254,-75,12,37.1,415,420,507,0
54,2016,9,16,3851074,2016_9_16-1_4_11,2,79,16,-3276.8,-39,0.01,0.03,3.901,50,2,65535,255,3.46,0.32,100,65535,100,65535,1,94,-0.84,-0.77,0.51,0.57,0.31,0.37,26.6,512,254,1,12,37.1,415,419,507,0
