clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0,0.4860043654,1.90734863281E-05,-0.6003211,2016_09_16-20_1_49
2,1.2875745915,9.4588010311,-0.6230363,2016_09_16-20_2_2
2,1.98562156,6.638890028,-0.4285624,2016_09_16-20_2_17
4,1.8483814543,14.9582779408,-0.6590826,2016_09_16-20_2_35
4,2.1835687992,13.3937311172,-0.6320397,2016_09_16-20_2_49
2,1.7725058601,7.8114709854,-0.622677,2016_09_16-20_3_1
2,1.4238347193,5.7710359097,-0.4693831,2016_09_16-20_3_10
2,0.6246374376,7.9077920914,-0.6141999,2016_09_16-20_3_20
4,2.3137856001,8.19962883,-0.5589783,2016_09_16-20_3_39
6,3.2097801296,9.3828639984,-0.5895845,2016_09_16-20_4_3
