SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
73,2016,9,26,73903276,2016_9_26-20_31_43,2,16,13.5,-3276.8,-40,0.05,0.13,3.929,54,12,65535,255,8.14,14.24,1,65535,0,65535,0,0,-0.79,-0.72,0.59,0.77,0.12,0.24,25,531,254,0,12,37,415,420,508,0
74,2016,9,26,73904275,2016_9_26-20_31_44,2,16,13.5,-3276.8,-40,0.03,0.12,3.929,54,10,65535,255,8.14,9.98,1,65535,0,65535,0,0,-0.83,-0.74,0.59,0.73,0.02,0.18,25,531,254,0,12,37,414,421,507,0
75,2016,9,26,73905276,2016_9_26-20_31_45,2,16,13.8,-3276.8,-38,0.03,0.07,3.929,54,9,65535,255,8.14,8.84,1,65535,0,65535,0,0,-0.84,-0.77,0.56,0.68,0.08,0.22,25,531,254,0,12,37,413,414,505,0
76,2016,9,26,73906275,2016_9_26-20_31_46,2,16,13.8,-3276.8,-38,0.03,0.08,3.929,54,9,65535,255,8.14,16.9,1,65535,0,65535,0,0,-0.87,-0.71,0.55,0.65,0.07,0.18,25,531,254,-8,12,37,415,421,507,0
77,2016,9,26,73907276,2016_9_26-20_31_47,2,16,12.7,-3276.8,-38,0.05,0.2,3.929,54,8,65535,255,8.14,18.56,1,65535,0,65535,0,0,-0.98,-0.69,0.5,0.67,0.02,0.32,25,531,254,-75,12,37,427,431,510,0
78,2016,9,26,73908275,2016_9_26-20_31_48,2,16,12.7,-3276.8,-38,0.03,0.14,3.929,54,8,65535,255,8.14,8.92,1,65535,0,65535,3,0,-0.86,-0.67,0.59,0.69,0.13,0.36,25,528,254,0,12,37,416,421,507,0
79,2016,9,26,73909276,2016_9_26-20_31_49,2,16,11.8,-3276.8,-38,0.02,0.09,3.929,54,8,65535,255,8.14,7.78,1,65535,0,65535,3,1,-0.83,-0.77,0.56,0.72,0.04,0.21,25,528,254,-7,12,37,415,421,508,0
80,2016,9,26,73910275,2016_9_26-20_31_50,2,17,11.8,-3276.8,-37,0.05,0.15,3.929,54,8,65535,255,8.14,5.62,1,65535,0,65535,0,0,-0.96,-0.77,0.53,0.67,0.15,0.2,25,531,254,-75,12,37,413,418,497,0
81,2016,9,26,73911275,2016_9_26-20_31_51,2,17,11.2,-3276.8,-34,0.08,0.12,3.929,54,7,65535,255,8.14,5.82,1,65535,0,65535,0,1,-0.91,-0.77,0.5,0.61,0.1,0.36,25,528,254,-12,12,37,415,421,507,0
82,2016,9,26,73912276,2016_9_26-20_31_52,2,17,11.2,-3276.8,-15,0.52,0.48,3.929,54,7,65535,255,8.14,3.96,1,65535,0,65535,0,0,-1.02,-0.78,0.02,0.6,0,0.18,25,531,254,0,12,37,415,422,507,0
