clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0,1.69277191162e-05,-0.6044302,2016_9_26-20_32_14
11.0,6.15216102728,9.11125707626,-0.4345805,2016_9_26-20_32_36
4.0,1.71340308414,1.09886693954,-0.3765978,2016_9_26-20_32_43
5.0,3.09764791283,0.796439886093,-0.4509620,2016_9_26-20_32_52
2.0,0.723432362451,2.27558994293,-0.4963256,2016_9_26-20_32_57
4.0,2.1953936139,4.5822429657,-0.4640027,2016_9_26-20_33_8
4.0,1.61922449714,5.30543994904,-0.4397776,2016_9_26-20_33_18
5.0,2.72027686931,4.33386898041,-0.3272771,2016_9_26-20_33_32
3.0,1.05196364467,1.79085612297,-0.4902354,2016_9_26-20_33_36
13.0,5.53414613123,3.44582605362,-0.4978535,2016_9_26-20_33_55
5.0,1.76148856545,1.0289709568,-0.3838781,2016_9_26-20_34_0
13.0,5.43324504472,10.0279209614,-0.5500226,2016_9_26-20_34_18
5.0,1.83155352605,5.60117411613,-0.3820847,2016_9_26-20_34_27
5.0,3.06528316766,0.259320020676,-0.4569807,2016_9_26-20_34_38
3.0,1.23854420553,1.12532687187,-0.4946193,2016_9_26-20_34_46
7.0,3.23030006508,6.17867398262,-0.3310470,2016_9_26-20_34_57
11.0,4.78541527603,10.2378470898,-0.5637360,2016_9_26-20_35_12
2.0,2.14812162387,0.269294977188,-0.5520196,2016_9_26-20_35_18
6.0,2.61674664493,2.16596698761,-0.3576359,2016_9_26-20_35_28
6.0,2.46325024604,2.03469491005,-0.4143558,2016_9_26-20_35_37
2.0,1.45492163602,0.0997169017792,-0.5733583,2016_9_26-20_35_41
18.0,8.25461129807,2.02695512772,-0.4765425,2016_9_26-20_36_15
6.0,2.81550860527,2.75669813156,-0.3408384,2016_9_26-20_36_23
5.0,2.30022624646,2.01967096329,-0.3417679,2016_9_26-20_36_30
7.0,2.2860796004,3.34412193298,-0.4222958,2016_9_26-20_36_39
3.0,1.18976190714,2.50156402588,-0.4938013,2016_9_26-20_36_44
4.0,1.7103055211,3.53301405907,-0.4039029,2016_9_26-20_36_50
5.0,1.1639864096,5.94887208939,-0.3965382,2016_9_26-20_37_0
11.0,3.08053889079,9.43352913857,-0.5767776,2016_9_26-20_37_19
6.0,2.57507927829,0.243172168732,-0.5029455,2016_9_26-20_37_31
8.0,2.68508494598,2.09256005287,-0.4346619,2016_9_26-20_37_45
5.0,1.39249448023,2.12263202667,-0.4511042,2016_9_26-20_37_51
11.0,4.66378269418,1.41724014282,-0.4758018,2016_9_26-20_38_12
1.0,0.753323927249,0.204828977585,-0.6050206,2016_9_26-20_38_30
