clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.00219184321079,8.82148742676e-06,-0.6044302,2016_9_26-20_32_14
5.0,3.33442365698,6.04381489754,-0.3313768,2016_9_26-20_32_25
4.0,1.68751911878,0.931504964828,-0.5078839,2016_9_26-20_32_31
2.0,0.981663058142,1.44269704819,-0.4955552,2016_9_26-20_32_35
5.0,1.87066112852,4.22388100624,-0.3704379,2016_9_26-20_32_43
3.0,2.68562397163,2.4944229126,-0.3521745,2016_9_26-20_32_51
4.0,1.65227099395,1.24093389511,-0.3931454,2016_9_26-20_33_1
3.0,1.66768422939,5.44921994209,-0.5435441,2016_9_26-20_33_10
6.0,2.88565858526,9.25909805298,-0.5816903,2016_9_26-20_33_24
3.0,1.45320080517,4.89752411842,-0.5127253,2016_9_26-20_33_31
6.0,2.81699171351,4.72206616402,-0.3897238,2016_9_26-20_33_40
4.0,1.97414192454,4.59439182281,-0.4536779,2016_9_26-20_33_47
9.0,2.77602249197,0.679622173309,-0.5786284,2016_9_26-20_33_58
5.0,2.23487199995,1.81121587753,-0.3453698,2016_9_26-20_34_5
8.0,2.89943680964,3.15826582909,-0.4275530,2016_9_26-20_34_14
9.0,3.87170354939,7.67027497292,-0.5787216,2016_9_26-20_34_33
1.0,1.25002800672,0.0655410289764,-0.6065455,2016_9_26-20_34_36
3.0,1.52782420368,1.38625097275,-0.4681653,2016_9_26-20_34_41
6.0,2.21479810784,8.38001298904,-0.5460337,2016_9_26-20_34_53
5.0,2.44389778772,2.62710595131,-0.3840248,2016_9_26-20_34_59
7.0,3.16415289762,4.12358689308,-0.3671274,2016_9_26-20_35_9
2.0,1.57719948368,0.192256212234,-0.5761647,2016_9_26-20_35_14
6.0,2.53936466503,1.88881897926,-0.3921057,2016_9_26-20_35_22
2.0,1.32642237478,0.570232868195,-0.5816706,2016_9_26-20_35_28
7.0,3.42965571054,0.261214971542,-0.4587267,2016_9_26-20_35_39
3.0,1.91262712936,1.70829796791,-0.4475211,2016_9_26-20_35_49
7.0,3.15024491446,4.91475391388,-0.3939722,2016_9_26-20_36_1
3.0,0.799594007916,0.968919992447,-0.5961447,2016_9_26-20_36_5
5.0,2.92004765862,2.8101170063,-0.3148052,2016_9_26-20_36_13
5.0,1.72370575909,1.31398200989,-0.3842729,2016_9_26-20_36_19
6.0,2.4950865868,2.95464801788,-0.4053062,2016_9_26-20_36_28
4.0,2.07209458378,0.444224119186,-0.5445465,2016_9_26-20_36_34
7.0,2.33034335296,4.20683884621,-0.4091391,2016_9_26-20_36_44
4.0,1.81193639517,1.07526421547,-0.3718519,2016_9_26-20_36_52
5.0,1.07452292141,1.75424718857,-0.4705274,2016_9_26-20_37_0
10.0,3.04363285853,5.09476780891,-0.4988179,2016_9_26-20_37_17
5.0,1.63849904369,5.70458388329,-0.4067582,2016_9_26-20_37_26
4.0,1.3875844612,1.79251813889,-0.4454615,2016_9_26-20_37_32
5.0,1.81546429393,2.1990070343,-0.3959742,2016_9_26-20_37_40
5.0,1.58503369422,0.892060995102,-0.5428049,2016_9_26-20_37_50
4.0,2.04513928258,0.774266958237,-0.5318346,2016_9_26-20_37_59
4.0,1.25647243708,0.0683491230011,-0.5904901,2016_9_26-20_38_3
