SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,9,16,5754081,2016_9_16-1_35_54,2,79,14.8,-3276.8,-31,0.01,0.04,3.885,47,6,65535,255,3.2,0.56,84,65535,100,65535,1,31,-0.92,-0.83,0.45,0.54,0.19,0.24,28.7,512,254,-75,12,37.2,415,420,506,0
1,2016,9,16,5755081,2016_9_16-1_35_55,2,77,14.8,-3276.8,-31,0.02,0.04,3.885,47,5,65535,255,3.2,0.56,86,65535,100,65535,1,32,-0.93,-0.83,0.44,0.54,0.18,0.22,28.7,512,254,1,12,37.2,415,419,507,0
2,2016,9,16,5756081,2016_9_16-1_35_56,2,73,14.5,-3276.8,-31,0.01,0.04,3.885,47,5,65535,255,3.32,0.5,88,65535,100,65535,1,33,-0.9,-0.81,0.45,0.53,0.18,0.22,28.7,512,254,-75,12,37.2,415,419,507,0
3,2016,9,16,5757081,2016_9_16-1_35_57,2,72,14.5,-3276.8,-31,0.01,0.03,3.885,47,5,65535,255,3.32,0.6,89,65535,100,65535,1,34,-0.91,-0.83,0.44,0.54,0.18,0.21,28.7,512,254,1,12,37.2,424,424,522,0
4,2016,9,16,5758081,2016_9_16-1_35_58,2,71,14.3,-3276.8,-31,0.01,0.04,3.885,47,5,65535,255,3.34,0.66,91,65535,100,65535,1,35,-0.91,-0.81,0.44,0.53,0.19,0.21,28.7,512,254,2,12,37.2,415,420,507,0
5,2016,9,16,5759081,2016_9_16-1_35_59,2,68,14.3,-3276.8,-31,0.01,0.04,3.885,47,4,65535,255,3.34,0.62,92,65535,100,65535,1,36,-0.92,-0.83,0.45,0.53,0.19,0.22,28.7,512,254,-75,12,37.2,416,421,508,0
6,2016,9,16,5760082,2016_9_16-1_36_0,2,66,13.7,-3276.8,-31,0.01,0.03,3.885,47,4,65535,255,3.12,0.64,92,65535,100,65535,1,37,-0.91,-0.83,0.45,0.53,0.18,0.22,28.7,512,254,0,12,37.2,415,419,507,0
7,2016,9,16,5761083,2016_9_16-1_36_1,2,67,13.7,-3276.8,-31,0.01,0.04,3.885,47,3,65535,255,3.12,0.64,93,65535,100,65535,1,38,-0.92,-0.83,0.44,0.51,0.19,0.21,28.7,512,254,2,12,37.2,415,420,507,0
8,2016,9,16,5762084,2016_9_16-1_36_2,2,67,13.6,-3276.8,-31,0.01,0.04,3.884,47,3,65535,255,3.24,0.6,94,65535,100,65535,1,39,-0.92,-0.84,0.44,0.53,0.18,0.21,28.7,512,254,-75,12,37.2,415,419,507,0
9,2016,9,16,5763083,2016_9_16-1_36_3,2,65,13.6,-3276.8,-31,0.01,0.04,3.884,47,3,65535,255,3.24,0.6,95,65535,100,65535,1,40,-0.91,-0.81,0.45,0.53,0.18,0.22,28.7,512,254,2,12,37.2,415,420,507,0
