clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0,0.676912846,1.00135803223E-05,-0.6003211,2016_09_16-20_44_1
6,4.2019274668,6.5836260319,-0.3319205,2016_09_16-20_44_24
2,1.5947783638,8.3556799889,-0.6166207,2016_09_16-20_44_36
4,2.2408262563,9.5710861683,-0.5817123,2016_09_16-20_44_49
5,2.7033266844,9.7993168831,-0.5291564,2016_09_16-20_45_3
3,1.5245603479,11.7234120369,-0.6301466,2016_09_16-20_45_19
2,0.683815511,3.7520699501,-0.5118029,2016_09_16-20_45_27
4,4.081642807,15.9188559055,-0.4663117,2016_09_16-20_45_59
3,4.0615789449,11.692579031,-0.4390174,2016_09_16-20_46_21
4,1.3133525184,8.3885099888,-0.5896345,2016_09_16-20_46_33
3,3.4656263107,12.7829921246,-0.6148134,2016_09_16-20_46_50
6,3.3330646718,14.2641990185,-0.610864,2016_09_16-20_47_9
3,2.5371434569,7.7034621239,-0.6373099,2016_09_16-20_47_22
3,5.0104533653,40.3046700954,-0.5336944,2016_09_16-20_48_17
3,1.8175709433,7.9718880653,-0.6143559,2016_09_16-20_48_29
3,1.4398288756,4.0142090321,-0.4894221,2016_09_16-20_48_42
