clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h_m_s
0,0.6445549712,9.05990600586E-06,-0.6003211,2016_09_16-20_44_1
4,3.2241644706,13.1281430721,-0.6117315,2016_09_16-20_44_18
2,1.4293480573,4.6647210121,-0.5190662,2016_09_16-20_44_27
5,2.8775643271,13.4217178822,-0.551908,2016_09_16-20_44_44
5,2.2151851178,8.6377370358,-0.5084056,2016_09_16-20_44_57
6,3.2363455855,11.5091948509,-0.5617337,2016_09_16-20_45_27
4,4.3843923624,8.3671150208,-0.4966835,2016_09_16-20_46_0
7,5.1574602275,23.5250489712,-0.4971967,2016_09_16-20_46_34
4,4.0532846864,3.5726881027,-0.326674,2016_09_16-20_46_52
2,1.3803817881,2.7545449734,-0.4944406,2016_09_16-20_47_2
6,3.8158745922,7.7809460163,-0.4943402,2016_09_16-20_47_22
1,1.5660573993,2.9424231052,-0.4857226,2016_09_16-20_47_53
