SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
102,2016,9,26,61375384,2016_9_26-17_2_55,2,52,15.5,-3276.8,-33,0.01,0.04,3.962,60,5,65535,255,5.1,1.56,1,65535,0,65535,0,1,-0.91,-0.8,0.51,0.59,-0.02,0.03,27,528,254,0,12,37.2,414,419,507,0
103,2016,9,26,61376384,2016_9_26-17_2_56,2,52,15.5,-3276.8,-33,0.03,0.09,3.962,60,6,65535,255,5.1,2.8,1,65535,0,65535,0,2,-0.93,-0.81,0.39,0.59,-0.04,0.06,27,528,254,-2,12,37.2,415,417,492,0
104,2016,9,26,61377380,2016_9_26-17_2_57,2,52,14.2,-3276.8,-33,0.03,0.08,3.962,60,6,65535,255,5.1,2.94,1,65535,0,65535,0,3,-0.89,-0.78,0.54,0.61,-0.08,0.07,27,528,254,0,12,37.2,414,418,507,0
105,2016,9,26,61378385,2016_9_26-17_2_58,2,52,14.2,-3276.8,-35,0.05,0.13,3.962,60,6,65535,255,5.1,3.24,1,65535,0,65535,1,0,-0.9,-0.77,0.56,0.65,-0.02,0.14,27,528,235,0,12,37.2,415,419,507,0
106,2016,9,26,61379385,2016_9_26-17_2_59,2,51,13.1,-3276.8,-36,0.02,0.06,3.962,60,6,65535,255,5.1,1.7,1,65535,0,65535,1,1,-0.85,-0.78,0.57,0.65,-0.01,0.07,27,528,215,0,12,37.2,415,420,507,0
107,2016,9,26,61380387,2016_9_26-17_3_0,2,51,13.1,-3276.8,-36,0.01,0.03,3.962,60,7,65535,255,5.1,1.56,1,65535,0,65535,1,2,-0.86,-0.78,0.56,0.62,-0.01,0.04,27,528,254,0,12,37.2,415,419,507,0
108,2016,9,26,61381382,2016_9_26-17_3_1,2,51,12.1,-3276.8,-35,0.02,0.07,3.962,60,7,65535,255,5.1,2.52,1,65535,0,65535,1,3,-0.9,-0.79,0.54,0.6,-0.03,0.06,27,528,254,-8,12,37.2,414,420,507,0
109,2016,9,26,61382385,2016_9_26-17_3_2,2,51,12.1,-3276.8,-34,0.02,0.06,3.962,60,6,65535,255,5.1,1.82,1,65535,0,65535,1,4,-0.9,-0.81,0.54,0.61,-0.01,0.04,27,528,254,0,12,37.2,415,420,507,0
110,2016,9,26,61383385,2016_9_26-17_3_3,2,51,11.2,-3276.8,-34,0.01,0.03,3.962,60,5,65535,255,3.58,1.8,1,65535,0,65535,1,5,-0.89,-0.8,0.54,0.59,-0.02,0.03,27,528,254,-2,12,37.2,404,415,500,0
111,2016,9,26,61384386,2016_9_26-17_3_4,2,51,11.2,-3276.8,-33,0.01,0.04,3.962,60,5,65535,255,3.58,1.1,1,65535,0,65535,1,6,-0.9,-0.79,0.54,0.6,-0.02,0.03,27,528,254,0,12,37.2,415,420,507,0
