SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
128,2016,9,26,44518183,2016_9_26-12_21_58,2,139,5.5,-3276.8,-4,0.03,0.08,4.067,77,2,65535,255,0.88,1.34,7,65535,0,65535,1,27,-1.01,-0.96,0.04,0.15,-0.01,0.1,24.1,528,254,-75,12,37.7,415,421,508,0
129,2016,9,26,44519183,2016_9_26-12_21_59,2,139,5.5,-3276.8,-6,0.02,0.07,4.067,77,2,65535,255,0.9,1.18,6,65535,0,65535,1,28,-1,-0.97,0.06,0.16,-0.04,0.04,24.1,528,254,-75,12,37.7,416,421,508,0
130,2016,9,26,44520183,2016_9_26-12_22_0,2,139,5.5,-3276.8,-4,0.02,0.04,4.067,77,1,65535,255,0.9,1,5,65535,0,65535,1,29,-1.01,-0.96,0.04,0.15,-0.02,0.03,24.1,528,254,0,12,37.7,414,421,507,0
131,2016,9,26,44521183,2016_9_26-12_22_1,2,140,5.5,-3276.8,-3,0.02,0.06,4.067,77,1,65535,255,0.9,0.92,5,65535,0,65535,1,30,-1.01,-0.97,0.02,0.13,-0.02,0.03,24.1,528,254,0,12,37.7,399,411,501,0
132,2016,9,26,44522185,2016_9_26-12_22_2,2,140,5.6,-3276.8,-3,0.02,0.04,4.067,77,1,65535,255,0.9,0.7,4,65535,0,65535,1,31,-1.01,-0.97,0.01,0.09,0,0.03,24.1,528,254,0,12,37.7,415,421,507,0
133,2016,9,26,44523186,2016_9_26-12_22_3,2,139,5.6,-3276.8,-2,0.02,0.12,4.067,77,1,65535,255,0.8,1.32,4,65535,0,65535,1,32,-1.06,-0.96,0.01,0.07,-0.02,0.16,24.1,528,254,0,12,37.7,424,424,515,0
134,2016,9,26,44524186,2016_9_26-12_22_4,2,139,5.9,-3276.8,-1,0.07,0.08,4.067,77,1,65535,255,0.8,2.38,3,65535,0,65535,1,33,-1.01,-0.96,-0.01,0.12,-0.08,0.04,24.1,528,254,0,12,37.7,415,421,507,0
135,2016,9,26,44525186,2016_9_26-12_22_5,2,139,5.9,-3276.8,-4,0.2,0.45,4.067,77,3,65535,255,1.02,3.26,3,65535,0,65535,1,34,-1.04,-0.93,-0.46,0.03,-0.02,0.2,24.1,528,254,-75,12,37.7,415,421,507,0
136,2016,9,26,44526187,2016_9_26-12_22_6,2,139,6.5,-3276.8,-7,0.1,0.18,4.067,77,4,65535,255,1.02,3.14,3,65535,0,65535,0,0,-1.01,-0.96,-0.07,0.14,0.06,0.19,24.1,531,254,0,12,37.7,413,424,515,0
137,2016,9,26,44527187,2016_9_26-12_22_7,2,139,6.5,-3276.8,-8,0.1,0.18,4.067,77,3,65535,255,1.04,3.98,3,65535,0,65535,1,0,-1.08,-0.96,-0.16,0.18,0.1,0.25,24.1,528,254,0,12,37.7,415,421,507,0
138,2016,9,26,44528187,2016_9_26-12_22_8,2,139,6.8,-3276.8,-4,0.11,0.19,4.067,77,3,65535,255,1.04,5.56,2,65535,0,65535,1,1,-1.02,-0.93,-0.02,0.19,-0.04,0.21,24.1,528,254,0,12,37.7,415,421,507,0
139,2016,9,26,44529187,2016_9_26-12_22_9,2,139,6.8,-3276.8,-3,0.07,0.18,4.067,77,3,65535,255,1.04,4.06,2,65535,0,65535,1,2,-1.06,-0.93,-0.13,0.02,-0.07,0.08,24.2,528,254,0,12,37.7,415,421,507,0
140,2016,9,26,44530188,2016_9_26-12_22_10,2,139,7.3,-3276.8,-3,0.04,0.08,4.067,77,3,65535,255,1.04,2.62,2,65535,0,65535,1,3,-1.02,-0.96,-0.12,0.01,-0.01,0.08,24.2,528,254,-75,12,37.7,415,421,508,0
141,2016,9,26,44531187,2016_9_26-12_22_11,2,138,7.3,-3276.8,-3,0.03,0.09,4.067,77,2,65535,255,1.04,1.82,2,65535,0,65535,1,4,-1.03,-0.96,-0.15,0,-0.01,0.08,24.2,528,254,0,12,37.7,414,421,508,0
142,2016,9,26,44532187,2016_9_26-12_22_12,2,138,7.7,-3276.8,-3,0.02,0.06,4.067,77,2,65535,255,1.04,1.54,2,65535,0,65535,1,5,-1.02,-0.97,-0.08,0.01,0,0.07,24.2,528,254,0,12,37.7,415,420,508,0
143,2016,9,26,44533188,2016_9_26-12_22_13,2,138,7.7,-3276.8,-2,0.02,0.04,4.067,77,2,65535,255,1.04,3.96,2,65535,0,65535,0,0,-1.01,-0.97,-0.07,0.01,-0.01,0.06,24.2,531,254,0,12,37.7,421,416,506,0
144,2016,9,26,44534187,2016_9_26-12_22_14,2,138,8.5,-3276.8,-1,0.03,0.07,4.067,77,2,65535,255,1.04,4.36,2,65535,0,65535,1,0,-1.01,-0.97,-0.04,0.02,-0.03,0.08,24.2,528,254,0,12,37.7,415,420,508,0
