clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0886176449682,1.09672546387e-05,-0.6044302,2016_9_26-20_50_50
13.0,8.58839146389,9.03818011284,-0.4425346,2016_9_26-20_51_13
8.0,4.44612217807,7.01075410843,-0.3922711,2016_9_26-20_51_24
9.0,4.04075968231,9.50191617012,-0.5100006,2016_9_26-20_51_40
12.0,5.1774490409,5.93096494675,-0.4441564,2016_9_26-20_52_0
10.0,4.67763126405,11.1365430355,-0.5250691,2016_9_26-20_52_17
10.0,4.23536477649,10.2561788559,-0.5330677,2016_9_26-20_52_36
3.0,1.0180200578,1.48434400558,-0.4891319,2016_9_26-20_52_41
9.0,3.52000449327,2.99790096283,-0.4927793,2016_9_26-20_52_54
2.0,0.907106362458,1.0703420639,-0.4891540,2016_9_26-20_52_57
9.0,4.09223943899,3.83216905594,-0.4821959,2016_9_26-20_53_14
4.0,2.32126609044,0.253544092178,-0.4442147,2016_9_26-20_53_22
6.0,2.68629173266,0.35956788063,-0.4727739,2016_9_26-20_53_30
15.0,7.83889069984,9.32171988487,-0.4520397,2016_9_26-20_53_53
3.0,1.37194312628,1.11605596542,-0.4812937,2016_9_26-20_53_58
17.0,6.61133373372,7.53624796867,-0.4939495,2016_9_26-20_54_30
10.0,4.8021940088,11.0687680244,-0.5266472,2016_9_26-20_54_48
3.0,1.67908486072,5.31568598747,-0.5149216,2016_9_26-20_54_55
6.0,3.59192920588,7.68733716011,-0.5763570,2016_9_26-20_55_6
6.0,3.41251846817,6.87478709221,-0.3423893,2016_9_26-20_55_17
15.0,7.00133264633,5.78187799454,-0.4386176,2016_9_26-20_55_47
8.0,3.44828334718,2.61754417419,-0.4251587,2016_9_26-20_56_2
2.0,1.83304141286,0.436648845673,-0.5535911,2016_9_26-20_56_13
