clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0886176449682,1.09672546387e-05,-0.6044302,2016_9_26-20_50_50
6.0,4.32807174869,6.34154200554,-0.3349824,2016_9_26-20_50_59
6.0,2.96116038692,7.27839303017,-0.6299949,2016_9_26-20_51_10
7.0,4.56869824069,7.41580605507,-0.5223198,2016_9_26-20_51_22
6.0,2.95504617742,1.28449106216,-0.3396166,2016_9_26-20_51_33
4.0,2.19993457163,3.74230003357,-0.3640960,2016_9_26-20_51_39
14.0,5.25087463425,17.3105139732,-0.5157956,2016_9_26-20_52_2
2.0,1.55789373659,0.459520101547,-0.5789607,2016_9_26-20_52_7
5.0,1.61484398042,1.77208709717,-0.4123975,2016_9_26-20_52_12
12.0,5.72919492911,5.78710794449,-0.4254770,2016_9_26-20_52_36
3.0,1.4114960981,4.98101902008,-0.5243320,2016_9_26-20_52_42
19.0,7.85294746506,21.3717939854,-0.4370257,2016_9_26-20_53_12
11.0,5.2953818983,6.32181596756,-0.4457250,2016_9_26-20_53_30
3.0,2.0091938779,0.0,-0.5500087,2016_9_26-20_53_36
8.0,3.2108520086,0.67561507225,-0.5247670,2016_9_26-20_53_46
4.0,2.61449543814,1.90927410126,-0.3143461,2016_9_26-20_53_53
7.0,2.94371635428,7.19789290428,-0.5820178,2016_9_26-20_54_4
21.0,8.2734970505,30.2809119225,-0.4370257,2016_9_26-20_54_43
6.0,3.76078873264,6.45580005646,-0.3243882,2016_9_26-20_54_57
12.0,7.48448005897,13.2323698997,-0.3884542,2016_9_26-20_55_19
5.0,2.17742309478,0.802188158035,-0.5371304,2016_9_26-20_55_30
2.0,1.03420688199,0.251544952393,-0.6061851,2016_9_26-20_55_38
7.0,2.78760189413,6.12916612625,-0.3649875,2016_9_26-20_55_47
6.0,2.81603174924,6.0480260849,-0.3701916,2016_9_26-20_55_59
4.0,2.28495456111,11.1864418983,-0.5720068,2016_9_26-20_56_13
5.0,3.22149276203,3.30845308304,-0.3173215,2016_9_26-20_56_22
5.0,2.46257644075,1.66459989548,-0.3821889,2016_9_26-20_56_28
