clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,1.08266788841,1.19209289551e-05,-0.6015959,2016_9_26-20_50_51
6.0,3.16778812101,3.20584511757,-0.3362312,2016_9_26-20_50_59
5.0,2.9734152172,3.53896903992,-0.3458520,2016_9_26-20_51_8
2.0,0.823707881053,1.02464199066,-0.4923890,2016_9_26-20_51_12
3.0,2.45439349488,2.14170193672,-0.3897819,2016_9_26-20_51_18
10.0,4.82115404556,12.8970489502,-0.4355970,2016_9_26-20_51_34
9.0,3.30506264576,5.75253391266,-0.4639694,2016_9_26-20_51_47
5.0,2.49748072123,5.41610407829,-0.4761053,2016_9_26-20_51_56
9.0,3.90445086779,9.74165582657,-0.5290083,2016_9_26-20_52_11
4.0,2.0064247935,3.93268799782,-0.4266787,2016_9_26-20_52_18
6.0,3.05521996165,6.24289703369,-0.3686432,2016_9_26-20_52_28
3.0,1.16257041263,3.11460995674,-0.4938013,2016_9_26-20_52_33
18.0,7.2287584574,16.0629708767,-0.4281111,2016_9_26-20_53_2
5.0,2.2946174665,7.41922593117,-0.5966269,2016_9_26-20_53_13
9.0,4.96951241868,10.7790009975,-0.5076460,2016_9_26-20_53_29
5.0,2.2530422485,4.62275290489,-0.4589820,2016_9_26-20_53_37
9.0,4.63737121634,4.60626316071,-0.4546431,2016_9_26-20_53_50
4.0,1.90382755292,1.10525012016,-0.3816150,2016_9_26-20_53_57
5.0,2.05095378003,0.81081199646,-0.5483019,2016_9_26-20_54_5
7.0,3.20464403931,2.12222909927,-0.3463430,2016_9_26-20_54_21
14.0,5.52194641987,16.7717618942,-0.5185772,2016_9_26-20_54_43
5.0,3.30769532395,3.00562286377,-0.3127413,2016_9_26-20_54_56
3.0,1.65726454181,2.120844841,-0.4662126,2016_9_26-20_55_2
5.0,3.10984905772,4.04270911217,-0.3306235,2016_9_26-20_55_11
8.0,4.20908769713,5.56560897827,-0.4012668,2016_9_26-20_55_28
9.0,3.55915458007,12.5039548874,-0.5844486,2016_9_26-20_55_44
5.0,2.55612095937,3.33092212677,-0.3906324,2016_9_26-20_55_52
9.0,5.46258160836,10.500590086,-0.4943098,2016_9_26-20_56_17
4.0,1.89949132332,2.02261686325,-0.3876145,2016_9_26-20_56_24
6.0,2.87705389589,2.12596607208,-0.3435192,2016_9_26-20_56_32
0.0,0.51774228316,0.393722057343,-0.6003211,2016_9_26-20_57_1
