SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
85,2016,9,26,54847609,2016_9_26-15_14_7,2,0,13.6,-3276.8,10,0.16,0.26,4.033,72,11,65535,255,0.8,11.4,1,65535,0,65535,0,0,-1.15,-0.78,-0.02,0.33,-0.27,0.09,25.5,531,254,0,12,36.9,402,407,491,0
86,2016,9,26,54848609,2016_9_26-15_14_8,2,0,13.7,-3276.8,12,0.11,0.2,4.033,72,10,65535,255,0.8,5.28,1,65535,0,65535,0,0,-1.02,-0.87,0.2,0.38,-0.24,0.09,25.5,531,254,0,12,36.9,415,421,508,0
87,2016,9,26,54849610,2016_9_26-15_14_9,2,0,13.7,-3276.8,16,0.15,0.31,4.033,72,10,65535,255,0.8,11.08,1,65535,0,65535,0,0,-1.12,-0.73,0.2,0.59,-0.16,0.12,25.5,531,254,0,12,36.9,426,428,520,0
88,2016,9,26,54850608,2016_9_26-15_14_10,2,0,13.9,-3276.8,15,0.06,0.18,4.033,72,9,65535,255,0.8,5.1,1,65535,0,65535,0,0,-1.07,-0.86,0.2,0.34,-0.07,0.14,25.5,531,254,0,12,36.9,416,421,508,0
89,2016,9,26,54851609,2016_9_26-15_14_11,2,0,13.9,-3276.8,-15,0.04,0.09,4.033,72,9,65535,255,0.8,2.2,1,65535,0,65535,0,0,-1,-0.9,0.21,0.33,-0.02,0.12,25.5,531,195,-75,12,36.9,416,421,507,0
90,2016,9,26,54852610,2016_9_26-15_14_12,2,0,14,-3276.8,-14,0.04,0.09,4.033,72,8,65535,255,0.8,1,1,65535,0,65535,0,0,-1.03,-0.87,0.16,0.31,-0.02,0.07,25.5,531,254,0,12,36.9,415,420,507,0
91,2016,9,26,54853609,2016_9_26-15_14_13,2,0,14,-3276.8,-13,0.05,0.15,4.033,72,7,65535,255,0.8,0.44,1,65535,0,65535,0,0,-1.08,-0.95,0.13,0.28,-0.03,0.18,25.5,531,254,0,12,36.9,417,423,508,0
92,2016,9,26,54854610,2016_9_26-15_14_14,2,0,14.1,-3276.8,-9,0.15,0.18,4.033,72,7,65535,255,0.8,0.2,1,65535,0,65535,0,0,-1.01,-0.97,0.01,0.19,0.1,0.18,25.5,531,254,0,12,36.9,416,421,507,0
93,2016,9,26,54855611,2016_9_26-15_14_15,2,0,14.1,-3276.8,-10,0.06,0.12,4.033,72,6,65535,255,0.8,0.08,1,65535,0,65535,0,0,-1,-0.97,0.03,0.13,0.12,0.18,25.5,531,254,0,12,36.9,417,422,508,0
94,2016,9,26,54856610,2016_9_26-15_14_16,2,0,12.7,-3276.8,-10,0.03,0.12,4.033,72,6,65535,255,0.8,0.04,1,65535,0,65535,0,0,-1,-0.97,0.03,0.13,0.12,0.18,25.6,531,254,-75,12,36.9,421,428,510,0
95,2016,9,26,54857610,2016_9_26-15_14_17,2,0,12.7,-3276.8,-10,0.03,0.06,4.033,72,5,65535,255,0.8,0,1,65535,0,65535,0,0,-1,-0.97,0.06,0.14,0.1,0.18,25.6,531,235,-75,12,36.9,415,421,507,0
96,2016,9,26,54858611,2016_9_26-15_14_18,2,0,11.7,-3276.8,-11,0.02,0.07,4.033,72,5,65535,255,0.8,0,1,65535,0,65535,0,0,-1.01,-0.95,0.08,0.2,0.12,0.18,25.6,531,254,0,12,36.9,415,421,507,0
97,2016,9,26,54859610,2016_9_26-15_14_19,2,0,11.7,-3276.8,-11,0.02,0.06,4.033,72,5,65535,255,0.8,0.1,1,65535,0,65535,0,0,-1,-0.96,0.09,0.19,0.1,0.18,25.6,531,254,-75,12,36.9,416,428,505,0
98,2016,9,26,54860611,2016_9_26-15_14_20,2,0,11.2,-3276.8,-12,0.02,0.04,4.033,72,4,65535,255,0.8,0.2,1,65535,0,65535,3,0,-1,-0.96,0.12,0.19,0.12,0.18,25.6,528,235,0,12,36.9,415,421,507,0
99,2016,9,26,54861611,2016_9_26-15_14_21,2,0,11.2,-3276.8,-12,0.02,0.04,4.033,72,4,65535,255,0.8,0.26,1,65535,0,65535,3,1,-1,-0.95,0.1,0.2,0.1,0.18,25.6,528,170,0,12,36.9,415,421,507,0
100,2016,9,26,54862625,2016_9_26-15_14_22,2,78,10.7,-3276.8,-13,0.01,0.06,4.033,72,4,65535,255,0.8,0.26,1,65535,0,65535,3,2,-1,-0.93,0.15,0.22,0.12,0.18,25.6,528,195,0,12,36.9,415,420,507,0
101,2016,9,26,54863613,2016_9_26-15_14_23,2,96,10.7,-3276.8,-13,0.01,0.02,4.033,72,3,65535,255,1.46,0.26,1,65535,0,65535,3,3,-1,-0.96,0.18,0.21,0.12,0.18,25.6,528,254,0,12,36.9,415,420,507,0
102,2016,9,26,54864613,2016_9_26-15_14_24,2,104,10.5,-3276.8,-13,0.01,0.03,4.033,72,3,65535,255,1.46,0.3,1,65535,0,65535,3,4,-1.01,-0.95,0.14,0.2,0.13,0.18,25.6,528,254,-12,12,36.9,415,420,507,0
103,2016,9,26,54865614,2016_9_26-15_14_25,2,99,10.5,-3276.8,-13,0.01,0.13,4.033,72,3,65535,255,1.26,0.34,1,65535,0,65535,1,0,-1,-0.96,0.13,0.2,0.13,0.36,25.6,528,0,-16,12,36.9,415,420,507,0
104,2016,9,26,54866618,2016_9_26-15_14_26,2,96,10.7,-3276.8,-13,0.01,0.04,4.033,72,3,65535,255,1.26,0.26,3,65535,0,65535,0,0,-1,-0.96,0.15,0.2,0.1,0.18,25.6,531,155,-3,12,36.8,406,407,490,0
105,2016,9,26,54867614,2016_9_26-15_14_27,2,95,10.7,-3276.8,-13,0.01,0.1,4.033,72,3,65535,255,0.84,0.24,5,65535,0,65535,0,1,-1.02,-0.97,0.15,0.2,-0.01,0.18,25.6,528,254,-75,12,36.8,415,420,507,0
106,2016,9,26,54868609,2016_9_26-15_14_28,2,94,11.1,-3276.8,-13,0.01,0.02,4.033,72,2,65535,255,0.84,0.22,7,65535,0,65535,0,2,-1,-0.95,0.16,0.2,0.12,0.18,25.6,528,254,-75,12,36.8,422,431,519,0
107,2016,9,26,54869620,2016_9_26-15_14_29,2,94,11.1,-3276.8,-13,0.01,0.06,4.033,72,2,65535,255,0.84,0.1,8,65535,0,65535,0,3,-0.98,-0.96,0.15,0.21,0.09,0.18,25.6,528,35,-20,12,36.8,415,420,508,0
108,2016,9,26,54870620,2016_9_26-15_14_30,2,93,11.8,-3276.8,-13,0.01,0.04,4.033,72,2,65535,255,0.84,4.76,10,65535,0,65535,0,0,-1.01,-0.96,0.13,0.2,0.13,0.18,25.6,531,215,-75,12,36.8,414,421,508,0
109,2016,9,26,54871609,2016_9_26-15_14_31,2,93,11.8,-3276.8,-13,0.01,0.04,4.033,72,2,65535,255,0.84,2.8,11,65535,0,65535,0,1,-1,-0.95,0.13,0.21,0.12,0.18,25.6,528,254,0,12,36.8,415,421,507,0
110,2016,9,26,54872620,2016_9_26-15_14_32,2,93,12.7,-3276.8,-13,0.01,0.04,4.033,72,2,65535,255,0.84,1.5,18,65535,0,65535,1,0,-1.01,-0.96,0.13,0.21,0.12,0.18,25.6,528,254,-10,12,36.8,415,420,507,0
111,2016,9,26,54873614,2016_9_26-15_14_33,2,93,12.7,-3276.8,-13,0.01,0.03,4.033,72,2,65535,255,0.84,1.34,16,65535,0,65535,1,1,-1,-0.95,0.18,0.2,0.12,0.18,25.6,528,254,-8,12,36.8,415,420,508,0
112,2016,9,26,54874615,2016_9_26-15_14_34,2,93,13.8,-3276.8,-13,0.01,0.03,4.033,72,2,65535,255,0.84,0.92,14,65535,0,65535,1,2,-1,-0.96,0.15,0.2,0.12,0.18,25.6,528,155,-9,12,36.8,415,421,507,0
113,2016,9,26,54875615,2016_9_26-15_14_35,2,93,13.8,-3276.8,-13,0.01,0.02,4.033,72,2,65535,255,0.84,0.78,12,65535,0,65535,1,3,-1,-0.96,0.15,0.21,0.12,0.18,25.6,528,254,-9,12,36.8,415,420,507,0
114,2016,9,26,54876614,2016_9_26-15_14_36,2,94,15.1,-3276.8,-13,0.01,0.03,4.033,72,2,65535,255,0.84,0.72,11,65535,0,65535,1,4,-1,-0.95,0.15,0.2,0.12,0.18,25.6,528,254,-75,12,36.8,415,421,507,0
115,2016,9,26,54877614,2016_9_26-15_14_37,2,95,15.1,-3276.8,-13,0.01,0.02,4.033,72,2,65535,255,0.78,0.54,10,65535,0,65535,1,5,-1,-0.96,0.15,0.2,0.1,0.18,25.6,528,235,-12,12,36.8,415,421,508,0
