clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0764978900121,1.71661376953e-05,-0.6044302,2016_9_26-14_36_38
6.0,6.37765433713,18.9913160801,-0.3655296,2016_9_26-14_37_15
3.0,1.51594857119,7.91272616386,-0.6197940,2016_9_26-14_37_28
14.0,11.0645507765,60.8110051155,-0.4162528,2016_9_26-14_38_50
2.0,2.10154689569,2.11884307861,-0.4761788,2016_9_26-14_39_8
11.0,8.59978524224,47.2141339779,-0.4014899,2016_9_26-14_40_14
1.0,0.193444781739,2.4485449791,-0.5004347,2016_9_26-14_40_26
4.0,2.59139558545,7.14832615852,-0.3440376,2016_9_26-14_40_44
7.0,8.65579725387,45.369820118,-0.3559189,2016_9_26-14_41_40
2.0,2.04918217536,6.89911699295,-0.4043812,2016_9_26-14_41_55
2.0,1.19143495863,2.55059194565,-0.5002245,2016_9_26-14_42_4
2.0,0.603968087697,3.0578892231,-0.4963256,2016_9_26-14_42_15
