clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.50596858771,1.09672546387e-05,-0.6003211,2016_9_26-14_36_39
6.0,6.31346202729,32.6475760937,-0.3720083,2016_9_26-14_37_16
5.0,2.32816889593,15.0973620415,-0.5718883,2016_9_26-14_37_37
2.0,1.28655464044,1.73339700699,-0.4844751,2016_9_26-14_37_50
1.0,0.773874361397,3.76656007767,-0.5167522,2016_9_26-14_37_57
4.0,2.78933990033,18.935297966,-0.5909095,2016_9_26-14_38_21
4.0,4.62250886273,23.9840500355,-0.5101183,2016_9_26-14_38_46
9.0,6.32438406873,36.5430500507,-0.3756610,2016_9_26-14_39_27
2.0,1.61155008783,2.37329292297,-0.4700873,2016_9_26-14_39_46
21.0,18.6315193514,76.7224750519,-0.4370257,2016_9_26-14_42_30
10.0,14.7738311224,80.228664875,-0.3756869,2016_9_26-14_45_8
7.0,5.01724736666,22.3337190151,-0.5002415,2016_9_26-14_45_39
6.0,3.07635495517,3.94304704666,-0.3546797,2016_9_26-14_46_6
