Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSRStatus,ROGTime,ROG,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
11/08/2016 19:42:30.430,65,8.1,-3276.8,-7,0.11,0.18,4.146,91,5949.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,1,2,-1.04,-0.96,-0.03,0.08,0.10,0.19,28.5,531,255,-128,-128,6553.5,415,420,507
11/08/2016 19:42:31.430,65,8.1,-3276.8,-6,0.07,0.10,4.146,91,5342.000,65535.000,255,0.000000,0.001060,0,65535,0,65535,0,0,-1.01,-0.96,-0.08,0.01,0.06,0.18,28.5,528,255,-128,-128,6553.5,415,418,488
11/08/2016 19:42:32.430,65,7.3,-3276.8,-6,0.05,0.10,4.146,91,4713.000,65535.000,255,0.005020,0.001220,0,65535,0,65535,0,1,-1.00,-0.96,-0.09,-0.02,0.07,0.14,28.5,528,255,-128,-128,6553.5,415,420,507
11/08/2016 19:42:33.430,65,7.3,-3276.8,-6,0.03,0.06,4.146,91,4072.000,65535.000,255,0.005020,0.001140,0,65535,0,65535,0,2,-1.01,-0.97,-0.10,-0.01,0.07,0.14,28.5,528,255,-128,-128,6553.5,414,420,508
11/08/2016 19:42:34.430,73,6.6,-3276.8,-7,0.02,0.06,4.146,91,3542.000,65535.000,255,0.004460,0.001360,0,65535,0,65535,1,0,-1.01,-0.96,-0.10,0.00,0.06,0.14,28.5,528,255,-128,-128,6553.5,415,419,507
11/08/2016 19:42:35.430,72,6.6,-3276.8,-6,0.01,0.06,4.146,91,3040.000,65535.000,255,0.004460,0.001340,0,65535,0,65535,1,1,-1.00,-0.96,-0.12,-0.01,0.06,0.14,28.5,528,255,-128,-128,6553.5,416,420,507
11/08/2016 19:42:36.430,69,5.9,-3276.8,-6,0.01,0.06,4.145,90,2641.000,65535.000,255,0.004080,0.001300,0,65535,0,65535,1,2,-1.01,-0.97,-0.10,-0.02,0.06,0.15,28.5,528,255,-128,-128,6553.5,414,421,507
11/08/2016 19:42:37.430,68,5.9,-3276.8,-7,0.02,0.06,4.145,90,2268.000,65535.000,255,0.004080,0.001360,0,65535,0,65535,1,3,-1.01,-0.97,-0.12,-0.03,0.07,0.14,28.5,528,255,-128,-128,6553.5,416,420,507
11/08/2016 19:42:38.430,67,6.3,-3276.8,-7,0.02,0.06,4.145,90,1972.000,65535.000,255,0.003960,0.001300,0,65535,0,65535,1,4,-1.01,-0.96,-0.14,-0.03,0.06,0.14,28.5,528,255,-128,-128,6553.5,415,419,507
11/08/2016 19:42:39.430,67,6.3,-3276.8,-7,0.01,0.04,4.145,90,1693.000,65535.000,255,0.003960,0.001020,0,65535,0,65535,1,5,-1.00,-0.97,-0.09,-0.02,0.06,0.14,28.5,528,255,-128,-128,6553.5,414,419,507
11/08/2016 19:42:40.430,67,6.7,-3276.8,-7,0.01,0.03,4.140,90,1471.000,65535.000,255,0.003720,0.000900,0,65535,0,65535,1,6,-1.01,-0.96,-0.12,-0.02,0.06,0.14,28.5,528,255,-128,-128,6553.5,411,413,513
