SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,9,16,5243069,20:27:23,2,75,10.8,-3276.8,-40,0.01,0.03,3.897,49,7,65535,255,3.34,2.12,1,65535,0,65535,1,5,-0.79,-0.74,0.59,0.68,0.19,0.22,27.8,528,254,-75,12,37.1,415,420,507,0
1,2016,9,16,5244075,20:27:24,2,75,10.8,-3276.8,-40,0.01,0.04,3.897,49,7,65535,255,3.34,1.5,1,65535,0,65535,1,6,-0.79,-0.74,0.6,0.69,0.18,0.22,27.8,528,254,3,12,37.1,415,418,507,0
2,2016,9,16,5245074,20:27:25,2,75,11.3,-3276.8,-40,0.01,0.04,3.897,49,7,65535,255,3.34,1.3,1,65535,0,65535,0,0,-0.79,-0.74,0.6,0.66,0.19,0.25,27.8,531,254,0,12,37.1,414,419,507,0
3,2016,9,16,5246074,20:27:26,2,75,11.3,-3276.8,-40,0.01,0.03,3.896,49,6,65535,255,3.34,2.08,1,65535,0,65535,0,0,-0.8,-0.73,0.6,0.68,0.18,0.22,27.8,531,254,0,12,37.1,415,419,507,0
4,2016,9,16,5247075,20:27:27,2,75,11.9,-3276.8,-40,0.01,0.04,3.894,49,7,65535,255,3.34,2.06,1,65535,0,65535,1,0,-0.81,-0.73,0.6,0.67,0.19,0.25,27.8,528,215,0,12,37.1,415,419,507,0
5,2016,9,16,5248071,20:27:28,2,75,11.9,-3276.8,-39,0.01,0.04,3.894,49,9,65535,255,3.34,1.7,1,65535,0,65535,1,1,-0.8,-0.77,0.57,0.66,0.18,0.24,27.8,528,254,-75,12,37.1,414,420,507,0
6,2016,9,16,5249076,20:27:29,2,76,12.2,-3276.8,-39,0.01,0.04,3.894,49,10,65535,255,3.34,1.32,1,65535,0,65535,1,2,-0.79,-0.75,0.6,0.67,0.19,0.22,27.8,528,254,2,12,37.1,415,420,507,0
7,2016,9,16,5250073,20:27:30,2,76,12.2,-3276.8,-40,0.01,0.04,3.894,49,11,65535,255,3.22,1.06,1,65535,0,65535,1,3,-0.8,-0.74,0.6,0.67,0.19,0.22,27.8,528,254,0,12,37.1,415,418,507,0
8,2016,9,16,5251073,20:27:31,2,75,12.2,-3276.8,-39,0.01,0.03,3.894,49,10,65535,255,3.22,0.84,1,65535,0,65535,1,4,-0.79,-0.74,0.59,0.66,0.19,0.24,27.8,528,254,-75,12,37.1,415,420,507,0
9,2016,9,16,5252074,20:27:32,2,74,12.2,-3276.8,-40,0.01,0.03,3.894,49,10,65535,255,3.16,0.74,14,65535,0,65535,1,5,-0.79,-0.74,0.6,0.67,0.19,0.24,27.8,528,254,0,12,37.1,414,419,507,0
