Time, Type, Data
26/09/2016 17:02:38.678,RX,02-14-00-00-06
26/09/2016 17:02:38.778,RX,02-BD-00-00-06-02-21-20-58-E0-07-09-1A-38-86-A8-03-02-06-18-20-80-00-02-08-E0-7F-FF-F9-E7-5F-7F-FD-F5-D7-5F-7F-FD-F5-07-62-03-02-24-2D-58-E0-07-09-1A-38-86-A8-03-EE-00-EE-00-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-DF-03-02-15-00-00-06-02-19-00-00-06-02-16-00-00-06
26/09/2016 17:02:38.879,RX,02-22-58-63-E0-07-09-1A-4C-89-A8-03-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-7E-BB-EE-BB-E3-EE-7A-E7-88-CF-0D-F6-D3-3E-B3-AC-B1-C2-FB-B6-0B-EE-B4-C4-CE-DA-E9-A0-68-36-69-A3-88-11-02-D8-5E-76-C5-BD-96-19-ED-03-02-1E-00-00-06-02-BC-00-00-06
26/09/2016 17:02:39.053,RX,02-22-58-64-E0-07-09-1A-44-8A-A8-03-83-C1-15-56-55-4B-05-65-53-4A-1A-29-B4-0F-3B-DE-40-23-CC-2B-97-F4-31-06-14-46-0C-51-04-12-4A-2C-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-A4-03
26/09/2016 17:02:39.154,RX,02-20-35-00-E0-07-09-1A-64-8B-A8-03-34-00-8E-00-00-80-DF-FF-03-00-08-00-7A-0F-06-00-EC-13-7C-0B-A7-FF-B2-FF-36-00-3D-00-F8-FF-07-00-00-00-FF-FF-00-00-00-00-00-00-3C-A0-0A-03-02-2B-47-68-E0-07-09-1A-64-8B-A8-03-02-34-00-8E-00-00-80-DF-FF-03-00-08-00-7A-0F-3C-06-00-FF-FF-FF-EC-13-7C-0B-01-FF-FF-00-FF-FF-18-00-A7-FF-B2-FF-36-00-3D-00-F8-FF-07-00-0E-01-10-02-FE-00-0C-74-01-9E-01-A2-01-FB-01-00-00-46-03
26/09/2016 17:02:39.303,RX,02-22-58-65-E0-07-09-1A-40-8B-A8-03-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-04-6A-03
26/09/2016 17:02:39.542,RX,02-22-58-66-E0-07-09-1A-3C-8C-A8-03-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-A1-84-12-4A-28-B1-44-13-48-F4-10-83-0C-51-38-C2-8D-48-50-95-E5-D6-5E-93-E1-D6-DD-80-2B-62-A9-A8-AF-EE-5E-7C-F3-D2-55-6F-0D-76-DA-73-E7-9D-77-DD-72-D7-BD-F7-E0-86-17-2E-38-9B-03
26/09/2016 17:02:39.658,RX,02-23-00-00-03
26/09/2016 17:02:39.658,TX,02-23-00-00-03
26/09/2016 17:02:39.758,RX,02-21-20-59-E0-07-09-1A-24-8A-A8-03-FD-F5-D7-5F-7F-FD-F5-D7-5F-7F-FD-F5-D7-5F-7F-FE-F9-E7-DF-7F-FF-FD-07-28-03-02-24-2D-59-E0-07-09-1A-24-8A-A8-03-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-D2-F0-51-03
26/09/2016 17:02:39.858,RX,02-22-58-67-E0-07-09-1A-38-8D-A8-03-84-2F-9E-B9-E9-B2-E3-9E-3B-EE-B6-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D3-5E-7B-EE-BF-13-1F-3C-EB-82-23-6D-30-B2-92-9E-49-A4-89-09-B2-D7-5C-6B-8D-CD-E5-15-A6-03
26/09/2016 17:02:40.043,RX,02-22-58-68-E0-07-09-1A-39-8E-A8-03-52-2D-85-54-51-41-E5-04-13-4A-27-B9-D4-93-53-5D-A5-F5-96-5C-75-E1-C5-D7-5F-80-F9-65-17-5A-58-29-15-D4-4F-44-3D-E5-55-5C-88-91-26-DC-77-FA-5D-88-23-98-92-3A-1B-31-D5-8C-CB-4E-7C-F1-BE-DF-4E-3B-ED-B5-D7-5E-7B-ED-B5-D7-5E-7B-ED-B5-D7-5E-3B-EF-03
