SeqNo,Year,Month,Day,ms,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
191,2016,09,26,75045461,2,62,12.7,-3276.8,-34,0.09,0.25,3.926,54,7,65535,255,5.36,1.96,1,65535,0,65535,0,3,-1.02,-0.68,0.55,0.73,-0.01,0.21,26.3,528,235,-8,12,36.5,415,421,507,0
192,2016,09,26,75046461,2,63,12.7,-3276.8,-35,0.06,0.1,3.926,54,6,65535,255,5.36,7,1,65535,0,65535,0,0,-0.85,-0.73,0.54,0.68,0.01,0.19,26.3,531,254,-3,12,36.5,416,420,507,0
193,2016,09,26,75047460,2,63,13.2,-3276.8,-35,0.06,0.1,3.926,54,6,65535,255,5.36,10.94,1,65535,0,65535,0,0,-0.92,-0.62,0.51,0.68,0.01,0.18,26.3,531,0,0,12,36.5,417,421,507,0
194,2016,09,26,75048461,2,63,13.2,-3276.8,-37,0.2,0.56,3.926,54,5,65535,255,5.36,16.26,1,65535,0,65535,0,0,-1.15,-0.2,0.5,0.92,-0.01,0.22,26.3,531,254,-75,12,36.5,415,420,507,0
195,2016,09,26,75049461,2,63,13.8,-3276.8,-35,0.12,0.22,3.926,54,7,65535,255,5.36,12.2,1,65535,0,65535,0,0,-0.96,-0.75,0.36,0.6,0.1,0.34,26.3,531,215,-10,12,36.5,415,420,507,0
196,2016,09,26,75050457,2,63,13.8,-3276.8,-35,0.05,0.15,3.926,54,8,65535,255,5.36,11.46,1,65535,0,65535,0,0,-0.91,-0.78,0.42,0.56,0.2,0.36,26.3,531,215,-75,12,36.5,402,408,495,0
197,2016,09,26,75051461,2,63,14.3,-3276.8,-36,0.05,0.1,3.926,54,7,65535,255,5.36,8.94,1,65535,0,65535,0,0,-0.92,-0.75,0.5,0.59,0.21,0.33,26.3,531,175,-7,12,36.5,415,420,507,0
198,2016,09,26,75052461,2,62,14.3,-3276.8,-35,0.04,0.08,3.926,54,6,65535,255,5.36,16.74,1,65535,0,65535,0,0,-0.89,-0.77,0.5,0.6,0.18,0.32,26.3,531,155,-8,12,36.5,426,430,513,0
199,2016,09,26,75053461,2,62,14.7,-3276.8,-33,0.07,0.1,3.926,54,6,65535,255,5.36,12.18,1,65535,0,65535,0,0,-0.92,-0.78,0.43,0.57,0.19,0.32,26.3,531,254,0,12,36.5,415,420,507,0
200,2016,09,26,75054461,2,62,14.7,-3276.8,-33,0.07,0.12,3.926,54,6,65535,255,5.36,15.78,1,65535,0,65535,0,0,-0.96,-0.74,0.39,0.53,0.19,0.32,26.3,531,235,-4,12,36.5,415,420,507,0
201,2016,09,26,75055461,2,62,15,-3276.8,-32,0.04,0.12,3.926,54,10,65535,255,5.36,7.28,1,65535,0,65535,0,0,-1.03,-0.68,0.44,0.57,0.18,0.36,26.3,531,254,0,12,36.5,415,420,492,0
202,2016,09,26,75056463,2,62,15,-3276.8,-32,0.02,0.04,3.926,54,11,65535,255,5.36,3.14,1,65535,0,65535,0,0,-0.91,-0.81,0.45,0.54,0.19,0.28,26.3,531,254,0,12,36.5,415,421,508,0
203,2016,09,26,75057463,2,62,13.8,-3276.8,-32,0.03,0.09,3.926,54,14,65535,255,1.28,1.44,1,65535,0,65535,0,0,-0.96,-0.78,0.46,0.56,0.2,0.34,26.3,531,254,0,12,36.5,414,420,507,0
204,2016,09,26,75058462,2,62,13.8,-3276.8,-32,0.04,0.14,3.926,54,16,65535,255,1.28,19.74,1,65535,0,65535,0,0,-1,-0.73,0.44,0.56,0.19,0.34,26.3,531,254,-75,12,36.5,415,420,507,0
205,2016,09,26,75059461,2,62,12.8,-3276.8,-33,0.03,0.07,3.926,54,16,65535,255,1.28,9.1,1,65535,0,65535,0,0,-0.92,-0.79,0.48,0.56,0.19,0.27,26.3,531,254,-75,12,36.5,415,421,508,0
206,2016,09,26,75060467,2,0,12.8,-3276.8,-31,0.03,0.08,3.926,54,16,65535,255,0.8,5.7,1,65535,0,65535,1,0,-0.93,-0.79,0.44,0.55,0.18,0.3,26.3,528,215,0,12,36.5,415,421,507,0
207,2016,09,26,75061460,2,57,11.8,-3276.8,-31,0.02,0.07,3.926,54,15,65535,255,0.8,3.18,1,65535,0,65535,1,1,-0.93,-0.84,0.45,0.53,0.16,0.24,26.3,528,254,-75,12,36.5,416,421,507,0
208,2016,09,26,75062461,2,51,11.8,-3276.8,-32,0.04,0.09,3.926,54,13,65535,255,7.464,1.66,1,65535,0,65535,1,2,-0.96,-0.78,0.45,0.56,0.16,0.28,26.3,528,254,0,12,36.5,415,420,507,0
209,2016,09,26,75063463,2,56,11.2,-3276.8,-31,0.05,0.09,3.926,54,12,65535,255,7.464,1,1,65535,0,65535,1,3,-0.93,-0.79,0.4,0.55,0.15,0.25,26.3,528,254,-14,12,36.5,416,420,507,0
210,2016,09,26,75064464,2,61,11.2,-3276.8,-31,0.04,0.12,3.926,54,13,65535,255,7.424,1.12,1,65535,0,65535,1,4,-0.96,-0.79,0.43,0.55,0.19,0.32,26.3,528,254,0,12,36.5,417,422,509,0
211,2016,09,26,75065464,2,62,10.7,-3276.8,-29,0.06,0.13,3.926,54,12,65535,255,7.424,0.66,14,65535,0,65535,0,0,-0.98,-0.79,0.37,0.55,0.19,0.33,26.3,531,254,0,12,36.5,414,419,507,0
212,2016,09,26,75066463,2,62,10.7,-3276.8,-36,0.24,0.78,3.926,54,12,65535,255,10.524,15.22,24,65535,0,65535,0,0,-1.67,-0.24,0.42,0.98,0,0.46,26.3,531,235,0,12,36.5,416,421,507,0
213,2016,09,26,75067465,2,62,11.1,-3276.8,-35,0.04,0.09,3.926,54,11,65535,255,10.524,8.78,31,65535,0,65535,0,0,-0.93,-0.78,0.39,0.59,0.19,0.28,26.3,531,254,-75,12,36.5,403,407,489,0
214,2016,09,26,75068465,2,61,11.1,-3276.8,-33,0.03,0.07,3.926,54,10,65535,255,6.924,6.1,37,65535,100,65535,1,0,-0.91,-0.79,0.46,0.59,0.18,0.25,26.3,512,254,0,12,36.5,414,420,507,0
215,2016,09,26,75069464,2,61,11.5,-3276.8,-32,0.02,0.06,3.926,54,10,65535,255,6.924,4.18,41,65535,100,65535,1,1,-0.92,-0.81,0.46,0.57,0.18,0.24,26.3,512,254,-75,12,36.5,419,424,511,0
216,2016,09,26,75070466,2,61,11.5,-3276.8,-32,0.01,0.06,3.926,54,10,65535,255,36.24,5.92,46,65535,100,65535,1,2,-0.92,-0.81,0.48,0.56,0.18,0.22,26.3,512,254,-75,12,36.5,415,421,507,0
217,2016,09,26,75071465,2,61,11.9,-3276.8,-32,0.02,0.07,3.926,54,9,65535,255,36.24,4.98,47,65535,100,65535,1,3,-0.95,-0.81,0.48,0.55,0.18,0.21,26.3,512,254,0,12,36.5,415,420,507,0
218,2016,09,26,75072464,2,60,11.9,-3276.8,-32,0.01,0.06,3.926,54,9,65535,255,36.24,5.4,48,65535,100,65535,1,4,-0.92,-0.8,0.49,0.55,0.18,0.22,26.3,512,254,0,12,36.5,416,417,506,0
219,2016,09,26,75073466,2,60,12.2,-3276.8,-32,0.01,0.04,3.926,54,8,65535,255,36.24,5.8,49,65535,100,65535,1,5,-0.91,-0.8,0.49,0.57,0.18,0.24,26.3,512,254,0,12,36.5,414,420,507,0
220,2016,09,26,75074465,2,60,12.2,-3276.8,-32,0.01,0.03,3.926,54,7,65535,255,31.6,4.64,50,65535,100,65535,1,6,-0.9,-0.81,0.48,0.55,0.19,0.22,26.3,512,254,0,12,36.5,416,428,509,0
221,2016,09,26,75075464,2,60,12.7,-3276.8,-32,0.01,0.03,3.926,54,6,65535,255,31.6,5.62,51,65535,100,65535,1,7,-0.9,-0.81,0.49,0.54,0.18,0.22,26.3,512,254,-3,12,36.5,416,420,507,0
222,2016,09,26,75076464,2,60,12.7,-3276.8,-32,0.01,0.03,3.926,54,6,65535,255,31.6,7.94,52,65535,100,65535,1,8,-0.9,-0.8,0.48,0.56,0.18,0.22,26.3,512,254,-75,12,36.5,415,421,507,0
223,2016,09,26,75077465,2,60,13,-3276.8,-32,0.01,0.03,3.926,54,5,65535,255,31.6,8.14,52,65535,0,65535,0,0,-0.9,-0.81,0.48,0.55,0.18,0.22,26.3,531,254,-75,12,36.5,414,420,508,0
224,2016,09,26,75078464,2,60,13,-3276.8,-32,0.01,0.03,3.926,54,5,65535,255,28.34,9.24,53,65535,100,65535,1,0,-0.9,-0.81,0.48,0.56,0.18,0.22,26.3,512,254,-75,12,36.5,415,420,507,0
225,2016,09,26,75079465,2,60,13.2,-3276.8,-32,0.02,0.04,3.926,54,4,65535,255,28.34,6.58,56,65535,100,65535,1,1,-0.9,-0.81,0.49,0.57,0.18,0.21,26.3,512,254,0,12,36.5,415,420,507,0
226,2016,09,26,75080465,2,59,13.2,-3276.8,-32,0.01,0.03,3.926,54,4,65535,255,26.7,3.94,58,65535,100,65535,1,2,-0.91,-0.83,0.49,0.56,0.19,0.24,26.3,512,254,-75,12,36.5,414,420,507,0
227,2016,09,26,75081465,2,58,13.3,-3276.8,-32,0.01,0.03,3.926,54,3,65535,255,26.7,4.52,63,65535,100,65535,1,3,-0.9,-0.81,0.48,0.55,0.18,0.21,26.3,512,254,-75,12,36.5,417,425,509,0
228,2016,09,26,75082465,2,57,13.3,-3276.8,-32,0.02,0.04,3.926,54,3,65535,255,24.94,6.26,68,65535,100,65535,1,4,-0.91,-0.8,0.48,0.57,0.18,0.22,26.3,512,254,0,12,36.5,414,420,507,0
229,2016,09,26,75083465,2,56,13.8,-3276.8,-32,0.01,0.04,3.926,54,3,65535,255,24.94,7.2,72,65535,100,65535,1,5,-0.91,-0.8,0.48,0.57,0.18,0.22,26.3,512,254,0,12,36.5,415,420,508,0
230,2016,09,26,75084465,2,56,13.8,-3276.8,-32,0.01,0.03,3.926,54,2,65535,255,24.94,6.8,75,65535,100,65535,1,6,-0.9,-0.83,0.48,0.55,0.18,0.21,26.3,512,254,0,12,36.5,416,416,507,0
231,2016,09,26,75085465,2,56,14.2,-3276.8,-32,0.01,0.03,3.926,54,2,65535,255,24.94,7.44,79,65535,100,65535,1,7,-0.9,-0.8,0.48,0.55,0.18,0.21,26.3,512,254,0,12,36.5,415,420,507,0
232,2016,09,26,75086465,2,56,14.2,-3276.8,-31,0.01,0.04,3.926,54,2,65535,255,24.94,7.72,81,65535,100,65535,1,8,-0.91,-0.81,0.46,0.55,0.18,0.21,26.3,512,254,0,12,36.5,423,420,517,0
233,2016,09,26,75087465,2,55,13.7,-3276.8,-32,0.01,0.03,3.926,54,2,65535,255,24.94,8,84,65535,100,65535,1,9,-0.9,-0.81,0.48,0.56,0.18,0.21,26.3,512,254,-3,12,36.5,415,420,507,0
234,2016,09,26,75088465,2,55,13.7,-3276.8,-32,0.01,0.04,3.926,54,2,65535,255,24.74,5.22,86,65535,100,65535,1,10,-0.9,-0.8,0.48,0.55,0.18,0.22,26.3,512,254,-75,12,36.5,415,421,507,0
235,2016,09,26,75089465,2,55,13.2,-3276.8,-31,0.01,0.03,3.926,54,1,65535,255,24.74,5.36,88,65535,100,65535,1,11,-0.91,-0.81,0.48,0.55,0.18,0.21,26.3,512,195,-75,12,36.5,422,425,500,0
236,2016,09,26,75090464,2,55,13.2,-3276.8,-32,0.02,0.04,3.926,54,1,65535,255,17.32,3.08,89,65535,100,65535,1,12,-0.91,-0.81,0.48,0.55,0.18,0.22,26.3,512,254,-7,12,36.5,415,420,507,0
237,2016,09,26,75091469,2,55,12.8,-3276.8,-31,0.01,0.06,3.926,54,1,65535,255,17.32,3.62,91,65535,100,65535,1,13,-0.9,-0.79,0.48,0.56,0.18,0.24,26.3,512,254,-75,12,36.5,414,421,507,0
238,2016,09,26,75092464,2,55,12.8,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,17.32,5.06,89,65535,100,65535,1,14,-0.91,-0.83,0.48,0.55,0.18,0.22,26.3,512,235,-75,12,36.5,414,421,507,0
239,2016,09,26,75093463,2,55,12.7,-3276.8,-32,0.01,0.03,3.926,54,1,65535,255,17.32,4.54,88,65535,100,65535,1,15,-0.9,-0.81,0.48,0.55,0.18,0.21,26.3,512,254,0,12,36.5,415,420,507,0
240,2016,09,26,75094467,2,55,12.7,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,17.04,2.9,87,65535,100,65535,1,16,-0.91,-0.8,0.49,0.56,0.18,0.21,26.3,512,95,-75,12,36.5,415,420,508,0
241,2016,09,26,75095466,2,54,12.4,-3276.8,-31,0.01,0.04,3.926,54,1,65535,255,17.04,5.42,87,65535,100,65535,1,17,-0.92,-0.81,0.48,0.55,0.18,0.22,26.3,512,254,0,12,36.5,415,421,508,0
242,2016,09,26,75096465,2,54,12.4,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,17.04,4.88,88,65535,100,65535,1,18,-0.91,-0.8,0.48,0.55,0.18,0.21,26.3,512,254,0,12,36.5,415,421,507,0
243,2016,09,26,75097471,2,54,12.3,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,17.04,4.56,88,65535,100,65535,1,19,-0.9,-0.8,0.49,0.56,0.18,0.21,26.3,512,254,-75,12,36.5,414,421,507,0
244,2016,09,26,75098471,2,54,12.3,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,17.04,5.82,88,65535,100,65535,1,20,-0.9,-0.81,0.46,0.56,0.18,0.22,26.3,512,254,0,12,36.5,417,422,508,0
245,2016,09,26,75099466,2,54,12.6,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,17.04,4.4,88,65535,100,65535,1,21,-0.91,-0.83,0.49,0.56,0.18,0.21,26.3,512,254,-75,12,36.5,415,420,507,0
246,2016,09,26,75100471,2,54,12.6,-3276.8,-32,0.01,0.06,3.926,54,1,65535,255,17.04,5.26,88,65535,100,65535,1,22,-0.9,-0.79,0.48,0.56,0.16,0.22,26.3,512,254,0,12,36.5,415,420,507,0
247,2016,09,26,75101468,2,54,13.1,-3276.8,-32,0.02,0.03,3.926,54,1,65535,255,17.04,5.42,88,65535,100,65535,1,23,-0.9,-0.81,0.48,0.56,0.18,0.21,26.3,512,254,-75,12,36.5,404,404,495,0
248,2016,09,26,75102468,2,54,13.1,-3276.8,-32,0.01,0.06,3.926,54,1,65535,255,17.04,4.24,88,65535,100,65535,1,24,-0.9,-0.8,0.48,0.56,0.18,0.21,26.3,512,254,-2,12,36.5,415,420,507,0
249,2016,09,26,75103468,2,54,13.3,-3276.8,-32,0.01,0.06,3.926,54,1,65535,255,17.04,5.9,88,65535,100,65535,1,25,-0.92,-0.8,0.48,0.55,0.18,0.22,26.3,512,75,0,12,36.5,424,430,514,0
250,2016,09,26,75104468,2,54,13.3,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,17.04,5.76,88,65535,100,65535,1,26,-0.91,-0.81,0.49,0.56,0.18,0.21,26.3,512,254,-75,12,36.5,415,422,507,0
251,2016,09,26,75105469,2,0,13.8,-3276.8,-32,0.01,0.03,3.926,54,1,65535,255,0.8,4,88,65535,100,65535,1,27,-0.9,-0.81,0.49,0.56,0.19,0.21,26.3,512,254,-75,12,36.5,415,421,507,0
252,2016,09,26,75106468,2,62,13.8,-3276.8,-32,0.01,0.04,3.926,54,1,65535,255,0.8,5.32,77,65535,100,65535,3,0,-0.9,-0.8,0.48,0.56,0.19,0.21,26.3,512,215,0,12,36.5,425,426,497,0
253,2016,09,26,75107469,2,64,14.2,-3276.8,-32,0.01,0.03,3.926,54,1,65535,255,25.18,3.12,67,65535,100,65535,3,1,-0.9,-0.83,0.48,0.56,0.18,0.21,26.3,512,254,-75,12,36.5,415,420,507,0
254,2016,09,26,75108468,2,64,14.2,-3276.8,-32,0.02,0.04,3.926,54,1,65535,255,25.18,3.48,59,65535,100,65535,3,2,-0.91,-0.8,0.49,0.55,0.18,0.21,26.4,512,254,-5,12,36.5,415,420,508,0
255,2016,09,26,75109468,2,65,14.9,-3276.8,-32,0.01,0.09,3.926,54,1,65535,255,25.18,5.48,52,65535,100,65535,3,3,-0.91,-0.81,0.48,0.56,0.16,0.36,26.4,512,254,0,12,36.5,416,419,507,0
