clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.346966016637,8.10623168945e-06,-0.6003211,10:41:3
4.0,2.360378835,4.09653091431,-0.3897128,10:41:12
3.0,1.78218140284,8.83298420906,-0.6158479,10:41:26
2.0,0.797606675767,4.43873000145,-0.5084468,10:41:32
2.0,1.62685988617,3.94754314423,-0.4932940,10:41:41
5.0,2.45729472957,7.83210396767,-0.5382801,10:41:54
3.0,1.98506555651,12.2749581337,-0.6557260,10:42:10
4.0,2.02222118756,9.30383300781,-0.6212562,10:42:23
6.0,3.55996739396,10.5664508343,-0.5535268,10:42:42
3.0,1.35564048425,4.62880802155,-0.5249406,10:42:52
3.0,1.59895192073,2.13458299637,-0.4689874,10:43:0
3.0,1.92353110402,7.56032109261,-0.6502562,10:43:14
4.0,2.43459305515,12.6188719273,-0.5987312,10:43:31
3.0,1.09621763917,5.85160779953,-0.4589129,10:43:38
6.0,3.89473276955,15.2362699509,-0.4703718,10:44:7
2.0,1.60671965507,2.89475607872,-0.4700873,10:44:14
4.0,2.32306941202,9.20043897629,-0.5834602,10:44:29
4.0,2.02191572366,9.82685494423,-0.6248193,10:44:43
6.0,2.36589518099,6.01898479462,-0.3986740,10:44:55
2.0,1.84581919245,4.49766397476,-0.5108159,10:45:3
4.0,1.67659077846,5.05686283112,-0.4290135,10:45:12
4.0,2.65892040093,7.97398686409,-0.5551860,10:45:35
4.0,2.44834583828,8.12792897224,-0.5604088,10:45:47
4.0,2.66397584893,9.56167984009,-0.5703284,10:46:2
5.0,2.66332818901,7.30064606667,-0.5984771,10:46:12
5.0,2.46460018478,4.82574105263,-0.4866673,10:46:23
6.0,3.72516988952,4.72198009491,-0.3497481,10:46:47
2.0,0.77877540472,2.74048089981,-0.5010251,10:46:52
3.0,2.67692612505,0.316757917404,-0.4596511,10:47:18
