SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,9,16,37418,10:23:38,2,37,7.3,-3276.8,-41,0.08,0.28,3.86,43,74,65535,255,14.18,7.46,1,65535,0,65535,3,5,-0.78,-0.62,0.68,0.81,0.08,0.18,22.8,528,254,2,12,-0.1,415,423,487,0
1,2016,9,16,37419,10:23:39,2,37,7.3,-3276.8,-44,0.09,0.16,3.86,43,66,65535,255,14.18,5.44,12,65535,0,65535,3,6,-0.77,-0.66,0.66,0.87,0.09,0.18,22.8,528,254,-75,12,-0.1,415,421,508,0
2,2016,9,16,37420,10:23:40,2,36,7.5,-3276.8,-46,0.08,0.18,3.86,43,57,65535,255,14.18,3.86,22,65535,100,65535,3,7,-0.79,-0.59,0.61,0.81,0.06,0.18,22.8,512,254,0,12,-0.1,415,422,507,0
3,2016,9,16,37421,10:23:41,2,36,7.5,-3276.8,-46,0.04,0.15,3.86,43,51,65535,255,14.18,3.26,30,65535,100,65535,3,8,-0.77,-0.59,0.71,0.84,0.06,0.18,22.8,512,254,0,12,-0.1,415,422,508,0
4,2016,9,16,37422,10:23:42,2,36,7.9,-3276.8,-48,0.08,0.1,3.859,43,45,65535,255,7.8,2.84,37,65535,100,65535,3,9,-0.77,-0.61,0.69,0.83,0.1,0.18,22.8,512,254,-75,12,-0.1,421,430,528,0
5,2016,9,16,37423,10:23:43,2,36,7.9,-3276.8,-49,0.03,0.12,3.857,42,40,65535,255,7.8,2.4,44,65535,100,65535,3,10,-0.68,-0.59,0.75,0.84,0.07,0.15,22.8,512,254,0,12,-0.1,415,421,508,0
6,2016,9,16,37424,10:23:44,2,36,8.1,-3276.8,-47,0.1,0.08,3.856,42,35,65535,255,7.8,5.24,40,65535,100,65535,3,11,-0.69,-0.59,0.66,0.85,0.07,0.18,22.8,512,254,3,12,-0.1,415,421,508,0
7,2016,9,16,37425,10:23:45,2,36,8.1,-3276.8,-32,0.43,0.54,3.856,42,34,65535,255,7.8,5.64,35,65535,100,65535,3,12,-1.02,-0.55,0.16,0.9,0.06,0.2,22.8,512,254,-75,12,-0.1,416,421,507,0
8,2016,9,16,37426,10:23:46,2,37,8.4,-3276.8,-27,0.15,0.51,3.856,42,31,65535,255,7.8,8.96,31,65535,100,65535,3,13,-1.07,-0.85,0.16,0.43,0.04,0.16,22.8,512,254,3,12,-0.1,415,422,508,0
9,2016,9,16,37427,10:23:47,2,38,8.4,-3276.8,-15,0.46,1.02,3.856,42,29,65535,255,7.8,9.12,27,65535,100,65535,3,14,-1.63,-0.83,-0.43,0.48,0.01,0.2,22.8,512,254,-75,12,-0.1,416,422,505,0
