SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,9,17,47879081,13:17:59,2,34,6.8,-3276.8,-10,0.06,0.12,3.89,48,8,65535,255,3.22,0.94,32,65535,100,65535,3,11,-1,-0.95,0.04,0.19,0.13,0.18,23,512,254,-75,12,37.1,415,422,508,0
1,2016,9,17,47880083,13:18:0,2,34,6.8,-3276.8,-10,0.03,0.09,3.89,48,8,65535,255,3.22,1,28,65535,100,65535,3,12,-1,-0.97,0.12,0.19,0.13,0.18,23,512,254,-75,12,37.1,414,422,507,0
2,2016,9,17,47881084,13:18:1,2,34,6.7,-3276.8,-11,0.02,0.13,3.888,48,7,65535,255,3.22,0.88,25,65535,100,65535,3,13,-1,-0.96,0.09,0.18,0.14,0.36,23.1,512,254,0,12,37.1,415,422,507,0
3,2016,9,17,47882084,13:18:2,2,34,6.7,-3276.8,-11,0.01,0.04,3.886,47,7,65535,255,3.22,0.88,22,65535,100,65535,3,14,-1,-0.96,0.08,0.18,0.13,0.18,23.1,512,254,-75,12,37.1,415,422,494,0
4,2016,9,17,47883083,13:18:3,2,34,6.9,-3276.8,-12,0.01,0.03,3.885,47,6,65535,255,2.98,0.86,19,65535,0,65535,3,15,-1.01,-0.96,0.09,0.18,0.13,0.18,23.1,528,254,-75,12,37.1,416,422,507,0
5,2016,9,17,47884081,13:18:4,2,34,6.9,-3276.8,-11,0.01,0.06,3.885,47,6,65535,255,2.98,0.74,17,65535,0,65535,3,16,-1,-0.96,0.07,0.16,0.13,0.19,23.1,528,254,-75,12,37.1,422,426,515,0
6,2016,9,17,47885083,13:18:5,2,34,7.1,-3276.8,-11,0.01,0.03,3.885,47,5,65535,255,2.9,0.82,15,65535,0,65535,3,17,-1,-0.96,0.09,0.16,0.13,0.18,23.1,528,254,-75,12,37.1,415,423,508,0
7,2016,9,17,47886084,13:18:6,2,34,7.1,-3276.8,-12,0.01,0.04,3.885,47,5,65535,255,2.9,0.8,13,65535,0,65535,3,18,-1,-0.96,0.07,0.18,0.13,0.18,23.1,528,254,0,12,37.1,416,422,507,0
8,2016,9,17,47887083,13:18:7,2,34,7.6,-3276.8,-12,0.01,0.03,3.885,47,5,65535,255,2.14,0.86,12,65535,0,65535,3,19,-1.01,-0.97,0.08,0.15,0.14,0.19,23.1,528,254,-75,12,37.1,415,422,507,0
9,2016,9,17,47888084,13:18:8,2,34,7.6,-3276.8,-12,0.01,0.04,3.885,47,5,65535,255,2.14,1.38,10,65535,0,65535,3,20,-1.01,-0.97,0.07,0.18,0.14,0.18,23.1,528,254,-75,12,37.1,414,421,508,0
10,2016,9,17,47889085,13:18:9,2,34,8,-3276.8,-12,0.01,0.12,3.885,47,6,65535,255,2.14,1.38,9,65535,0,65535,3,21,-1,-0.96,0.09,0.18,-0.01,0.19,23.1,528,254,0,12,37.1,415,422,508,0
11,2016,9,17,47890083,13:18:10,2,34,8,-3276.8,-12,0.01,0.04,3.885,47,5,65535,255,2.14,1.18,8,65535,0,65535,3,22,-1.01,-0.96,0.09,0.18,0.15,0.19,23.2,528,254,-75,12,37.1,412,427,508,0
12,2016,9,17,47891085,13:18:11,2,34,8.7,-3276.8,-12,0.01,0.04,3.885,47,5,65535,255,2.14,0.94,13,65535,0,65535,3,23,-1.01,-0.97,0.08,0.18,0.14,0.18,23.2,528,254,-75,12,37.1,415,423,507,0
13,2016,9,17,47892084,13:18:12,2,35,8.7,-3276.8,-12,0.01,0.03,3.885,47,5,65535,255,2.14,0.94,16,65535,0,65535,3,24,-1,-0.96,0.07,0.15,0.15,0.19,23.2,528,254,-75,12,37.1,416,423,507,0
14,2016,9,17,47893086,13:18:13,2,36,9.4,-3276.8,-12,0.01,0.02,3.885,47,5,65535,255,2.14,0.82,25,65535,100,65535,3,25,-1,-0.97,0.09,0.15,0.14,0.18,23.2,512,235,-75,12,37.1,414,422,508,0
15,2016,9,17,47894081,13:18:14,2,37,9.4,-3276.8,-12,0.02,0.06,3.884,47,5,65535,255,2.14,2.02,32,65535,100,65535,3,26,-1.02,-0.95,0.09,0.19,0.15,0.19,23.2,512,254,-75,12,37.1,415,422,508,0
16,2016,9,17,47895083,13:18:15,2,37,9.9,-3276.8,-12,0.01,0.04,3.884,47,5,65535,255,2.14,1.34,39,65535,100,65535,3,27,-1,-0.96,0.08,0.18,0.14,0.2,23.2,512,254,-75,12,37.1,416,422,507,0
17,2016,9,17,47896083,13:18:16,2,37,9.9,-3276.8,-12,0.01,0.06,3.884,47,4,65535,255,2.14,1.46,45,65535,100,65535,3,28,-1,-0.96,0.07,0.18,0.15,0.19,23.2,512,235,-75,12,37.1,415,423,508,0
18,2016,9,17,47897085,13:18:17,2,37,10.4,-3276.8,-12,0.02,0.07,3.884,47,5,65535,255,2.14,2.98,49,65535,100,65535,3,29,-1.06,-0.96,0.1,0.2,0.14,0.21,23.2,512,254,1,12,37.1,415,422,508,0
19,2016,9,17,47898083,13:18:18,2,38,10.4,-3276.8,-12,0.01,0.09,3.884,47,6,65535,255,2.14,2.28,53,65535,100,65535,3,30,-1.14,-0.95,0.12,0.2,0.15,0.2,23.2,512,254,-75,12,37.1,416,423,477,0
20,2016,9,17,47899085,13:18:19,2,39,10.9,-3276.8,-12,0.01,0.03,3.884,47,6,65535,255,2.14,1.62,57,65535,100,65535,3,31,-1,-0.95,0.1,0.19,0.15,0.21,23.2,512,254,-75,12,37.1,414,421,508,0
21,2016,9,17,47900084,13:18:20,2,40,10.9,-3276.8,-13,0.01,0.03,3.884,47,7,65535,255,2.14,1.2,50,65535,100,65535,3,32,-1,-0.96,0.12,0.19,0.16,0.21,23.2,512,254,0,12,37.1,415,422,507,0
22,2016,9,17,47901084,13:18:21,2,41,11,-3276.8,-13,0.01,0.04,3.884,47,7,65535,255,2.14,0.98,44,65535,0,65535,1,0,-1,-0.96,0.1,0.2,0.16,0.21,23.2,528,254,-75,12,37.1,407,413,504,0
23,2016,9,17,47902084,13:18:22,2,42,11,-3276.8,-13,0.01,0.04,3.884,47,6,65535,255,2.14,0.82,38,65535,100,65535,1,1,-1,-0.96,0.1,0.2,0.16,0.21,23.2,512,254,0,12,37.1,416,422,507,0
24,2016,9,17,47903085,13:18:23,2,42,11.1,-3276.8,-13,0.01,0.03,3.884,47,6,65535,255,2.14,1.76,34,65535,100,65535,1,2,-1,-0.96,0.12,0.19,0.16,0.2,23.2,512,254,0,12,37.1,418,429,511,0
25,2016,9,17,47904083,13:18:24,2,43,11.1,-3276.8,-13,0.01,0.03,3.884,47,7,65535,255,2.14,2.02,29,65535,100,65535,1,3,-1,-0.96,0.12,0.19,0.16,0.19,23.2,512,254,-75,12,37.1,415,422,507,0
26,2016,9,17,47905084,13:18:25,2,43,11.2,-3276.8,-13,0.01,0.03,3.884,47,6,65535,255,2.14,1.5,26,65535,100,65535,1,4,-1,-0.95,0.12,0.2,0.15,0.2,23.2,512,254,0,12,37.1,415,422,507,0
