clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.00539873962394,1.00135803223e-05,-0.6044302,20:10:56
2.0,2.34356665511,6.57639598846,-0.4260792,20:11:8
2.0,0.998570744582,5.80206394196,-0.4803626,20:11:18
2.0,1.92405309843,5.11419320107,-0.5061176,20:11:25
3.0,1.81961992248,5.13019585609,-0.5091076,20:11:34
2.0,1.32116978763,2.7497780323,-0.4900060,20:11:41
1.0,0.640092684126,5.18329405785,-0.5158439,20:12:0
2.0,2.07830567877,8.61014199257,-0.5940121,20:12:12
3.0,1.74092780392,6.98536086082,-0.4217013,20:12:25
2.0,1.42693951766,2.01541686058,-0.4719344,20:12:34
2.0,1.21668812912,5.61788916588,-0.5017985,20:12:47
1.0,0.0504753603358,4.0523250103,-0.5139412,20:12:54
3.0,2.77583980619,11.1133561134,-0.5619508,20:13:19
2.0,0.914960901806,7.11036396027,-0.4604230,20:13:30
2.0,1.52319896984,1.76365303993,-0.4757813,20:13:38
2.0,1.00572823248,3.51493883133,-0.5199184,20:13:45
2.0,1.06671299697,4.39205312729,-0.5005283,20:13:53
2.0,1.71317456373,3.65455198288,-0.4843066,20:14:1
2.0,0.173697567557,3.55718898773,-0.5179126,20:14:9
3.0,2.59479567747,8.83357310295,-0.5772412,20:14:32
2.0,1.29920921301,4.14723682404,-0.5038023,20:14:41
1.0,0.59623247183,5.0824379921,-0.5158439,20:14:51
3.0,1.31700339204,4.73456907272,-0.5171367,20:14:59
1.0,0.22757137653,3.01629304886,-0.5004347,20:15:7
3.0,1.86695524214,6.93323493004,-0.3993816,20:15:25
2.0,1.37390204281,2.51039004326,-0.4944406,20:15:32
2.0,1.17704480816,6.19116902351,-0.4662436,20:15:42
2.0,0.933305444033,4.35738110542,-0.5065756,20:15:52
2.0,0.8684085441,3.58076810837,-0.5135171,20:16:2
3.0,1.6054420085,5.19897484779,-0.5176542,20:16:28
0.0,0.0499638563028,0.705816030502,-0.5984115,20:16:48
