SeqNo,Year,Month,Day,ms,time,PacketVersion,HR,BR,SkinTemp,Posture,Activity,Peak Accel,BattV,Batt%,BrWaveAmp,BrWaveNoise,BRConf,ECGAmp,ECGNoise,HRConf,HRV,SysConf,GSR,ROGState,ROGTime,VerticalAccelMin,VerticalAccelPeak,LateralAccelMin,LateralAccelPeak,SagittalAccelMin,SagittalAccelPeak,DeviceTemp,StatusInfo,LinkQual,RSSI,TXPower,EstimatedCoreTemp,AuxADC1,AuxADC2,AuxADC3,Reserved
0,2016,9,16,56761076,10:46:1,2,25,5.3,-3276.8,-10,0.02,0.04,3.857,42,7,65535,255,4.42,2.28,0,65535,0,65535,3,21,-1.02,-0.96,0.14,0.2,-0.01,0.09,25.9,528,254,0,12,-0.1,414,420,508,0
1,2016,9,16,56762079,10:46:2,2,25,5.3,-3276.8,-10,0.02,0.06,3.856,42,6,65535,255,4.42,2.06,0,65535,0,65535,3,22,-1,-0.96,0.13,0.2,0,0.1,25.9,528,254,-75,12,-0.1,415,420,507,0
2,2016,9,16,56763076,10:46:3,2,25,5.9,-3276.8,-10,0.02,0.03,3.856,42,5,65535,255,4.42,2,0,65535,0,65535,3,23,-1,-0.96,0.15,0.2,0,0.08,25.9,528,254,0,12,-0.1,415,420,507,0
3,2016,9,16,56764081,10:46:4,2,25,5.9,-3276.8,-10,0.02,0.1,3.856,42,5,65535,255,4.42,2.4,0,65535,0,65535,3,24,-1.02,-0.95,0.13,0.2,0.02,0.16,25.9,528,254,1,12,-0.1,414,420,507,0
4,2016,9,16,56765079,10:46:5,2,25,7.1,-3276.8,-10,0.01,0.02,3.856,42,4,65535,255,4.42,2.5,0,65535,0,65535,3,25,-1,-0.97,0.15,0.2,0.02,0.09,25.9,528,254,-75,12,-0.1,416,426,519,0
5,2016,9,16,56766076,10:46:6,2,25,7.1,-3276.8,-10,0.02,0.04,3.856,42,4,65535,255,4.42,2.02,0,65535,0,65535,3,26,-1,-0.95,0.14,0.2,0.03,0.12,25.9,528,254,0,12,-0.1,414,420,507,0
6,2016,9,16,56767079,10:46:7,2,25,8.2,-3276.8,-10,0.01,0.04,3.856,42,3,65535,255,4.42,2.08,0,65535,0,65535,3,27,-1.01,-0.96,0.14,0.2,0.02,0.12,25.9,528,254,-75,12,37.1,414,420,506,0
7,2016,9,16,56768078,10:46:8,2,26,8.2,-3276.8,-10,0.01,0.04,3.856,42,3,65535,255,4.42,1.92,0,65535,0,65535,3,28,-1,-0.95,0.13,0.22,0.01,0.09,25.9,528,254,-75,12,37.1,416,427,516,0
8,2016,9,16,56769079,10:46:9,2,26,9.5,-3276.8,-10,0.02,0.04,3.856,42,3,65535,255,4.42,1.8,0,65535,0,65535,3,29,-1,-0.96,0.14,0.21,0,0.1,25.9,528,254,-75,12,37.1,415,419,507,0
9,2016,9,16,56770079,10:46:10,2,26,9.5,-3276.8,-12,0.04,0.1,3.856,42,2,65535,255,4.42,1.74,0,65535,0,65535,3,30,-1,-0.95,0.18,0.3,-0.04,0.06,25.9,528,254,-75,12,37.1,414,419,507,0
10,2016,9,16,56771079,10:46:11,2,27,10.9,-3276.8,-11,0.01,0.04,3.856,42,2,65535,255,4.38,1.72,0,65535,0,65535,3,31,-1.01,-0.96,0.15,0.24,-0.02,0.04,25.9,528,254,0,12,37.1,415,420,507,0
11,2016,9,16,56772079,10:46:12,2,27,10.9,-3276.8,-11,0.02,0.06,3.855,42,2,65535,255,4.38,2,0,65535,0,65535,3,32,-1,-0.96,0.18,0.21,-0.01,0.08,26,528,254,-75,12,37.1,415,420,507,0
12,2016,9,16,56773081,10:46:13,2,27,12.5,-3276.8,-11,0.01,0.04,3.855,42,2,65535,255,4.38,1.7,0,65535,0,65535,0,0,-1,-0.95,0.16,0.21,-0.02,0.07,26,531,254,0,12,37.1,414,420,508,0
13,2016,9,16,56774078,10:46:14,2,27,12.5,-3276.8,-11,0.01,0.03,3.854,42,2,65535,255,4.38,1.56,0,65535,0,65535,0,0,-1,-0.95,0.18,0.24,-0.01,0.03,26,531,254,0,12,37.1,416,420,507,0
14,2016,9,16,56775082,10:46:15,2,27,14,-3276.8,-11,0.01,0.02,3.854,42,2,65535,255,4.36,1.7,0,65535,0,65535,3,0,-1,-0.96,0.16,0.22,0,0.04,26,528,254,-75,12,37.1,415,420,507,0
15,2016,9,16,56776083,10:46:16,2,27,14,-3276.8,-11,0.01,0.04,3.854,42,1,65535,255,4.36,1.38,0,65535,0,65535,3,1,-1,-0.95,0.16,0.22,0,0.07,26,528,254,2,12,37.1,415,420,506,0
16,2016,9,16,56777083,10:46:17,2,26,15.6,-3276.8,-11,0.01,0.04,3.854,42,1,65535,255,3.96,1.68,0,65535,0,65535,3,2,-1,-0.96,0.18,0.22,-0.01,0.07,26,528,254,0,12,37.1,408,402,499,0
17,2016,9,16,56778084,10:46:18,2,26,15.6,-3276.8,-12,0.01,0.12,3.854,42,1,65535,255,3.96,1.34,0,65535,0,65535,3,3,-0.98,-0.96,0.01,0.25,0,0.08,26,528,254,-75,12,37.1,415,420,507,0
18,2016,9,16,56779084,10:46:19,2,26,16.4,-3276.8,-12,0.01,0.03,3.854,42,1,65535,255,3.58,1.38,0,65535,0,65535,3,4,-1,-0.96,0.19,0.22,-0.01,0.06,26,528,254,-75,12,37.1,415,420,507,0
19,2016,9,16,56780083,10:46:20,2,26,16.4,-3276.8,-12,0.01,0.03,3.854,42,1,65535,255,3.58,1.26,0,65535,0,65535,3,5,-1,-0.96,0.19,0.22,-0.01,0.06,26,528,254,-75,12,37.1,400,410,521,0
