clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0,0.8641964082,0.000025034,-0.6017857,10:45:9
5,3.2460452916,6.0367739201,-0.3231798,10:45:21
3,1.4260727676,1.0258350372,-0.4765115,10:45:26
2,1.8039249124,6.9299249649,-0.4130362,10:45:36
5,2.4121261737,6.5989849567,-0.3710217,10:45:49
3,1.2494937374,5.1959929466,-0.5273833,10:46:0
8,3.4248268252,5.0091109276,-0.4321175,10:46:22
4,2.4284325308,0.8350818157,-0.4660628,10:46:39
1,1.3481515815,0.2406439781,-0.5902218,10:46:44
9,5.8208428284,21.2800228596,-0.4316288,10:47:9
16,9.2338549848,46.0717828274,-0.4268053,10:48:0
1,0.0846283944,0.8201129436,-0.5984115,10:48:4
5,2.1333221986,3.5427100658,-0.4650148,10:48:18
4,2.2568060384,3.9790132046,-0.3748022,10:48:36
4,2.4440083141,11.3870639801,-0.5728763,10:48:58
5,2.4759828444,6.3395860195,-0.3673388,10:49:15
