clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.456376458094,1.59740447998e-05,-0.6003211,13:29:18
8.0,4.03912074689,9.56665182114,-0.4904480,13:29:40
5.0,2.48570529824,9.58773612976,-0.5406399,13:29:53
5.0,1.88707948255,6.05306410789,-0.3159179,13:30:5
5.0,2.76401695337,4.681828022,-0.3846225,13:30:20
7.0,3.22473060602,4.51467490196,-0.3613772,13:30:33
15.0,7.41341406038,14.2454998493,-0.4154377,13:31:8
6.0,2.14377378222,3.94885611534,-0.4881566,13:31:22
4.0,2.0244760489,6.99958610535,-0.3265597,13:31:45
4.0,1.80531491935,7.04970502853,-0.2993391,13:31:58
5.0,1.76110352062,0.291009187698,-0.5175483,13:32:16
