clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.457284349278,1.19209289551e-05,-0.6003211,13:29:18
8.0,4.03692890368,5.88698101044,-0.3836536,13:29:40
5.0,2.48589332866,0.836975097656,-0.4721822,13:29:53
4.0,1.74341033084,1.08435082436,-0.3720455,13:30:2
10.0,4.86781249543,3.16175889969,-0.4622935,13:30:28
14.0,6.81988700828,4.76890492439,-0.4452009,13:30:55
4.0,1.47290350046,3.51300978661,-0.4328699,13:31:2
2.0,0.980339905469,0.0173881053925,-0.6081869,13:31:12
3.0,1.52758117324,4.28578591347,-0.4945309,13:31:21
5.0,1.72150957828,10.7597310543,-0.5814334,13:31:42
4.0,1.91873839529,7.19258403778,-0.5953453,13:31:55
5.0,1.97282290772,0.441653013229,-0.5318913,13:32:15
