clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.340996995916,1.59740447998e-05,-0.6044302,20:33:35
4.0,4.40500613938,11.7001230717,-0.4408731,20:33:55
4.0,1.95172411163,7.30201196671,-0.6174523,20:34:8
4.0,1.9393393625,9.55458402634,-0.6254491,20:34:29
2.0,0.861754777605,5.45466399193,-0.5421742,20:34:36
5.0,3.46695134521,16.8439719677,-0.6190596,20:34:57
6.0,2.34300762066,20.3686621189,-0.5718418,20:35:23
4.0,4.22185124619,17.8223080635,-0.4758707,20:35:44
10.0,7.28473354129,35.8109679222,-0.3756869,20:36:25
11.0,8.11476622462,23.9623448849,-0.4014899,20:37:34
