clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0,7.15255737305e-06,-0.6044302,15:5:38
7.0,4.59420710307,18.1614038944,-0.4199356,15:5:59
7.0,3.85994696892,15.4432959557,-0.4469205,15:6:19
7.0,4.35193505581,10.4476020336,-0.4537874,15:6:38
5.0,2.2540772937,7.15021586418,-0.3395943,15:6:50
4.0,2.28499708441,9.63105607033,-0.5809385,15:7:6
7.0,3.48007376169,11.1435620785,-0.5289513,15:7:22
12.0,5.49719564674,11.5683031082,-0.5331307,15:7:44
7.0,3.34251537597,12.3527460098,-0.5602908,15:7:59
2.0,2.57063359928,5.5910141468,-0.4609345,15:8:8
12.0,7.42994370519,26.8851850033,-0.4014899,15:8:42
3.0,2.10229674205,0.792129993439,-0.5491912,15:8:49
8.0,5.98644163805,11.354156971,-0.3748319,15:9:16
3.0,1.49791336545,1.51622605324,-0.4661761,15:9:30
10.0,6.72773912111,3.63069605827,-0.4517245,15:9:52
6.0,3.97526990183,4.90268993378,-0.3295824,15:10:13
2.0,1.24721826308,1.06555104256,-0.5009743,15:10:20
2.0,1.70802639556,1.32933497429,-0.4464472,15:10:28
2.0,1.44963117389,1.21202301979,-0.4698107,15:10:34
