Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.19353206983711116,95.0,101,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.0463234118648633,66.0,85,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.5391415230818308,66.0,78,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.06686439496547451,61.0,58,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.11854125804110062,61.0,49,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.11056662424561511,59.0,42,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.2186509223695171,58.0,28,0.0,0,3.255,3.3154660880606124,3.255,3.3154660880606124
False,0.36977107060369113,59.0,72,0.0,1,5.23,3.0419344609142662,5.23,3.0419344609142662
False,0.12743122772818563,66.0,73,0.0,2,3.255,2.8993659966155567,3.255,2.8993659966155567
False,0.23771644516291707,65.0,55,0.0,3,3.5458258624414745,5.1,3.5458258624414745,5.1
