Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,120,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.03964085412145286,96.0,107,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.019914197327963665,95.0,99,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.02804100278935835,95.0,89,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.021552480606832344,93.0,80,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.05397400841111892,93.0,72,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.023279359091777977,93.0,62,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.0602449099818043,90.0,55,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.05937775844239224,85.0,49,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.03210755130638035,85.0,43,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.08614934971770402,85.0,30,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.04528788213470691,82.0,20,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
False,0.09994555247957795,82.0,14,0.0,0,6.23,4.0333455968791325,6.23,4.0333455968791325
