Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,100.0,119,0.0,0,2.8751782161923485,5.1,2.8751782161923485,5.1
False,0.006844735744793531,95.0,105,0.0,0,2.8751782161923485,5.1,2.8751782161923485,5.1
False,0.7956557162179659,99,107,0.0,1,6.519040456652948,5.5,6.519040456652948,5.5
False,0.7249646730972894,99,98,0.0,1,6.519040456652948,5.5,6.519040456652948,5.5
False,0.2471708213796444,97,85,0.0,1,6.519040456652948,5.5,6.519040456652948,5.5
False,0.588438956369808,87,84,0.0,2,6.658267557309435,6.0,6.658267557309435,6.0
False,0.13693373920173355,82,69,0.0,2,6.658267557309435,6.0,6.658267557309435,6.0
False,0.6019796925301643,87,67,0.0,3,6.73,4.521600627344676,6.73,4.521600627344676
False,0.40818690161351384,96,55,0.0,4,2.6,3.8629753341679076,2.6,3.8629753341679076
False,0.25114763894585423,95,44,0.0,4,2.6,3.8629753341679076,2.6,3.8629753341679076
