Trusted?,Disparity,Health,Delay,Percent Trust,Collected Coins
True,0.011804526464994799,96.0,-0.4159952780208118,1.0,0
True,0.02116303621329106,95.0,-0.26172275583971283,1.0,0
True,0.021589140578377224,95.0,-0.6208426120148254,1.0,0
True,0.1174514842155616,91.0,-0.3857388400184485,1.0,0
True,0.027668314796316283,89.0,-0.5102455403248856,1.0,1
True,0.03623787968009229,87.0,0.08484999786610992,1.0,2
True,0.0639763178815246,85.0,0.22914326203129942,1.0,3
True,0.01808578334498972,82.0,-0.045626898597628696,1.0,4
True,0.33461403664081324,79.0,-0.031517694244754146,1.0,5
False,0.210572554984064,48.0,-0.4654068307949686,0.9,6
False,0.011189039879689165,24.0,0.004157700370911677,0.8181818181818182,7
False,0.026337776343875716,24.0,-1.0564406065955247,0.75,7
False,0.3406217185823807,24.0,-0.30663293224189214,0.6923076923076923,7
False,0.17332056228603962,9.0,0.29897511147149114,0.6428571428571429,8
False,0.03277921800549736,6.0,0.04914492975607754,0.6,9
False,0.14132587652501127,4.0,0.3351174967184338,0.5625,10
False,0.6398791999402151,-18.0,0.07599196133196173,0.5294117647058824,11
False,0.0986294353488242,-24.0,0.4758280307403524,0.5,12
