clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.864196408167,2.50339508057e-05,-0.6017857,10:45:9
5.0,3.24604529158,6.03677392006,-0.3231798,10:45:21
3.0,1.42607276761,1.02583503723,-0.4765115,10:45:26
2.0,1.80392491238,6.9299249649,-0.4130362,10:45:36
5.0,2.41212617368,6.59898495674,-0.3710217,10:45:49
3.0,1.24949373739,5.19599294662,-0.5273833,10:46:0
8.0,3.42482682515,5.00911092758,-0.4321175,10:46:22
4.0,2.42843253077,0.83508181572,-0.4660628,10:46:39
1.0,1.34815158145,0.240643978119,-0.5902218,10:46:44
9.0,5.82084282836,21.2800228596,-0.4316288,10:47:9
16.0,9.23385498477,46.0717828274,-0.4268053,10:48:0
1.0,0.0846283944283,0.820112943649,-0.5984115,10:48:4
5.0,2.13332219855,3.54271006584,-0.4650148,10:48:18
4.0,2.25680603843,3.97901320457,-0.3748022,10:48:36
4.0,2.44400831406,11.3870639801,-0.5728763,10:48:58
5.0,2.47598284443,6.33958601952,-0.3673388,10:49:15
