clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0,3.19480895996e-05,-0.6044302,11:3:43
14.0,10.3795102275,13.3903598785,-0.4048852,11:4:30
4.0,3.13819724433,8.51736807823,-0.5691175,11:4:41
4.0,2.8162300123,2.93584108353,-0.3034337,11:4:51
15.0,9.39408676621,23.9622380733,-0.4268053,11:5:25
12.0,8.74203033759,20.500056982,-0.4014899,11:5:57
6.0,3.79694799598,8.44814705849,-0.4860574,11:6:9
15.0,9.60630620567,31.6829221249,-0.4268053,11:6:55
5.0,3.89390732141,11.5987660885,-0.4666990,11:7:14
6.0,4.28438144769,5.86708211899,-0.3339434,11:7:39
8.0,5.93939606743,15.6735200882,-0.3400681,11:8:5
3.0,3.5618427094,4.03415298462,-0.3600021,11:8:16
5.0,4.75121768099,7.9596619606,-0.4807069,11:8:33
26.0,16.8459999277,26.2576298714,-0.4370257,11:10:37
