clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0,1.19209289551e-05,-0.6044302,10:45:8
7.0,4.55656524813,10.8377690315,-0.4711571,10:45:23
3.0,1.58225920676,1.89953708649,-0.4729998,10:45:32
4.0,2.60188657019,6.01558804512,-0.3566828,10:45:43
4.0,1.89939281395,6.88033795357,-0.2990650,10:45:54
10.0,4.92439159656,16.4060130119,-0.4709546,10:46:28
2.0,2.00979556682,0.0810880661011,-0.5528659,10:46:42
2.0,0.827667373771,2.89231801033,-0.5010251,10:46:47
8.0,5.61336399755,5.44184494019,-0.4154287,10:47:9
6.0,4.23256446246,4.9349861145,-0.3410892,10:47:26
3.0,1.19231622822,1.31811308861,-0.4851651,10:47:36
1.0,1.07488309364,0.603532075882,-0.5955772,10:47:46
2.0,0.989904247892,0.88450717926,-0.6021681,10:47:51
13.0,5.80077248139,20.348790884,-0.4592202,10:48:28
5.0,2.58580524935,24.0853719711,-0.5901852,10:48:55
4.0,2.45389661535,5.6895570755,-0.4598740,10:49:12
6.0,3.03031591619,10.1804480553,-0.5505561,10:49:30
3.0,2.62510170203,5.20723795891,-0.4235924,10:49:39
5.0,2.41635417656,1.50335788727,-0.3772280,10:49:54
2.0,1.12408481146,0.146861076355,-0.6015959,10:50:2
2.0,2.04000632601,11.2296469212,-0.6177818,10:50:23
2.0,0.725744447636,3.64398002625,-0.5118029,10:50:35
4.0,2.67123868879,7.79549503326,-0.5689515,10:50:53
3.0,1.25106392116,1.63819503784,-0.4976563,10:51:4
0.0,0.518831178083,1.92408585548,-0.4907947,10:51:8
2.0,0.569753214332,2.86944508553,-0.4963256,10:51:14
0.0,1.35079530013,0.390732049942,-0.5902218,10:51:30
