clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.974768511567,1.19209289551e-05,-0.6081869,14:50:0
8.0,4.35008781645,15.6691551208,-0.4282014,14:50:21
8.0,3.18979663048,5.90561008453,-0.4388989,14:50:36
9.0,5.94000909362,3.96606683731,-0.4263549,14:51:2
4.0,2.05711193328,4.4519431591,-0.5025023,14:51:17
9.0,4.78742908983,24.2245869637,-0.5006595,14:51:50
6.0,3.06910194352,3.85259389877,-0.3760692,14:52:3
9.0,4.05141073226,2.92165803909,-0.4512216,14:52:22
4.0,3.26542911934,4.84661102295,-0.3510011,14:52:40
2.0,1.96115493084,2.21397399902,-0.4700768,14:52:47
10.0,4.4997684144,7.78460001945,-0.5509009,14:53:8
2.0,0.917881764796,0.335139989853,-0.6017857,14:53:15
4.0,3.30366240742,6.63562297821,-0.3364139,14:53:32
