clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0,1.19209289551e-05,-0.6044302,15:5:39
7.0,4.72095286939,12.2349359989,-0.3932025,15:6:0
7.0,3.7332012026,1.40688705444,-0.3438199,15:6:19
2.0,1.54639164167,4.97284507751,-0.5237343,15:6:26
9.0,4.98681881584,13.9720551968,-0.4483995,15:6:49
7.0,3.19349610978,6.46618795395,-0.3660658,15:7:10
4.0,1.68790313201,3.69571805,-0.4056138,15:7:17
8.0,3.65088633588,10.6251239777,-0.5241619,15:7:35
12.0,6.71036871055,12.0656919479,-0.4068289,15:8:1
5.0,3.79898181693,10.5440559387,-0.4757944,15:8:16
9.0,5.85855035993,13.5569281578,-0.3831560,15:8:42
5.0,3.87789293564,8.82121896744,-0.4785492,15:8:59
5.0,2.82383131833,13.0437538624,-0.5519080,15:9:13
10.0,6.67683242082,0.502599000931,-0.5158572,15:9:42
