clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.486004365402,1.90734863281e-05,-0.6003211,20:1:49
2.0,1.28757459153,9.45880103111,-0.6230363,20:2:2
2.0,1.98562155996,6.638890028,-0.4285624,20:2:17
4.0,1.84838145426,14.9582779408,-0.6590826,20:2:35
4.0,2.18356879915,13.3937311172,-0.6320397,20:2:49
2.0,1.77250586012,7.81147098541,-0.6226770,20:3:1
2.0,1.42383471934,5.77103590965,-0.4693831,20:3:10
2.0,0.624637437621,7.90779209137,-0.6141999,20:3:20
4.0,2.31378560012,8.19962882996,-0.5589783,20:3:39
6.0,3.20978012964,9.38286399841,-0.5895845,20:4:3
