clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.676912846005,1.00135803223e-05,-0.6003211,20:44:1
6.0,4.20192746683,6.58362603188,-0.3319205,20:44:24
2.0,1.59477836376,8.35567998886,-0.6166207,20:44:36
4.0,2.24082625632,9.57108616829,-0.5817123,20:44:49
5.0,2.7033266844,9.79931688309,-0.5291564,20:45:3
3.0,1.52456034785,11.7234120369,-0.6301466,20:45:19
2.0,0.68381551101,3.7520699501,-0.5118029,20:45:27
4.0,4.081642807,15.9188559055,-0.4663117,20:45:59
3.0,4.06157894493,11.692579031,-0.4390174,20:46:21
4.0,1.3133525184,8.38850998878,-0.5896345,20:46:33
3.0,3.46562631073,12.7829921246,-0.6148134,20:46:50
6.0,3.33306467178,14.2641990185,-0.6108640,20:47:9
3.0,2.53714345691,7.70346212387,-0.6373099,20:47:22
3.0,5.0104533653,40.3046700954,-0.5336944,20:48:17
3.0,1.81757094332,7.97188806534,-0.6143559,20:48:29
3.0,1.43982887556,4.01420903206,-0.4894221,20:48:42
