clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s,sayanti_ov,sayanti_ov_normalized
0,0.1229541017,4.00543212891E-005,-0.6044302,10:41:02,60,-0.6
0,0.3469660166,8.10623168945E-006,-0.6003211,10:41:03,60,-0.6
4,2.360378835,4.0965309143,-0.3897128,10:41:12,10,-0.1
3,1.7821814028,8.8329842091,-0.6158479,10:41:26,20,-0.2
2,0.7976066758,4.4387300015,-0.5084468,10:41:32,20,-0.2
11,6.2402457272,11.6591148376,-0.4000011,10:41:38,20,-0.2
2,1.6268598862,3.9475431442,-0.493294,10:41:41,30,-0.3
4,2.017939032,5.4479789734,-0.487255,10:41:50,30,-0.3
5,2.4572947296,7.8321039677,-0.5382801,10:41:54,20,-0.2
4,2.7071771959,10.3674960136,-0.5634146,10:42:09,30,-0.3
3,1.9850655565,12.2749581337,-0.655726,10:42:10,20,-0.2
4,2.1829029361,6.5197730064,-0.3766514,10:42:22,30,-0.3
4,2.0222211876,9.3038330078,-0.6212562,10:42:23,30,-0.3
4,2.6176127047,6.1413722038,-0.357042,10:42:33,50,-0.5
6,3.559967394,10.5664508343,-0.5535268,10:42:42,50,-0.5
2,1.5162499362,7.1309320927,-0.4423192,10:42:45,40,-0.4
3,1.3556404843,4.6288080216,-0.5249406,10:42:52,60,-0.6
6,2.4867685032,11.9268410206,-0.5636145,10:43:00,60,-0.6
3,1.5989519207,2.1345829964,-0.4689874,10:43:00,50,-0.5
3,1.923531104,7.5603210926,-0.6502562,10:43:14,60,-0.6
5,3.4050257858,16.0601789951,-0.5926873,10:43:25,60,-0.6
4,2.4345930552,12.6188719273,-0.5987312,10:43:31,60,-0.6
5,2.0275193483,6.5746397972,-0.3474386,10:43:37,50,-0.5
3,1.0962176392,5.8516077995,-0.4589129,10:43:38,50,-0.5
2,1.3391291508,7.0914700031,-0.4519297,10:43:48,40,-0.4
6,3.8947327696,15.2362699509,-0.4703718,10:44:07,50,-0.5
4,3.0777560182,15.8334121704,-0.5653002,10:44:08,40,-0.4
2,1.6067196551,2.8947560787,-0.4700873,10:44:14,60,-0.6
5,2.7695925534,10.8763728142,-0.5211175,10:44:23,50,-0.5
4,2.323069412,9.2004389763,-0.5834602,10:44:29,40,-0.4
4,2.0219157237,9.8268549442,-0.6248193,10:44:43,60,-0.6
5,2.8832442022,9.9212698937,-0.5478882,10:44:44,70,-0.7
4,1.3477209206,1.6132240295,-0.4435489,10:44:50,70,-0.7
6,2.365895181,6.0189847946,-0.398674,10:44:55,70,-0.7
3,1.8810278071,4.3049869537,-0.4602337,10:44:58,70,-0.7
2,1.8458191925,4.4976639748,-0.5108159,10:45:03,60,-0.6
5,2.267140232,7.475810051,-0.5966269,10:45:08,50,-0.5
4,1.6765907785,5.0568628311,-0.4290135,10:45:12,80,-0.8
4,2.7313697938,21.3397209644,-0.609516,10:45:35,60,-0.6
4,2.6589204009,7.9739868641,-0.555186,10:45:35,50,-0.5
3,1.9807200042,4.3110780716,-0.4730799,10:45:42,70,-0.7
4,2.4483458383,8.1279289722,-0.5604088,10:45:47,50,-0.5
4,2.3687060228,9.0862700939,-0.5830644,10:45:55,50,-0.5
4,2.6639758489,9.5616798401,-0.5703284,10:46:02,50,-0.5
5,2.4480685039,8.7788980007,-0.5239673,10:46:08,60,-0.6
5,2.663328189,7.3006460667,-0.5984771,10:46:12,70,-0.7
3,2.2163061812,5.651309967,-0.4713115,10:46:16,60,-0.6
5,2.4646001848,4.8257410526,-0.4866673,10:46:23,50,-0.5
5,2.4817421048,5.5868098736,-0.4464682,10:46:29,70,-0.7
2,1.5403313737,5.5373120308,-0.5340086,10:46:40,60,-0.6
6,3.7251698895,4.7219800949,-0.3497481,10:46:47,50,-0.5
3,1.52734265,4.1646080017,-0.4938655,10:46:49,40,-0.4
2,0.7787754047,2.7404808998,-0.5010251,10:46:52,50,-0.5
3,0.8385993937,6.2458970547,-0.465673,10:47:00,40,-0.4
3,2.6769261251,0.3167579174,-0.4596511,10:47:18,40,-0.4
