clicks,mouse movements,decision intervals,Cognitive Stress Prediction(rf),h:m:s
0.0,0.0,1.50203704834e-05,-0.6044302,2016_9_26-12_13_10
3.0,3.8192753462,11.1126041412,-0.5139003,2016_9_26-12_13_28
6.0,4.19236893714,4.29678297043,-0.3296317,2016_9_26-12_13_54
1.0,0.719737750137,0.034679889679,-0.6003211,2016_9_26-12_14_5
2.0,1.23521351046,3.29213500023,-0.5244521,2016_9_26-12_14_18
3.0,2.07683883482,7.07101392746,-0.4107434,2016_9_26-12_14_29
2.0,0.665028536646,2.03090190887,-0.4907947,2016_9_26-12_14_45
3.0,1.92999473486,4.58782196045,-0.5087320,2016_9_26-12_15_4
2.0,0.800097981925,1.17012810707,-0.4923890,2016_9_26-12_15_12
1.0,1.1423707895,1.65695500374,-0.4946937,2016_9_26-12_15_23
2.0,2.33751025308,10.9561979771,-0.5792478,2016_9_26-12_16_2
