Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value
prospero,220.625374,False,0,100000,0,5.73,6,5.73,6,1.90735e-08,0,8398.97
*,*,*,3.53048,10000,0,5.73,4.6,5.73,4.6,9.72561e-08,-0.0973542,0.2041
*,*,*,12.6121,10000,0,6.23,4.6,6.23,4.6,9.72561e-08,-0.373407,0.230934
*,*,*,19.3766,10000,0,6.23,5.5,6.23,5.5,1.90735e-08,-0.526288,0.245795
*,*,*,26.0089,10000,0,6.73,5.5,6.73,5.5,1.90735e-08,-0.517969,0.244986
*,*,*,32.6584,10000,0,6.73,2.9,6.73,2.8,0.1,-2.65165,0.442674
*,*,*,43.9197,10000,0,6.23,2.9,6.23,2.8,0.1,-3.1086,0.487093
*,*,*,48.5626,10000,0,6.23,4.1,6.23,4.1,9.72561e-08,-1.25275,0.316412
*,*,*,55.3732,10000,0,5.73,4.1,5.73,4.1,9.72561e-08,-1.49348,0.339813
*,*,*,60.3266,10000,0,5.73,2.9,5.73,2.8,0.1,0.160923,0.169273
*,*,*,69.1217,10000,0,5.23,2.9,5.23,2.8,0.1,0.182632,0.167163
*,*,*,74.3329,10000,0,5.23,4.6,5.23,4.6,9.72561e-08,2.00229,0
*,*,*,83.1694,10000,0,4.33,4.6,4.33,4.6,1.2213e-07,-0.220337,0.216055
*,*,*,89.821,10000,0,4.33,5.1,4.33,5.1,1.2213e-07,-0.34187,0.227868
*,*,*,96.4591,10000,0,5.23,5.1,5.23,5.1,9.72561e-08,-0.359816,0.229613
*,*,*,101.051,10000,0,5.23,6,5.23,6,1.90735e-08,1.61896,0.0372625
*,*,*,108.092,10000,0,2.1,6,2.1,6,9.53674e-08,1.09624,0.0880741
*,*,*,119.814,10000,0,2.1,5.1,2.1,5.1,1.3487e-07,0.404725,0.155294
*,*,*,126.292,10000,0,3.83,5.1,3.83,5.1,1.2213e-07,0.53364,0.142763
*,*,*,141.762,10000,0,3.83,4.6,3.83,4.6,1.2213e-07,-8.28505,1
*,*,*,146.18,10000,0,2.1,4.6,2.1,4.6,1.3487e-07,-6.06067,0.783775
*,*,*,153.389,10000,0,2.1,3.4,2.1,3.4,1.3487e-07,-4.41037,0.623354
*,*,*,162.392,10000,0,2.6,3.4,2.6,3.4,1.3487e-07,-6.92589,0.86788
*,*,*,164.558,10000,0,2.6,4.1,2.6,4.1,1.3487e-07,-4.46022,0.6282
*,*,*,171.11,10000,0,4.73,4.1,4.73,4.1,9.72561e-08,-4.53468,0.635438
*,*,*,180.542,10000,0,4.73,2.9,4.73,2.8,0.1,-2.95795,0.472449
*,*,*,187.396,10000,0,4,2.9,4,2.8,0.1,-3.30462,0.506147
*,*,*,191.833,10000,0,4,3.55,4,3.55,4.76837e-08,-3.40279,0.525411
*,*,*,198.544,10000,0,3.255,3.55,3.255,3.55,1.23978e-07,-3.49732,0.5346
*,*,*,205.21,10000,0,3.255,2.9,3.255,2.8,0.1,-1.32927,0.31413
*,*,*,211.911,10000,0,2.1,2.9,2.1,2.8,0.1,-3.70053,0.544633
*,*,*,220.625,10000,0,7.95446e-322,6.92816e-310,2.64399e-91,3.79442e-321,1.26975e-321,-3.55537,0.540243
