Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value,TV>.4,TV>.5,T
discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,,,
meta,meta,meta,meta,meta,,meta,ignore,ignore,ignore,,,discrete,,,
miranda,225.533073,FALSE,0,10000,0,6.73,6,6.73,6,0,0,*,,,
*,*,*,7.80052,10000,0,5.73,6,5.73,6,1.91E-008,-4.36739,0.604569,,,
*,*,*,14.4559,10000,0,5.73,4.6,5.73,4.6,9.73E-008,-2.21724,0.924502,,,
*,*,*,21.0484,10000,0,6.23,4.6,6.23,4.6,9.73E-008,-2.19815,0.927343,,,
*,*,*,27.6833,10000,0,6.23,5.5,6.23,5.5,1.91E-008,-2.19236,0.928204,,,
*,*,*,34.1904,10000,0,6.73,5.5,6.73,5.5,1.91E-008,-4.1836,0.631916,,,
*,*,*,45.2418,10000,0,6.73,2.9,6.73,2.8,0.1,-4.43066,0.610033,,,
*,*,*,49.6766,10000,0,6.23,2.9,6.23,2.8,0.1,-2.36673,0.917138,,,
*,*,*,58.4892,10000,0,6.23,4.1,6.23,4.1,9.73E-008,-4.6095,0.568544,,,
*,*,*,62.9023,10000,0,5.73,4.1,5.73,4.1,9.73E-008,-2.41477,0.895111,,,
*,*,*,71.6403,10000,0,5.73,2.9,5.73,2.8,0.1,-2.33602,0.9217081,,,
*,*,*,78.145,10000,0,5.23,2.9,5.23,2.8,0.1,-1.80985,1,,,
*,*,*,84.762,10000,0,5.23,4.6,5.23,4.6,9.73E-008,-1.81286,0.9846726,,,
*,*,*,93.6071,10000,0,4.33,4.6,4.33,4.6,1.22E-007,-4.12796,0.640195,,,
*,*,*,100.237,10000,0,4.33,5.1,4.33,5.1,1.22E-007,-4.13733,0.6388,,,
*,*,*,106.574,10000,0,5.23,5.1,5.23,5.1,9.73E-008,-3.90373,0.673559,,,
*,*,*,113.146,10000,0,5.23,6,5.23,6,1.91E-008,-3.95781,0.665513,,,
*,*,*,124.128,10000,0,2.1,6,2.1,6,9.54E-008,-3.90934,0.672724,,,
*,*,*,132.956,10000,0,2.1,5.1,2.1,5.1,1.35E-007,-6.1296,0.342359,,,
*,*,*,139.573,10000,0,3.83,5.1,3.83,5.1,1.22E-007,-6.09617,0.347332,,,
*,*,*,146.186,10000,0,3.83,4.6,3.83,4.6,1.22E-007,-6.06662,0.351729,,,
*,*,*,155.031,10000,0,2.1,4.6,2.1,4.6,1.35E-007,-6.05238,0.353848,,,
*,*,*,163.843,10000,0,2.1,3.4,2.1,3.4,1.35E-007,-8.37729,0.007911,,,
*,*,*,168.274,10000,0,2.6,3.4,2.6,3.4,1.35E-007,-8.17632,0.037814,,,
*,*,*,172.677,10000,0,2.6,4.1,2.6,4.1,1.35E-007,-6.10168,0.346512,,,
*,*,*,183.705,10000,0,4.73,4.1,4.73,4.1,9.73E-008,-6.12133,0.343589,,,
*,*,*,192.459,10000,0,4.73,2.9,4.73,2.8,0.1,-8.36843,0.024109,,,
*,*,*,196.879,10000,0,4,2.9,4,2.8,0.1,-8.44928,0.012079,,,
*,*,*,203.472,10000,0,4,3.55,4,3.55,4.77E-008,-8.42478,0.000844,,,
*,*,*,210.086,10000,0,3.255,3.55,3.255,3.55,1.24E-007,-6.20473,0.331179,,,
*,*,*,216.74,10000,0,3.255,2.9,3.255,2.8,0.1,-8.53045,0,,,
*,*,*,225.533,10000,0,2.1,2.9,2.1,2.8,0.1,-8.46307,0.010026,,,
