Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value
string,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete,discrete
meta,meta,meta,meta,meta,,meta,meta,meta,meta,,,class
miranda,234.377013,FALSE,0,10000,0,6.73,6,6.73,6,0,0,1
*,*,*,3.39783,9990,0.001,5.73,6,5.73,6,1.91E-008,0.0352967,0.8893643904
*,*,*,12.3356,9980,0.002,5.73,4.6,5.73,4.6,9.73E-008,-0.0968963,0.8826320365
*,*,*,16.7148,9980,0.002,6.23,4.6,6.23,4.6,9.73E-008,2.13546,0.9963219641
*,*,*,23.2832,9980,0.002,6.23,5.5,6.23,5.5,1.91E-008,2.20768,1
*,*,*,29.8962,9970,0.003,6.73,5.5,6.73,5.5,1.91E-008,0.11064,0.8932014904
*,*,*,43.1371,9940,0.006,6.73,2.9,6.73,2.8,0.1,-2.32597,0.7691092858
*,*,*,47.5489,9940,0.006,6.23,2.9,6.23,2.8,0.1,-0.238964,0.8753967817
*,*,*,54.1646,9930,0.007,6.23,4.1,6.23,4.1,9.73E-008,-0.284939,0.8730553569
*,*,*,60.7978,9930,0.007,5.73,4.1,5.73,4.1,9.73E-008,-0.310299,0.8717638173
*,*,*,69.6042,9920,0.008,5.73,2.9,5.73,2.8,0.1,-0.29988,0.8722944384
*,*,*,76.2556,9890,0.011,5.23,2.9,5.23,2.8,0.1,0.0795671,0.8916190029
*,*,*,82.7451,9880,0.012,5.23,4.6,5.23,4.6,9.73E-008,0.204042,0.8979582878
*,*,*,89.2501,9870,0.013,4.33,4.6,4.33,4.6,0.000000122,0.228966,0.8992276227
*,*,*,98.0028,9850,0.015,4.33,5.1,4.33,5.1,0.000000122,-1.90351,0.7906244207
*,*,*,104.632,9850,0.015,5.23,5.1,5.23,5.1,9.73E-008,-1.96153,0.7876695655
*,*,*,111.287,9830,0.017,5.23,6,5.23,6,1.91E-008,-2.09874,0.7806817048
*,*,*,122.194,9830,0.017,2.1,6,2.1,6,9.54E-008,-1.97456,0.7870059708
*,*,*,129.107,9810,0.019,2.1,5.1,2.1,5.1,0.000000135,-2.28099,0.7714000371
*,*,*,135.713,9780,0.022,3.83,5.1,3.83,5.1,0.000000122,-2.23594,0.7736943533
*,*,*,144.567,9780,0.022,3.83,4.6,3.83,4.6,0.000000122,-4.4485,0.6610126159
*,*,*,153.41,9760,0.024,2.1,4.6,2.1,4.6,0.000000135,-4.43145,0.661880942
*,*,*,168.642,9730,0.027,2.1,3.4,2.1,3.4,0.000000135,-13.1765,0.2165111319
*,*,*,175.161,9720,0.028,2.6,3.4,2.6,3.4,0.000000135,-15.0633,0.1204197707
*,*,*,181.774,9720,0.028,2.6,4.1,2.6,4.1,0.000000135,-15.1989,0.1135139044
*,*,*,192.795,9710,0.029,4.73,4.1,4.73,4.1,9.73E-008,-15.2106,0.1129180443
*,*,*,199.352,9700,0.03,4.73,2.9,4.73,2.8,0.1,-15.2613,0.1103359836
*,*,*,205.858,9670,0.033,4,2.9,4,2.8,0.1,-17.4278,0
*,*,*,210.289,9670,0.033,4,3.55,4,3.55,4.77E-008,-15.2418,0.1113290839
*,*,*,218.999,9660,0.034,3.255,3.55,3.255,3.55,0.000000124,-15.1179,0.1176390901
*,*,*,225.534,9640,0.036,3.255,2.9,3.255,2.8,0.1,-17.3241,0.0052812562
*,*,*,234.377,9610,0.039,2.1,2.9,2.1,2.8,0.1,-17.307,0.0061521287
