Robot,Runtime,Run Before,Arrival Time,Health at Goal,Given x,Given y,Given z,Expected x,Expected y,Expected z,Disparity,Input Delay,Trust Value
prospero,1442888373.344030,False,0,100000,5.73,6,0,5.73,6,0,1.90735e-08-7.67019,1
*,*,*,1.44289e+09,100000,5.73,4.6,0,5.73,4.6,0,9.72561e-08-15.3015,1
*,*,*,1.44289e+09,100000,6.23,4.6,0,6.23,4.6,0,9.72561e-08-24.2284,1
*,*,*,1.44289e+09,100000,6.23,5.5,0,6.23,5.5,0,1.90735e-08-28.6322,1
*,*,*,1.44289e+09,100000,6.73,5.5,0,6.73,5.5,0,1.90735e-08-35.3344,1
*,*,*,1.44289e+09,100000,6.73,2.8,0,6.73,2.8,0,0.1-44.1191,1
*,*,*,1.44289e+09,100000,6.23,2.8,0,6.23,2.8,0,0.12.05158e+161,1
*,*,*,1.44289e+09,100000,6.23,4.1,0,6.23,4.1,0,9.72561e-089.07687e+223,1
*,*,*,1.44289e+09,100000,5.73,4.1,0,5.73,4.1,0,9.72561e-089.49409e+170,1
*,*,*,1.44289e+09,100000,5.73,2.8,0,5.73,2.8,0,0.11.67793e+243,0
*,*,*,1.44289e+09,100000,5.23,2.8,0,5.23,2.8,0,0.19.49409e+170,1
*,*,*,1.44289e+09,100000,5.23,4.6,0,5.23,4.6,0,9.72561e-081.67793e+243,0
*,*,*,1.44289e+09,100000,4.33,4.6,0,4.33,4.6,0,1.2213e-076.08066e+241,0.963761
*,*,*,1.44289e+09,100000,4.33,5.1,0,4.33,5.1,0,1.2213e-071.67792e+243,5.82298e-06
*,*,*,1.44289e+09,100000,5.23,5.1,0,5.23,5.1,0,9.72561e-08-104.786,1
*,*,*,1.44289e+09,100000,5.23,6,0,5.23,6,0,1.90735e-08-113.564,1
*,*,*,1.44289e+09,100000,2.1,6,0,2.1,6,0,9.53674e-08-118.874,1
*,*,*,1.44289e+09,100000,2.1,5.1,0,2.1,5.1,0,1.3487e-07-129.921,1
*,*,*,1.44289e+09,100000,3.83,5.1,0,3.83,5.1,0,1.2213e-07-136.547,1
*,*,*,1.44289e+09,100000,3.83,4.6,0,3.83,4.6,0,1.2213e-07-147.609,1
*,*,*,1.44289e+09,100000,2.1,4.6,0,2.1,4.6,0,1.3487e-07-152.098,1
*,*,*,1.44289e+09,100000,2.1,3.4,0,2.1,3.4,0,1.3487e-07-160.876,1
*,*,*,1.44289e+09,100000,2.6,3.4,0,2.6,3.4,0,1.3487e-07-167.524,1
*,*,*,1.44289e+09,100000,2.6,4.1,0,2.6,4.1,0,1.3487e-07-174.158,1
*,*,*,1.44289e+09,100000,4.73,4.1,0,4.73,4.1,0,9.72561e-08-180.809,1
*,*,*,1.44289e+09,100000,4.73,2.8,0,4.73,2.8,0,0.1-189.643,1
*,*,*,1.44289e+09,100000,4,2.8,0,4,2.8,0,0.1-196.245,1
*,*,*,1.44289e+09,100000,4,3.55,0,4,3.55,0,4.76837e-08-202.825,1
*,*,*,1.44289e+09,100000,3.255,3.55,0,3.255,3.55,0,1.23978e-07-211.737,1
*,*,*,1.44289e+09,100000,3.255,2.8,0,3.255,2.8,0,0.1-216.138,1
*,*,*,1.44289e+09,100000,2.1,2.8,0,2.1,2.8,0,0.1-222.744,1
*,*,*,1.44289e+09,100000,*,*,0,*,*,0,3.35965e-322*,1
*,*,*,1.34386e-321,-1,*,*,0,*,*,0,3.31067e-80*,1
