Robot,Runtime,Run Before,Arrival Time,Health at Goal,Given x,Given y,Given z,Expected x,Expected y,Expected z,Disparity,Input Delay,TINV,Trust Value
Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete,Discrete
meta,meta,meta,meta,,meta,meta,meta,meta,meta,meta,,,ignore,class
miranda,235.212008,FALSE,1.44E+009,100000,5.73,6,0,5.73,6,0,1.91E-008,-14.1966,0.00026691,0.99973309
*,*,*,1.44E+009,100000,5.73,4.6,0,5.73,4.6,0,9.73E-008,8.86464,0,1
*,*,*,1.44E+009,100000,6.23,4.6,0,6.23,4.6,0,9.73E-008,-2.20193,0.000128084,0.999871916
*,*,*,1.44E+009,100000,6.23,5.5,0,6.23,5.5,0,1.91E-008,-2.19573,0.000128012,0.999871988
*,*,*,1.44E+009,100000,6.73,5.5,0,6.73,5.5,0,1.91E-008,-0.00295662,0.000102633,0.999897367
*,*,*,1.44E+009,100000,6.73,2.9,0,6.73,2.8,0,0.1,2.26495,7.52E-005,0.9999247729
*,*,*,1.44E+009,100000,6.23,2.9,0,6.23,2.8,0,0.1,0.163511,9.95E-005,0.9999004509
*,*,*,1.44E+009,100000,6.23,4.1,0,6.23,4.1,0,9.73E-008,-0.0614448,0.00010331,0.99989669
*,*,*,1.44E+009,100000,5.73,4.1,0,5.73,4.1,0,9.73E-008,-2.23773,0.000128498,0.999871502
*,*,*,1.44E+009,100000,5.73,2.9,0,5.73,2.8,0,0.1,-2.20938,0.000127013,0.999872987
*,*,*,1.44E+009,100000,5.23,2.9,0,5.23,2.8,0,0.1,-0.0200763,0.000101674,0.999898326
*,*,*,1.44E+009,100000,5.23,4.6,0,5.23,4.6,0,9.73E-008,0.0202161,0.000102365,0.999897635
*,*,*,1.44E+009,100000,4.33,4.6,0,4.33,4.6,0,1.22E-007,-2.22363,0.000128335,0.999871665
*,*,*,1.44E+009,100000,4.33,5.1,0,4.33,5.1,0,1.22E-007,0.0304231,0.000102247,0.999897753
*,*,*,1.44E+009,100000,5.23,5.1,0,5.23,5.1,0,9.73E-008,2.33346,7.56E-005,0.9999244084
*,*,*,1.44E+009,100000,5.23,6,0,5.23,6,0,1.91E-008,-0.0250582,0.000102889,0.999897111
*,*,*,1.44E+009,100000,2.1,6,0,2.1,6,0,9.54E-008,-0.0524389,0.000103206,0.999896794
*,*,*,1.44E+009,100000,2.1,5.1,0,2.1,5.1,0,1.35E-007,-0.00596488,0.000102668,0.999897332
*,*,*,1.44E+009,100000,3.83,5.1,0,3.83,5.1,0,1.22E-007,2.1988,7.72E-005,0.9999228499
*,*,*,1.44E+009,100000,3.83,4.6,0,3.83,4.6,0,1.22E-007,4.5291,5.02E-005,0.9999498206
*,*,*,1.44E+009,100000,2.1,4.6,0,2.1,4.6,0,1.35E-007,0.00238584,0.000102571,0.999897429
*,*,*,1.44E+009,100000,2.1,3.4,0,2.1,3.4,0,1.35E-007,0.0353787,0.000102189,0.999897811
*,*,*,1.44E+009,100000,2.6,3.4,0,2.6,3.4,0,1.35E-007,4.31335,5.27E-005,0.9999473236
*,*,*,1.44E+009,100000,2.6,4.1,0,2.6,4.1,0,1.35E-007,-2.13056,0.000127258,0.999872742
*,*,*,1.44E+009,100000,4.73,4.1,0,4.73,4.1,0,9.73E-008,-0.0403671,0.000103066,0.999896934
*,*,*,1.44E+009,100000,4.73,2.9,0,4.73,2.8,0,0.1,0.0376039,0.000101006,0.999898994
*,*,*,1.44E+009,100000,4,2.9,0,4,2.8,0,0.1,-0.0249409,0.00010173,0.99989827
*,*,*,1.44E+009,100000,4,3.55,0,4,3.55,0,4.77E-008,2.24283,7.66E-005,0.9999233594
*,*,*,1.44E+009,100000,3.255,3.55,0,3.255,3.55,0,1.24E-007,-2.18108,0.000127843,0.999872157
*,*,*,1.44E+009,100000,3.255,2.9,0,3.255,2.8,0,0.1,2.22867,7.56E-005,0.999924353
*,*,*,1.44E+009,100000,2.1,2.9,0,2.1,2.8,0,0.1,-2.25021,0.000127485,0.999872515
