Robot,Runtime,Run Before,Arrival Time,Health at Goal,Given x,Given y,Given z,Expected x,Expected y,Expected z,Disparity,Input Delay,Trust Value
miranda,229.626514,False,0,100000,5.73,6,0,5.73,6,0,1.90735e-08,-9.92071,0.000258099
*,*,*,13.1923,100000,5.73,4.6,0,5.73,4.6,0,9.72561e-08,-0.993404,0.000154779
*,*,*,22.1045,100000,6.23,4.6,0,6.23,4.6,0,9.72561e-08,1.19967,0.000129398
*,*,*,26.5302,100000,6.23,5.5,0,6.23,5.5,0,1.90735e-08,1.14248,0.000130059
*,*,*,33.1676,100000,6.73,5.5,0,6.73,5.5,0,1.90735e-08,-0.952424,0.000154305
*,*,*,39.7569,100000,6.73,2.9,0,6.73,2.8,0,0.1,1.30172,0.000127059
*,*,*,50.781,100000,6.23,2.9,0,6.23,2.8,0,0.1,3.41745,0.000102573
*,*,*,55.1993,100000,6.23,4.1,0,6.23,4.1,0,9.72561e-08,3.40586,0.000103864
*,*,*,61.7313,100000,5.73,4.1,0,5.73,4.1,0,9.72561e-08,1.27349,0.000128543
*,*,*,68.3627,100000,5.73,2.9,0,5.73,2.8,0,0.1,1.30634,0.000127006
*,*,*,75.0555,100000,5.23,2.9,0,5.23,2.8,0,0.1,1.24229,0.000127747
*,*,*,79.4943,100000,5.23,4.6,0,5.23,4.6,0,9.72561e-08,3.36782,0.000104304
*,*,*,88.4479,100000,4.33,4.6,0,4.33,4.6,0,1.2213e-07,3.10498,0.000107346
*,*,*,95.1694,100000,4.33,5.1,0,4.33,5.1,0,1.2213e-07,0.873277,0.000133175
*,*,*,104.056,100000,5.23,5.1,0,5.23,5.1,0,9.72561e-08,0.998505,0.000131726
*,*,*,110.498,100000,5.23,6,0,5.23,6,0,1.90735e-08,1.15542,0.00012991
*,*,*,117.091,100000,2.1,6,0,2.1,6,0,9.53674e-08,1.00886,0.000131606
*,*,*,128.234,100000,2.1,5.1,0,2.1,5.1,0,1.3487e-07,5.60487,7.84139e-05
*,*,*,137,100000,3.83,5.1,0,3.83,5.1,0,1.2213e-07,7.91977,5.16225e-05
*,*,*,143.604,100000,3.83,4.6,0,3.83,4.6,0,1.2213e-07,5.74358,7.68087e-05
*,*,*,150.232,100000,2.1,4.6,0,2.1,4.6,0,1.3487e-07,10.1296,2.60469e-05
*,*,*,156.765,100000,2.1,3.4,0,2.1,3.4,0,1.3487e-07,10.2088,2.51301e-05
*,*,*,165.652,100000,2.6,3.4,0,2.6,3.4,0,1.3487e-07,12.3802,0
*,*,*,169.999,100000,2.6,4.1,0,2.6,4.1,0,1.3487e-07,8.06953,4.98893e-05
*,*,*,178.799,100000,4.73,4.1,0,4.73,4.1,0,9.72561e-08,8.06124,4.99852e-05
*,*,*,187.655,100000,4.73,2.9,0,4.73,2.8,0,0.1,8.05115,4.89447e-05
*,*,*,194.314,100000,4,2.9,0,4,2.8,0,0.1,10.127,2.49197e-05
*,*,*,200.957,100000,4,3.55,0,4,3.55,0,4.76837e-08,10.1411,2.59135e-05
*,*,*,205.367,100000,3.255,3.55,0,3.255,3.55,0,1.23978e-07,8.04959,5.012e-05
*,*,*,214.042,100000,3.255,2.9,0,3.255,2.8,0,0.1,5.69628,7.61987e-05
*,*,*,220.906,100000,2.1,2.9,0,2.1,2.8,0,0.1,5.72066,7.59166e-05
*,*,*,229.627,100000,*,*,0,*,*,0,3.35965e-322,*,1
*,*,*,1.34386e-321,144,*,*,0,*,*,0,3.31067e-80,*,1
