Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value
miranda,224.490855,False,0,10000,0,6.73,6,5.73,6,1,-1.00568,0.837864
*,*,*,6.76749,10000,0,5.73,6,5.73,6,1.90735e-08,-3.37578,1
*,*,*,13.3249,10000,0,5.73,4.6,5.73,4.6,9.72561e-08,7.65435,0.469339
*,*,*,17.7241,10000,0,6.23,4.6,6.23,4.6,9.72561e-08,9.97356,0.357761
*,*,*,24.2961,10000,0,6.23,5.5,6.23,5.5,1.90735e-08,10.06,0.353601
*,*,*,30.9079,10000,0,6.73,5.5,6.73,5.5,1.90735e-08,7.9821,0.453571
*,*,*,44.0566,10000,0,6.73,2.9,6.73,2.8,0.1,7.91078,0.452191
*,*,*,48.495,10000,0,6.23,2.9,6.23,2.8,0.1,10.1445,0.344724
*,*,*,55.1062,10000,0,6.23,4.1,6.23,4.1,9.72561e-08,10.1163,0.350895
*,*,*,61.7003,10000,0,5.73,4.1,5.73,4.1,9.72561e-08,7.93929,0.45563
*,*,*,68.2497,10000,0,5.73,2.9,5.73,2.8,0.1,7.97434,0.449133
*,*,*,74.785,10000,0,5.23,2.9,5.23,2.8,0.1,8.07596,0.444244
*,*,*,83.5915,10000,0,5.23,4.6,5.23,4.6,9.72561e-08,8.09831,0.44798
*,*,*,90.0328,10000,0,4.33,4.6,4.33,4.6,1.2213e-07,8.04469,0.450559
*,*,*,96.6482,10000,0,4.33,5.1,4.33,5.1,1.2213e-07,6.07935,0.545112
*,*,*,103.22,10000,0,5.23,5.1,5.23,5.1,9.72561e-08,8.29709,0.438417
*,*,*,109.788,10000,0,5.23,6,5.23,6,1.90735e-08,6.22052,0.53832
*,*,*,120.947,10000,0,2.1,6,2.1,6,9.53674e-08,8.29052,0.438733
*,*,*,127.677,10000,0,2.1,5.1,2.1,5.1,1.3487e-07,14.9957,0.116147
*,*,*,134.207,10000,0,3.83,5.1,3.83,5.1,1.2213e-07,15.0038,0.115758
*,*,*,143.059,10000,0,3.83,4.6,3.83,4.6,1.2213e-07,10.7232,0.321697
*,*,*,151.77,10000,0,2.1,4.6,2.1,4.6,1.3487e-07,15.1413,0.10914
*,*,*,160.744,10000,0,2.1,3.4,2.1,3.4,1.3487e-07,17.4099,0
*,*,*,165.139,10000,0,2.6,3.4,2.6,3.4,1.3487e-07,17.2831,0.00610029
*,*,*,171.752,10000,0,2.6,4.1,2.6,4.1,1.3487e-07,15.1024,0.111011
*,*,*,180.51,10000,0,4.73,4.1,4.73,4.1,9.72561e-08,15.133,0.10954
*,*,*,189.341,10000,0,4.73,2.9,4.73,2.8,0.1,12.9967,0.207504
*,*,*,195.953,10000,0,4,2.9,4,2.8,0.1,15.1229,0.105215
*,*,*,202.543,10000,0,4,3.55,4,3.55,4.76837e-08,12.9122,0.216385
*,*,*,211.336,10000,0,3.255,3.55,3.255,3.55,1.23978e-07,10.8483,0.315679
*,*,*,217.836,10000,0,3.255,2.9,3.255,2.8,0.1,10.8689,0.309874
*,*,*,224.491,10000,0,2.1,2.9,2.1,2.8,0.1,10.9262,0.307119
