Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage,Given x,Given y,Expected x,Expected y,Disparity,Goal Arrival Delay,Trust Value
prospero,1443146015.367515,False,0,10000,0,5.73,6,5.73,6,1.90735e-08,0,0
*,*,*,30.7813,10000,0,5.73,4.6,5.73,4.6,9.72561e-08,-27.3482,0.586806
*,*,*,39.6203,10000,0,6.23,4.6,6.23,4.6,9.72561e-08,-27.3816,0.587523
*,*,*,45.0024,10000,0,6.23,5.5,6.23,5.5,1.90735e-08,-26.1521,0.561142
*,*,*,49.6534,10000,0,6.73,5.5,6.73,5.5,1.90735e-08,-24.1625,0.51845
*,*,*,56.3765,10000,0,6.73,2.9,6.73,2.8,0.1,-26.3697,0.563664
*,*,*,69.5328,10000,0,6.23,2.9,6.23,2.8,0.1,-28.7217,0.614132
*,*,*,86.9429,9999,0,6.23,4.1,6.23,4.1,9.72561e-08,-39.633,0.850399
*,*,*,93.6397,9999,0,5.73,4.1,5.73,4.1,9.72561e-08,-39.76,0.853123
*,*,*,102.651,9999,0,5.73,2.9,5.73,2.8,0.1,-42.1636,0.902552
*,*,*,111.633,9999,0,5.23,2.9,5.23,2.8,0.1,-42.3288,0.906097
*,*,*,115.856,9999,0,5.23,4.6,5.23,4.6,9.72561e-08,-39.5207,0.847988
*,*,*,124.266,9999,0,4.33,4.6,4.33,4.6,1.2213e-07,-41.317,0.886531
*,*,*,128.697,9999,0,4.33,5.1,4.33,5.1,1.2213e-07,-39.2179,0.841491
*,*,*,135.236,9999,0,5.23,5.1,5.23,5.1,9.72561e-08,-39.137,0.839757
*,*,*,141.847,9999,0,5.23,6,5.23,6,1.90735e-08,-39.1773,0.840621
*,*,*,148.491,9999,0,2.1,6,2.1,6,9.53674e-08,-39.303,0.843319
*,*,*,159.776,9999,0,2.1,5.1,2.1,5.1,1.3487e-07,-39.557,0.848767
*,*,*,164.123,9999,0,3.83,5.1,3.83,5.1,1.2213e-07,-37.2972,0.80028
*,*,*,175.11,9999,0,3.83,4.6,3.83,4.6,1.2213e-07,-41.6325,0.893302
*,*,*,181.65,9999,0,2.1,4.6,2.1,4.6,1.3487e-07,-41.5311,0.891126
*,*,*,188.291,9999,0,2.1,3.4,2.1,3.4,1.3487e-07,-39.3118,0.843507
*,*,*,199.246,9999,0,2.6,3.4,2.6,3.4,1.3487e-07,-43.7796,0.939371
*,*,*,203.648,9999,0,2.6,4.1,2.6,4.1,1.3487e-07,-43.55,0.934445
*,*,*,210.274,9999,0,4.73,4.1,4.73,4.1,9.72561e-08,-43.699,0.937642
*,*,*,221.622,9999,0,4.73,2.9,4.73,2.8,0.1,-44.0376,0.942761
*,*,*,228.326,9999,0,4,2.9,4,2.8,0.1,-44.2352,0.947001
*,*,*,232.675,9999,0,4,3.55,4,3.55,4.76837e-08,-44.2453,0.949365
*,*,*,239.408,9999,0,3.255,3.55,3.255,3.55,1.23978e-07,-44.3606,0.951837
*,*,*,246.051,9999,0,3.255,2.9,3.255,2.8,0.1,-42.1702,0.902694
*,*,*,254.915,9999,0,2.1,2.9,2.1,2.8,0.1,-46.7052,1
*,*,*,1.44315e+09,9999,*,*,*,*,*,4.24399e-314,*,1853.89
*,*,*,1.34386e-321,144,*,*,*,*,*,4.94066e-324,*,1853.89
