Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
1,444.737386,1.013933,*
3,2268.62023,1.006378,-0.0176446
4,4163.171979,1.006568,-0.0358809
2,4430.507205,3.252774,-0.0701646
4,4235.332078,1.007242,-0.10679
2,4432.489786,3.193722,-0.154567
4,6415.563858,1.015109,-0.169755
4,6943.664956,1.004471,-0.221196
3,8111.34972,1.008686,-0.259058
3,7633.532964,3.226613,-0.230713
4,8057.246147,1.007278,-0.261167
3,7610.33123,1.006633,-0.265063
3,7722.006833,1.006351,-0.284166
3,7213.855809,5.417858,-0.336448
3,7058.947954,1.013148,-0.336083
2,5542.153388,3.227419,-0.384715
3,10218.729852,3.218379,-0.397699
4,11898.673413,1.006141,-0.411106
5,11418.716487,1.007386,-0.465634
5,9766.126546,1.00545,-0.484094
3,6833.632225,3.20384,-0.534654
2,7132.491725,1.009058,-0.513269
4,9392.668485,1.008264,-0.568061
4,10969.966112,1.004199,-0.5859
3,9427.882583,3.139841,-0.648535
4,10831.461938,1.008986,-0.619687
3,11293.370464,3.239253,-0.671757
4,12434.412279,1.007915,-0.706957
2,9239.873874,1.003345,-0.721794
4,11935.462415,1.005249,-0.713513
3,16143.087678,3.176725,-0.827965
2,10952.847535,0,*
144,0,0,*
0,0,0,*
1,63.492759,11.603326,*
3,5552.39737,8.94836,-0.0433855
4,9743.54929,8.966154,-0.0736819
3,8953.365264,15.775448,-0.115728
6,20525.772756,9.085898,-0.145426
4,16387.759751,4.354462,-0.21568
8,27222.930355,2.290199,-0.243812
5,18507.488926,8.991279,-0.2867
4,19806.959844,9.090737,-0.310478
5,20462.669747,5.671834,-0.27805
5,22714.576242,8.987154,-0.310576
5,30557.468401,9.057403,-0.334529
6,34972.357346,5.588058,-0.365646
6,33071.357016,5.611263,-0.410499
5,31424.509489,8.949445,-0.438507
6,35304.312337,5.629212,-0.452981
4,22059.615126,4.44252,-0.489151
8,50679.159096,4.468841,-0.491031
7,46096.858995,4.351466,-0.526597
8,48144.53581,2.248517,-0.520835
7,48995.45412,4.502182,-0.553787
4,35494.334624,4.305476,-0.551682
5,38788.85248,5.633037,-0.608363
6,37490.075603,8.923284,-0.616497
5,36957.595112,4.453055,-0.644419
7,55548.607456,2.19905,-0.671271
5,40144.433774,8.914952,-0.70809
5,49126.054363,8.98915,-0.715331
5,53431.661729,8.96756,-0.721186
4,46754.271548,4.375692,-0.74086
6,52878.310988,2.158485,-0.852838
4,35177.450908,0,*
2,821.303843,11.603326,*
10,23549.726495,31.363432,-0.0183955
5,14986.862498,7.864067,-0.0849418
6,20321.841151,7.885168,-0.114579
5,20220.410393,4.354462,-0.193858
6,25639.19637,4.409057,-0.189923
8,34371.302606,9.090737,-0.229907
6,29828.421683,5.671834,-0.23746
6,30291.96994,4.450328,-0.23437
6,35109.790438,7.849612,-0.266716
6,29582.510323,7.90754,-0.316961
6,26940.530542,7.789752,-0.317925
6,37201.750697,7.79012,-0.342884
4,23067.532625,4.434028,-0.374364
5,27351.271235,4.39659,-0.401054
6,42939.556434,4.44252,-0.43505
7,47340.045605,2.224476,-0.474045
9,65561.205103,2.248517,-0.496233
8,52540.663765,4.502182,-0.506237
7,44959.758352,4.305476,-0.513507
7,53093.536659,7.59705,-0.549542
4,43043.054337,4.406644,-0.631363
7,67687.421342,2.19905,-0.620012
6,47913.520823,4.346697,-0.668598
5,54840.033888,7.75039,-0.668986
6,64237.507315,8.96756,-0.725495
6,51285.396499,1.007761,-0.712365
6,39040.964388,4.375692,-0.728881
5,52689.998786,12.212431,-0.753186
4,44259.936347,3.207961,-0.797542
5,58352.68425,5.435883,-0.914169
2,21491.235138,3.22601,*
0,0,5.401529,*
3,7097.541737,8.337514,-0.0440615
6,7263.901196,43.820409,-0.0783873
9,30800.345133,16.222597,-0.107076
8,32804.569562,2.207951,-0.232113
4,15462.410443,2.206444,-0.282269
5,25148.377287,11.622699,-0.261338
8,40719.374657,2.195335,-0.263521
4,20620.710708,25.895508,-0.310117
12,72900.187007,7.489827,-0.305819
6,30404.526277,6.771712,-0.367174
6,29977.726705,3.410151,-0.405555
8,48082.421254,10.23297,-0.404177
11,71552.069114,11.823989,-0.433791
9,60665.240092,5.704684,-0.486837
8,82790.135189,16.418535,-0.494083
7,90010.050478,14.940459,-0.521182
10,113206.123435,6.810961,-0.563849
5,60604.836413,16.184844,-0.605319
8,86202.67091,6.746757,-0.613747
3,36382.023754,5.62605,-0.653602
8,88139.695195,10.209937,-0.688592
10,123044.903236,6.600156,-0.733147
7,90949.613021,16.294846,-0.764832
6,89893.685674,8.087253,-0.783869
9,122119.814996,14.871869,-0.794687
7,88793.089021,5.432443,-0.846768
7,82601.072209,6.882433,-0.86632
7,77015.491692,11.479894,-0.873971
7,89961.91209,11.260267,-0.89062
7,79083.673391,11.642955,-1.02079
6,87309.702485,0,*
1,1849.79729,8.337514,*
3,11555.7008,10.750824,-0.0739642
7,34451.826146,28.973038,-0.0620329
11,36743.444415,2.206444,-0.136093
6,28790.804845,14.981281,-0.180105
8,41363.719151,14.827656,-0.194456
10,64015.933648,25.895508,-0.235355
10,58261.090664,10.84573,-0.289952
8,48440.131051,6.748526,-0.293361
5,37816.901466,5.685469,-0.328126
7,48896.027531,10.23297,-0.370207
6,35446.19625,5.935464,-0.396674
6,58293.886152,5.627066,-0.392266
6,68369.060342,5.704684,-0.421372
6,96451.291509,19.755688,-0.424783
7,90050.192513,14.940459,-0.49143
7,88915.782769,14.808833,-0.511543
8,89429.059723,14.987514,-0.559306
7,75965.697675,14.998871,-0.596774
6,78932.966837,5.62605,-0.651407
8,113075.709629,10.209937,-0.681062
7,99169.95197,10.162274,-0.696834
7,85990.597229,16.294846,-0.713061
7,84600.553995,5.68972,-0.735053
9,114742.42734,14.871869,-0.734222
7,79587.828242,5.432443,-0.7771
7,74278.20469,5.633146,-0.799016
7,85245.22128,10.30968,-0.832589
6,78107.784838,10.336517,-0.859512
5,103928.885005,14.416216,-0.893525
4,102594.390798,11.332804,-1.00256
10,165298.048137,18.841495,*
1,8706.908966,28.973038,*
12,50969.177525,2.206444,-0.0501749
14,61277.179852,11.622699,-0.12862
7,38268.278939,12.718046,-0.162477
7,40468.321343,15.056228,-0.195382
8,40019.861298,8.065458,-0.163816
11,66022.892717,6.748526,-0.209145
6,40190.414461,5.685469,-0.238624
13,82614.295126,5.935464,-0.234917
10,82327.578817,11.389333,-0.293349
12,160341.500461,36.245643,-0.366325
6,72670.963547,12.666707,-0.399425
8,85076.837,12.646745,-0.431342
9,107103.870036,17.341184,-0.486404
11,153580.109519,11.551842,-0.521792
8,77962.677401,8.029947,-0.592191
6,81456.516352,12.73492,-0.571218
10,95547.171492,5.68972,-0.624637
8,100563.733083,2.191555,-0.655613
19,211931.381355,11.479894,-0.69296
8,78273.822065,7.923422,-0.7413
7,102064.971556,11.642955,-0.766825
8,131963.194816,14.186143,-0.768699
5,95755.181887,10.071232,-0.789666
3,45109.407487,34.519333,-0.87216
8,132456.117903,12.540777,-0.851837
4,58888.715971,1.003211,-0.891768
4,93645.265139,18.718876,-0.921245
6,106989.985334,5.480853,-0.955451
3,52340.515646,1.006552,-1.00216
3,62254.942882,3.204955,-1.08296
2,21784.146561,3.239637,*
