Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate,
miranda,1469396000.726020,False,0,1000,0,0,5.69369,5.95873,5.73,6,0.0549662,120,1,63.492759,11.603326,*,0.015917021912582
*,*,*,2.23591,1000,0,1,5.71327,4.55875,5.73,4.6,0.044514,119,3,5552.39737,8.94836,-0.0433855,1.39193243446316
*,*,*,14.9864,990,0.01,2,6.26672,4.61067,6.23,4.6,0.0382425,115,4,9743.54929,8.966154,-0.0736819,2.44261377199332
*,*,*,28.5042,980,0.02,3,6.23314,5.45247,6.23,5.5,0.0476378,111,3,8953.365264,15.775448,-0.115728,2.24452226274241
*,*,*,41.9556,970,0.03,4,6.7617,5.47469,6.73,5.5,0.0405682,107,6,20525.772756,9.085898,-0.145426,5.14561313566372
*,*,*,62.3474,960,0.04,5,6.77487,2.84118,6.73,2.8,0.0609061,101,4,16387.759751,4.354462,-0.21568,4.10825321128031
*,*,*,72.6537,960,0.04,6,6.23632,2.85807,6.23,2.8,0.0584157,98,8,27222.930355,2.290199,-0.243812,6.82452591145439
*,*,*,89.7982,940,0.06,7,6.17127,4.12069,6.23,4.1,0.0622661,93,5,18507.488926,8.991279,-0.2867,4.63964885794317
*,*,*,93.2459,930,0.07,8,5.64271,4.09846,5.73,4.1,0.0873043,92,4,19806.959844,9.090737,-0.310478,4.96541367588988
*,*,*,103.423,910,0.09,9,5.74712,2.79688,5.73,2.8,0.0174001,89,5,20462.669747,5.671834,-0.27805,5.12979382031466
*,*,*,113.689,890,0.11,10,5.19878,2.81372,5.23,2.8,0.0341009,86,5,22714.576242,8.987154,-0.310576,5.694325045458
*,*,*,123.974,870,0.13,11,5.19952,4.62492,5.23,4.6,0.0393725,83,5,30557.468401,9.057403,-0.334529,7.66046241795461
*,*,*,134.15,870,0.13,12,4.28915,4.60079,4.33,4.6,0.0408611,80,6,34972.357346,5.588058,-0.365646,8.76723246836589
*,*,*,147.914,850,0.15,13,4.31573,5.15896,4.33,5.1,0.0606654,76,6,33071.357016,5.611263,-0.410499,8.29067003219209
*,*,*,158.079,840,0.16,14,5.26594,5.04623,5.23,5.1,0.0646759,73,5,31424.509489,8.949445,-0.438507,7.87782125090129
*,*,*,164.927,840,0.16,15,5.19286,5.95636,5.23,6,0.0573083,71,6,35304.312337,5.629212,-0.452981,8.85045038091144
*,*,*,175.094,840,0.16,16,2.1286,5.94103,2.1,6,0.065534,68,4,22059.615126,4.44252,-0.489151,5.53013261470757
*,*,*,181.949,840,0.16,17,2.08366,5.13801,2.1,5.1,0.0413747,66,8,50679.159096,4.468841,-0.491031,12.7047760807222
*,*,*,195.918,820,0.18,18,3.85609,5.05876,3.83,5.1,0.0487966,62,7,46096.858995,4.351466,-0.526597,11.5560376691871
*,*,*,202.73,810,0.19,19,3.82912,4.57891,3.83,4.6,0.0211128,60,8,48144.53581,2.248517,-0.520835,12.0693704845754
*,*,*,212.844,790,0.21,20,2.06667,4.61904,2.1,4.6,0.0383832,57,7,48995.45412,4.502182,-0.553787,12.2826874926784
*,*,*,219.704,790,0.21,21,2.09237,3.39539,2.1,3.4,0.00890934,55,4,35494.334624,4.305476,-0.551682,8.89808713435695
*,*,*,226.589,790,0.21,22,2.54266,3.40744,2.6,3.4,0.0578168,53,5,38788.85248,5.633037,-0.608363,9.72399096545909
*,*,*,236.8,780,0.22,23,2.6272,4.12255,2.6,4.1,0.035329,50,6,37490.075603,8.923284,-0.616497,9.39840013689289
*,*,*,243.537,780,0.22,24,4.72265,4.0547,4.73,4.1,0.0458915,48,5,36957.595112,4.453055,-0.644419,9.26491241676926
*,*,*,253.657,770,0.23,25,4.69974,2.76228,4.73,2.8,0.0483608,45,7,55548.607456,2.19905,-0.671271,13.9254997895204
*,*,*,267.308,740,0.26,26,3.93592,2.79762,4,2.8,0.0641202,41,5,40144.433774,8.914952,-0.70809,10.0638221131477
*,*,*,274.174,740,0.26,27,3.97151,3.51248,4,3.55,0.0471078,39,5,49126.054363,8.98915,-0.715331,12.3154277131754
*,*,*,284.287,730,0.27,28,3.25674,3.52849,3.255,3.55,0.0215807,36,5,53431.661729,8.96756,-0.721186,13.3948019264081
*,*,*,294.432,720,0.28,29,3.25053,2.81377,3.255,2.8,0.0144806,33,4,46754.271548,4.375692,-0.74086,11.7208446515346
*,*,*,304.505,700,0.3,30,1.96789,2.83673,2.1,2.8,0.137117,30,6,52878.310988,2.158485,-0.852838,13.2560822360282
*,*,*,1.4694E+09,700,*,31,*,*,*,*,3.45846e-323,27,4,35177.450908,0,*,8.818647445001
*,*,*,1.4694E+09,700,*,*,*,*,*,*,1.7678e-312,25,144,0,0,*,0
*,*,*,4.00193e-322,0,*,*,*,*,*,*,*,0,0,0,0,*,0
