Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
trinculo,1469396032.881388,False,0,1000,0,0,5.70184,5.97848,5.73,6,0.0354404,120,2,0.205892947035406,11.603326,*
*,*,*,3.32049,990,0.01,1,5.72822,4.61777,5.73,4.6,0.0178606,119,10,5.90368915384868,31.363432,-0.0183955
*,*,*,37.1153,910,0.09,2,6.24709,4.62037,6.23,4.6,0.026589,109,5,3.75706179001482,7.864067,-0.0849418
*,*,*,50.8203,900,0.1,3,6.22321,5.48179,6.23,5.5,0.0194392,105,6,5.09448945043446,7.885168,-0.114579
*,*,*,61.2294,900,0.1,4,6.77174,5.42579,6.73,5.5,0.085144,102,5,5.06906173831227,4.354462,-0.193858
*,*,*,71.4779,890,0.11,5,6.68705,2.782,6.73,2.8,0.0465636,99,6,6.4274990860341,4.409057,-0.189923
*,*,*,81.6194,880,0.12,6,6.19716,2.85788,6.23,2.8,0.066542,96,8,8.61655384582814,9.090737,-0.229907
*,*,*,95.3074,850,0.15,7,6.26937,4.08202,6.23,4.1,0.0432793,92,6,7.47769744178304,5.671834,-0.23746
*,*,*,102.146,850,0.15,8,5.72098,4.10864,5.73,4.1,0.0124935,90,6,7.59390451610798,4.450328,-0.23437
*,*,*,112.349,840,0.16,9,5.70796,2.79669,5.73,2.8,0.0222882,87,6,8.8016856181633,7.849612,-0.266716
*,*,*,122.596,830,0.17,10,5.24754,2.85313,5.23,2.8,0.0559477,84,6,7.41604983712197,7.90754,-0.316961
*,*,*,132.894,820,0.18,11,5.22913,4.57612,5.23,4.6,0.0239001,81,6,6.75373100377634,7.789752,-0.317925
*,*,*,143.081,810,0.19,12,4.30868,4.61067,4.33,4.6,0.0238448,78,6,9.32611986558282,7.79012,-0.342884
*,*,*,153.265,810,0.19,13,4.30618,5.10996,4.33,5.1,0.0258187,75,4,5.78280780429349,4.434028,-0.374364
*,*,*,160.109,810,0.19,14,5.23613,5.13419,5.23,5.1,0.0347389,73,5,6.85669973145235,4.39659,-0.401054
*,*,*,167.318,810,0.19,15,5.18273,6.02484,5.23,6,0.0534004,71,6,10.7645323882764,4.44252,-0.43505
*,*,*,177.53,790,0.21,16,2.13843,5.93129,2.1,6,0.0787263,68,7,11.8676925543182,2.224476,-0.474045
*,*,*,187.75,790,0.21,17,2.16203,5.12861,2.1,5.1,0.0683103,65,9,16.4355613880275,2.248517,-0.496233
*,*,*,201.324,780,0.22,18,3.7972,5.08784,3.83,5.1,0.0349821,61,8,13.171437335856,4.502182,-0.506237
*,*,*,211.659,770,0.23,19,3.82907,4.5887,3.83,4.6,0.0113428,58,7,11.2709775121471,4.305476,-0.513507
*,*,*,221.825,750,0.25,20,2.0865,4.57019,2.1,4.6,0.032722,55,7,13.3100372346046,7.59705,-0.549542
*,*,*,231.848,750,0.25,21,2.00407,3.43411,2.1,3.4,0.101817,52,4,10.7904783137001,4.406644,-0.631363
*,*,*,242.014,740,0.26,22,2.6503,3.41776,2.6,3.4,0.0533488,49,7,16.9685832790285,2.19905,-0.620012
*,*,*,255.697,740,0.26,23,2.53909,4.12211,2.6,4.1,0.0647969,45,6,12.0114572568605,4.346697,-0.668598
*,*,*,262.479,730,0.27,24,4.73244,4.05475,4.73,4.1,0.045315,43,5,13.7478672344674,7.75039,-0.668986
*,*,*,272.661,730,0.27,25,4.66019,2.8404,4.73,2.8,0.0806606,40,6,16.1037231275853,8.96756,-0.725495
*,*,*,286.037,710,0.29,26,3.98478,2.81744,4,2.8,0.0231529,36,6,12.8567539468562,1.007761,-0.712365
*,*,*,289.449,700,0.3,27,3.96152,3.55159,4,3.55,0.0385081,35,6,9.78719298766226,4.375692,-0.728881
*,*,*,296.116,690,0.31,28,3.25689,3.49912,3.255,3.55,0.0509151,33,5,13.2088741843882,12.212431,-0.753186
*,*,*,311.757,670,0.33,29,3.25038,2.84314,3.255,2.8,0.0433891,27,4,11.0955388894769,3.207961,-0.797542
*,*,*,318.466,660,0.34,30,1.94817,2.866,2.1,2.8,0.165558,24,5,14.6284547796266,5.435883,-0.914169
*,*,*,1.4694E+09,620,*,31,*,*,*,*,1.42262e-316,20,2,5.38764523715214,3.22601,*
*,*,*,1.4694E+09,610,*,*,*,*,*,*,0.0281596,17,144,0,0,*
*,*,*,4.00193e-322,0,*,*,*,*,*,*,0.00177526,0,0,0,0,*
