Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
1,0.982771,3.190986,*
3,2.225824,3.211751,-0.0196091
4,2.298071,1.012628,-0.0678489
3,2.202662,1.010287,-0.0858286
4,2.214457,3.228208,-0.115985
4,2.600033,3.198884,-0.119863
4,2.34529,3.20575,-0.158909
4,1.808396,3.203943,-0.184012
4,1.894758,3.217257,-0.223166
4,1.624611,1.010152,-0.248053
3,1.307387,3.203968,-0.289223
4,2.283912,1.005476,-0.27743
3,1.723125,7.651294,-0.305313
3,2.014526,5.279747,-0.331022
3,1.172231,3.099457,-0.391343
4,2.138685,1.010722,-0.3881
3,1.737661,3.248944,-0.451484
3,1.820791,3.252668,-0.424471
3,1.64405,3.152314,-0.501717
2,0.904086,5.34519,-0.492423
2,1.360654,5.442088,-0.5158
4,1.565433,3.250898,-0.543315
4,1.400411,1.003632,-0.60521
4,1.396063,1.008046,-0.631905
4,2.055007,1.013163,-0.649778
4,2.356208,1.006588,-0.654687
3,2.16767,3.227813,-0.699111
3,1.976043,3.172778,-0.734369
1,0.960885,5.453004,-0.760974
3,1.815912,5.35134,-0.761031
3,1.927674,5.306824,-0.882817
2,0.649513,0,*
1,0,8.185063,*
3,0.693659,5.605058,-0.0352266
4,1.688324,5.77122,-0.0557238
4,1.806839,5.648575,-0.0727807
6,2.74293,5.640929,-0.0684888
5,2.942725,4.402332,-0.115363
6,2.931437,5.644665,-0.136567
5,3.436526,5.62185,-0.147263
5,2.384149,5.728085,-0.18459
5,1.901172,5.630394,-0.20227
5,2.255626,4.323331,-0.235721
8,4.23358,4.443965,-0.229506
7,3.20508,5.676175,-0.283969
6,2.766717,9.000288,-0.320207
5,2.380624,5.554759,-0.347522
5,2.544752,5.787918,-0.331924
6,3.19486,5.634418,-0.369028
4,1.511517,2.175787,-0.38537
3,0.769146,4.428689,-0.435082
9,4.96878,5.633313,-0.425635
4,1.093213,12.440343,-0.508083
4,2.185686,7.890273,-0.502294
5,2.096386,2.208835,-0.527815
5,1.793348,8.913852,-0.5912
5,3.117881,5.649437,-0.59077
5,2.142579,5.603193,-0.648309
5,2.661288,5.559261,-0.655533
6,2.182641,4.440344,-0.667956
6,3.185529,5.669746,-0.726126
5,2.596755,5.650287,-0.71847
5,2.430722,4.447936,-0.841812
6,3.561573,0,*
2,0.386031,8.185063,*
7,3.24888,5.77122,-0.0238121
5,2.658034,5.648575,-0.0759799
4,1.938839,4.395559,-0.107459
5,2.642256,5.570994,-0.112779
6,3.20637,4.402332,-0.142579
7,4.06086,5.62185,-0.165266
6,3.179434,5.728085,-0.172644
6,3.151693,5.630394,-0.205485
5,2.638216,4.395191,-0.213413
6,2.615678,4.323331,-0.263309
6,2.71129,4.443965,-0.261313
7,3.763959,7.753916,-0.268801
6,3.321795,4.3963,-0.302771
11,4.308222,5.634418,-0.332787
9,3.91334,14.615819,-0.382122
4,2.231207,4.398003,-0.455651
6,3.149583,5.633313,-0.454855
7,3.086714,12.440343,-0.522896
9,3.990823,2.208835,-0.529952
4,2.34615,4.421657,-0.566544
6,2.287249,5.649437,-0.628209
6,2.255619,7.884697,-0.610434
3,1.546601,4.279661,-0.644203
6,2.24384,7.871386,-0.654475
6,2.500314,4.440344,-0.729513
6,2.64398,5.650287,-0.702084
6,3.161973,7.81665,-0.738131
4,2.019229,4.447936,-0.768655
3,1.645034,5.448927,-0.79698
4,2.630136,7.539016,-0.880029
2,1.175905,3.263126,*
3,1.286559,4.44632,*
6,2.680254,18.801969,-0.0941012
7,2.457414,6.892982,-0.15586
5,2.205503,11.517251,-0.211626
4,2.03824,6.973839,-0.186922
6,4.359596,11.784679,-0.236831
8,6.229112,10.354908,-0.259183
8,4.79148,6.947227,-0.302342
6,3.021497,16.095664,-0.318123
8,4.859164,6.822839,-0.419569
6,2.561988,11.700796,-0.355201
8,3.850591,20.395211,-0.382043
9,5.137581,11.350609,-0.460352
7,3.384288,11.570537,-0.456394
7,3.186594,5.610721,-0.504683
8,3.363749,8.0391,-0.544523
10,4.285635,6.899539,-0.54338
10,4.386524,3.438601,-0.608397
8,2.270048,10.282572,-0.612381
6,2.333832,10.341916,-0.635978
6,2.29894,11.746665,-0.655247
8,2.801018,6.779191,-0.662618
6,2.125344,11.592613,-0.694679
5,2.174724,11.516685,-0.714171
4,1.857418,17.449435,-0.760798
9,5.507075,20.44212,-0.784778
11,4.08606,7.372686,-0.841969
8,4.433617,11.515879,-0.890113
4,1.969619,11.892998,-0.89469
8,3.496093,11.792402,-0.942034
6,3.314492,1470160365.14294,-0.964791
630,0,0,-1.07236
144,0.006939,0,*
3,1.286559,4.44632,*
6,2.680254,18.801969,-0.0941012
7,2.457414,6.892982,-0.15586
5,2.205503,11.517251,-0.211626
4,2.03824,6.973839,-0.186922
6,4.359596,11.784679,-0.236831
8,6.229112,10.354908,-0.259183
8,4.79148,6.947227,-0.302342
6,3.021497,16.095664,-0.318123
8,4.859164,6.822839,-0.419569
6,2.561988,11.700796,-0.355201
8,3.850591,20.395211,-0.382043
9,5.137581,11.350609,-0.460352
7,3.384288,11.570537,-0.456394
7,3.186594,5.610721,-0.504683
8,3.363749,8.0391,-0.544523
10,4.285635,6.899539,-0.54338
10,4.386524,3.438601,-0.608397
8,2.270048,10.282572,-0.612381
6,2.333832,10.341916,-0.635978
6,2.29894,11.746665,-0.655247
8,2.801018,6.779191,-0.662618
6,2.125344,11.592613,-0.694679
5,2.174724,11.516685,-0.714171
4,1.857418,17.449435,-0.760798
9,5.507075,20.44212,-0.784778
11,4.08606,7.372686,-0.841969
8,4.433617,11.515879,-0.890113
4,1.969619,11.892998,-0.89469
8,3.496093,11.792402,-0.942034
6,3.314492,1470160365.14294,-0.964791
630,0,0,-1.07236
144,0.006939,0,*
2,0.66067,0,*
5,1.452162,4.44632,-0.0482043
11,4.008717,6.892982,-0.0509184
10,4.46035,14.973128,-0.153736
8,6.315445,15.104503,-0.195407
5,2.636613,5.662719,-0.244353
9,4.312081,12.64089,-0.2302
10,5.743654,14.822172,-0.251757
9,5.129521,14.949659,-0.361192
8,3.379216,10.396526,-0.329122
5,2.975995,5.329395,-0.351054
9,3.853711,14.80187,-0.361556
5,2.722919,5.650498,-0.429947
8,3.494295,10.404278,-0.425047
6,2.65659,5.610721,-0.448114
8,3.26906,10.266064,-0.454935
6,2.715195,5.726223,-0.524106
8,3.019381,12.599258,-0.518172
11,3.956005,10.282572,-0.56164
7,2.562803,10.341916,-0.569413
9,3.495629,14.909533,-0.599229
5,2.349531,12.722073,-0.642331
6,2.910663,14.892213,-0.686997
3,1.789538,14.971831,-0.721919
4,2.094572,5.712297,-0.749185
9,3.749516,3.419464,-0.781577
11,4.926149,8.035594,-0.790429
6,2.907037,7.372686,-0.840966
10,3.913101,19.820004,-0.848064
8,3.559129,15.339663,-0.916688
6,2.876419,9.08391,-0.989059
8,3.411781,11.401445,*
2,0.703448,22.197093,*
5,2.088721,8.179998,-0.0865174
10,6.78996,22.14139,-0.0554782
8,3.923852,17.622799,-0.114795
7,3.908874,6.947227,-0.142495
7,3.941758,14.822172,-0.187543
10,6.250974,14.949659,-0.199133
9,4.520102,11.700796,-0.210079
7,4.433587,5.329395,-0.254662
6,2.97933,20.395211,-0.29348
13,4.883307,21.786308,-0.299291
7,2.878109,12.732667,-0.313334
7,3.315929,6.831263,-0.376908
10,3.751206,5.726223,-0.379269
10,3.61142,12.599258,-0.438796
4,1.869112,3.438601,-0.435358
9,3.873748,6.862365,-0.428939
9,3.102768,11.746665,-0.473298
17,7.86653,14.971831,-0.500634
16,8.841897,10.351991,-0.55992
6,2.266507,3.419464,-0.609229
4,1.578346,20.44212,-0.639679
8,3.405806,8.035594,-0.655095
8,3.915787,11.515879,-0.662402
6,2.390859,19.820004,-0.699352
7,3.504686,15.339663,-0.728069
10,5.057507,14.922358,-0.795012
6,3.175837,12.78142,-0.823086
3,1.230939,3.204466,-0.852738
3,1.729354,7.69766,-0.882576
3,1.556156,7.710348,-1.00316
2,0.827504,7.686194,*
