Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
trinculo,1470162775.368750,False,0,1000,0,0,5.73285,5.96852,5.73,6,0.0316054,120,1,0.982771,3.190986,*
*,*,*,2.24051,1000,0,1,5.74264,4.59791,5.73,4.6,0.0128122,119,3,2.225824,3.211751,-0.0196091
*,*,*,8.81578,1000,0,2,6.23215,4.63707,6.23,4.6,0.0371319,116,4,2.298071,1.012628,-0.0678489
*,*,*,17.5587,1000,0,3,6.22236,5.4986,6.23,5.5,0.00777149,112,3,2.202662,1.010287,-0.0858286
*,*,*,21.8638,1000,0,4,6.71186,5.48881,6.73,5.5,0.0213139,110,4,2.214457,3.228208,-0.115985
*,*,*,26.2897,990,0.01,5,6.73144,2.80632,6.73,2.8,0.00648336,108,4,2.600033,3.198884,-0.119863
*,*,*,32.9459,990,0.01,6,6.21257,2.80632,6.23,2.8,0.0185452,105,4,2.345290,3.205750,-0.158909
*,*,*,43.8991,950,0.05,7,6.24194,4.09861,6.23,4.1,0.0120159,100,4,1.808396,3.203943,-0.184012
*,*,*,50.5012,940,0.06,8,5.73285,4.06924,5.73,4.1,0.0308874,97,4,1.894758,3.217257,-0.223166
*,*,*,57.1351,940,0.06,9,5.72306,2.77695,5.73,2.8,0.0240711,94,4,1.624611,1.010152,-0.248053
*,*,*,61.5425,940,0.06,10,5.20419,2.84548,5.23,2.8,0.0522972,92,3,1.307387,3.203968,-0.289223
*,*,*,68.1892,920,0.08,11,5.22377,4.6077,5.23,4.6,0.00990692,89,4,2.283912,1.005476,-0.27743
*,*,*,74.9449,910,0.09,12,4.32308,4.58812,4.33,4.6,0.0137511,86,3,1.723125,7.651294,-0.305313
*,*,*,81.5879,880,0.12,13,4.35245,5.11679,4.33,5.1,0.0280288,83,3,2.014526,5.279747,-0.331022
*,*,*,90.4297,880,0.12,14,5.28251,5.11679,5.23,5.1,0.0551237,79,3,1.172231,3.099457,-0.391343
*,*,*,99.0467,870,0.13,15,5.23356,5.99789,5.23,6,0.00413274,75,4,2.138685,1.010722,-0.3881
*,*,*,105.516,850,0.15,16,2.15946,6.01747,2.1,6,0.0619788,72,3,1.737661,3.248944,-0.451484
*,*,*,109.923,830,0.17,17,2.11051,5.10699,2.1,5.1,0.0126282,70,3,1.820791,3.252668,-0.424471
*,*,*,123.169,800,0.2,18,3.78462,5.06783,3.83,5.1,0.0556225,64,3,1.644050,3.152314,-0.501717
*,*,*,129.777,790,0.21,19,3.82378,4.6077,3.83,4.6,0.00989717,61,2,0.904086,5.345190,-0.492423
*,*,*,136.28,780,0.22,20,2.10072,4.6077,2.1,4.6,0.00773342,58,2,1.360654,5.442088,-0.5158
*,*,*,142.765,770,0.23,21,2.11051,3.40352,2.1,3.4,0.0110866,55,4,1.565433,3.250898,-0.543315
*,*,*,153.842,740,0.26,22,2.58044,3.44268,2.6,3.4,0.0469468,50,4,1.400411,1.003632,-0.60521
*,*,*,162.652,720,0.28,23,2.62939,4.06924,2.6,4.1,0.0425397,46,4,1.396063,1.008046,-0.631905
*,*,*,167.033,720,0.28,24,4.70489,4.06924,4.73,4.1,0.0397039,44,4,2.055007,1.013163,-0.649778
*,*,*,171.428,710,0.29,25,4.73426,2.8259,4.73,2.8,0.0262494,42,4,2.356208,1.006588,-0.654687
*,*,*,182.396,670,0.33,26,4,2.84548,4,2.8,0.0454817,37,3,2.167670,3.227813,-0.699111
*,*,*,191.121,670,0.33,27,3.96084,3.55037,4,3.55,0.0391591,33,3,1.976043,3.172778,-0.734369
*,*,*,195.515,670,0.33,28,3.2168,3.521,3.255,3.55,0.0479655,31,1,0.960885,5.453004,-0.760974
*,*,*,199.881,660,0.34,29,3.26575,2.8259,3.255,2.8,0.0280418,29,3,1.815912,5.351340,-0.761031
*,*,*,208.702,640,0.36,30,1.95387,2.83569,2.1,2.8,0.150423,25,3,1.927674,5.306824,-0.882817
*,*,*,1.47016e+09,620,*,31,*,*,*,*,2.20901e-316,21,2,0.649513,0.000000,*
*,*,*,1.47016e+09,610,*,*,*,*,*,*,3.45846e-323,17,0,0.000000,1470162775.369407,*
*,*,*,4.00193e-322,0,*,*,*,*,*,*,2.16061e-316,0,0,0.000000,0.000000,*
