Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
miranda,485.456553,False,0,1000,0,0,6.73,6,6.73,5.5,0.5,120,3,1.286559,4.446320,*
*,*,*,17.9166,1000,0,5,5.72306,6.01747,5.73,6,0.0188017,112,6,2.680254,18.801969,-0.0941012
*,*,*,34.2369,990,0.01,1,5.70348,4.56854,5.73,4.6,0.0411467,107,7,2.457414,6.892982,-0.15586
*,*,*,55.5283,980,0.02,2,6.2811,4.57833,6.23,4.6,0.0555018,102,5,2.205503,11.517251,-0.211626
*,*,*,64.9034,970,0.03,3,6.23215,5.4986,6.23,5.5,0.00256301,100,4,2.038240,6.973839,-0.186922
*,*,*,78.7893,960,0.04,4,6.76081,5.51818,6.73,5.5,0.0357749,97,6,4.359596,11.784679,-0.236831
*,*,*,92.9115,950,0.05,5,6.70207,2.81611,6.73,2.8,0.0322437,94,8,6.229112,10.354908,-0.259183
*,*,*,107.136,940,0.06,6,6.19299,2.75737,6.23,2.8,0.0564564,91,8,4.791480,6.947227,-0.302342
*,*,*,125.659,930,0.07,7,6.23215,4.06924,6.23,4.1,0.0308303,87,6,3.021497,16.095664,-0.318123
*,*,*,135.033,930,0.07,8,5.59579,4.13777,5.73,4.1,0.139425,85,8,4.859164,6.822839,-0.419569
*,*,*,153.536,920,0.08,9,5.73285,2.80632,5.73,2.8,0.00693439,81,6,2.561988,11.700796,-0.355201
*,*,*,162.817,910,0.09,10,5.21398,2.81611,5.23,2.8,0.0227238,79,8,3.850591,20.395211,-0.382043
*,*,*,176.948,900,0.1,11,5.15524,4.65665,5.23,4.6,0.093803,76,9,5.137581,11.350609,-0.460352
*,*,*,199.802,900,0.1,12,4.33287,4.57833,4.33,4.6,0.0218591,71,7,3.384288,11.570537,-0.456394
*,*,*,213.589,900,0.1,13,4.33287,5.14616,4.33,5.1,0.0462444,68,7,3.186594,5.610721,-0.504683
*,*,*,227.505,890,0.11,14,5.22377,5.16574,5.23,5.1,0.0660303,65,8,3.363749,8.039100,-0.544523
*,*,*,241.456,880,0.12,15,5.20419,6.01747,5.23,6,0.0311731,62,10,4.285635,6.899539,-0.54338
*,*,*,260.017,870,0.13,16,2.04198,5.95873,2.1,6,0.071196,58,10,4.386524,3.438601,-0.608397
*,*,*,269.354,870,0.13,17,2.05177,5.08741,2.1,5.1,0.0498419,56,8,2.270048,10.282572,-0.612381
*,*,*,283.187,860,0.14,18,3.79441,5.06783,3.83,5.1,0.047971,53,6,2.333832,10.341916,-0.635978
*,*,*,292.514,860,0.14,19,3.83357,4.64686,3.83,4.6,0.0469961,51,6,2.298940,11.746665,-0.655247
*,*,*,311.136,830,0.17,20,2.09093,4.57833,2.1,4.6,0.0234906,47,8,2.801018,6.779191,-0.662618
*,*,*,325.255,820,0.18,21,2.13009,3.41331,2.1,3.4,0.0329051,44,6,2.125344,11.592613,-0.694679
*,*,*,334.525,820,0.18,22,2.57065,3.41331,2.6,3.4,0.0322274,42,5,2.174724,11.516685,-0.714171
*,*,*,348.533,820,0.18,23,2.56086,4.13777,2.6,4.1,0.0543969,39,4,1.857418,17.449435,-0.760798
*,*,*,367.047,810,0.19,24,4.70489,4.06924,4.73,4.1,0.0397039,35,9,5.507075,20.442120,-0.784778
*,*,*,395.092,760,0.24,25,4.75384,2.86506,4.73,2.8,0.0692923,29,11,4.086060,7.372686,-0.841969
*,*,*,417.949,760,0.24,26,3.95105,2.84548,4,2.8,0.0668167,24,8,4.433617,11.515879,-0.890113
*,*,*,438.284,760,0.24,27,4.01958,3.55037,4,3.55,0.0195867,20,4,1.969619,11.892998,-0.89469
*,*,*,452.249,750,0.25,28,3.24617,3.50142,3.255,3.55,0.0493784,17,8,3.496093,11.792402,-0.942034
*,*,*,471.248,740,0.26,29,3.27554,2.8259,3.255,2.8,0.0330543,13,6,3.314492,1470160365.142936,-0.964791
*,*,*,485.457,740,0.26,30,1.96366,2.80632,2.1,2.8,0.136484,10,630,0.000000,0.000000,-1.07236
*,*,*,1.47016e+09,144,*,31,3.87347e-321,3.87842e-321,*,6.37345e-322,6.92963e-310,144,144,0.006939,0.000000,*
