Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
trinculo,1470160347.415565,False,0,1000,0,0,5.72306,5.9881,5.73,6,0.0137722,120,2,0.660670,0.000000,*
*,*,*,3.47294,1000,0,1,5.6839,4.57833,5.73,4.6,0.050939,119,5,1.452162,4.446320,-0.0482043
*,*,*,10.4159,1000,0,2,6.25173,4.61749,6.23,4.6,0.0278912,117,11,4.008717,6.892982,-0.0509184
*,*,*,40.998,990,0.01,3,6.15382,5.51818,6.23,5.5,0.0783143,110,10,4.460350,14.973128,-0.153736
*,*,*,59.6447,990,0.01,4,6.80976,5.48881,6.73,5.5,0.0805433,106,8,6.315445,15.104503,-0.195407
*,*,*,78.5753,990,0.01,5,6.81955,2.77695,6.73,2.8,0.0924706,102,5,2.636613,5.662719,-0.244353
*,*,*,87.8669,990,0.01,6,6.1832,2.79653,6.23,2.8,0.0469328,100,9,4.312081,12.640890,-0.2302
*,*,*,106.486,980,0.02,7,6.22236,4.12798,6.23,4.1,0.0290099,96,10,5.743654,14.822172,-0.251757
*,*,*,125.013,980,0.02,8,5.61537,4.05945,5.73,4.1,0.12159,92,9,5.129521,14.949659,-0.361192
*,*,*,143.656,970,0.03,9,5.75243,2.77695,5.73,2.8,0.0321622,88,8,3.379216,10.396526,-0.329122
*,*,*,157.709,960,0.04,10,5.21398,2.77695,5.23,2.8,0.0280722,85,5,2.975995,5.329395,-0.351054
*,*,*,166.64,960,0.04,11,5.24335,4.6077,5.23,4.6,0.0154079,83,9,3.853711,14.801870,-0.361556
*,*,*,185.036,950,0.05,12,4.27413,4.57833,4.33,4.6,0.0599291,79,5,2.722919,5.650498,-0.429947
*,*,*,194.219,950,0.05,13,4.33287,5.12657,4.33,5.1,0.0267292,77,8,3.494295,10.404278,-0.425047
*,*,*,208.262,950,0.05,14,5.21398,5.10699,5.23,5.1,0.0174847,74,6,2.656590,5.610721,-0.448114
*,*,*,217.549,940,0.06,15,5.22377,5.99789,5.23,6,0.00658034,72,8,3.269060,10.266064,-0.454935
*,*,*,231.415,940,0.06,16,2.14967,5.96852,2.1,6,0.0588073,69,6,2.715195,5.726223,-0.524106
*,*,*,240.804,930,0.07,17,2.13009,5.10699,2.1,5.1,0.0308963,67,8,3.019381,12.599258,-0.518172
*,*,*,254.68,930,0.07,18,3.81399,5.14616,3.83,5.1,0.0488528,64,11,3.956005,10.282572,-0.56164
*,*,*,268.59,920,0.08,19,3.8042,4.59791,3.83,4.6,0.0258834,61,7,2.562803,10.341916,-0.569413
*,*,*,287.457,910,0.09,20,2.08114,4.59791,2.1,4.6,0.018972,57,9,3.495629,14.909533,-0.599229
*,*,*,305.917,910,0.09,21,2.10072,3.4231,2.1,3.4,0.0231084,53,5,2.349531,12.722073,-0.642331
*,*,*,315.37,910,0.09,22,2.58044,3.45247,2.6,3.4,0.0559957,51,6,2.910663,14.892213,-0.686997
*,*,*,333.937,900,0.1,23,2.57065,4.14756,2.6,4.1,0.0558923,47,3,1.789538,14.971831,-0.721919
*,*,*,352.523,900,0.1,24,4.75384,4.06924,4.73,4.1,0.0389139,43,4,2.094572,5.712297,-0.749185
*,*,*,361.863,900,0.1,25,4.73426,2.85527,4.73,2.8,0.0554354,41,9,3.749516,3.419464,-0.781577
*,*,*,380.305,890,0.11,26,3.98042,2.80632,4,2.8,0.0205725,37,11,4.926149,8.035594,-0.790429
*,*,*,403.407,880,0.12,27,4.01958,3.56995,4,3.55,0.0279548,32,6,2.907037,7.372686,-0.840966
*,*,*,414.384,880,0.12,28,3.26575,3.55037,3.255,3.55,0.0107519,30,10,3.913101,19.820004,-0.848064
*,*,*,438.027,870,0.13,29,3.29512,2.78674,3.255,2.8,0.0422503,25,8,3.559129,15.339663,-0.916688
*,*,*,456.923,870,0.13,30,2.0224,2.83569,2.1,2.8,0.0854118,21,6,2.876419,9.083910,-0.989059
*,*,*,1.47016e+09,870,*,31,*,*,*,*,7.27279e-317,18,8,3.411781,11.401445,*
*,*,*,1.47016e+09,860,*,*,*,*,*,*,0.06568,13,144,0.000000,-86401.000000,*
*,*,*,2.42092e-322,0,*,*,*,*,*,*,0.0950503,0,0,0.000000,-86401.000000,*
