Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
ferdinand,1470160385.158591,False,0,1000,0,0,5.66432,6.01747,5.73,6,0.0679648,120,2,0.703448,22.197093,*
*,*,*,4.64008,1000,0,1,5.63495,4.63707,5.73,4.6,0.102023,119,5,2.088721,8.179998,-0.0865174
*,*,*,18.6944,990,0.01,2,6.20278,4.59791,6.23,4.6,0.0273042,116,10,6.789960,22.141390,-0.0554782
*,*,*,42.0651,980,0.02,3,6.19299,5.52797,6.23,5.5,0.0463932,111,8,3.923852,17.622799,-0.114795
*,*,*,60.9155,940,0.06,4,6.76081,5.54755,6.73,5.5,0.0566595,107,7,3.908874,6.947227,-0.142495
*,*,*,79.4929,930,0.07,5,6.79997,2.79653,6.73,2.8,0.0700575,103,7,3.941758,14.822172,-0.187543
*,*,*,93.3543,910,0.09,6,6.17341,2.81611,6.23,2.8,0.0588435,100,10,6.250974,14.949659,-0.199133
*,*,*,112.056,890,0.11,7,6.26152,4.08882,6.23,4.1,0.0334389,96,9,4.520102,11.700796,-0.210079
*,*,*,121.446,890,0.11,8,5.66432,4.1084,5.73,4.1,0.0662156,94,7,4.433587,5.329395,-0.254662
*,*,*,135.028,880,0.12,9,5.80138,2.84548,5.73,2.8,0.0846399,91,6,2.979330,20.395211,-0.29348
*,*,*,144.255,880,0.12,10,5.17482,2.83569,5.23,2.8,0.0657209,89,13,4.883307,21.786308,-0.299291
*,*,*,167.353,880,0.12,11,5.21398,4.6077,5.23,4.6,0.0177783,84,7,2.878109,12.732667,-0.313334
*,*,*,181.235,880,0.12,12,4.3035,4.65665,4.33,4.6,0.0625434,81,7,3.315929,6.831263,-0.376908
*,*,*,195.199,870,0.13,13,4.36224,5.0972,4.33,5.1,0.0323581,78,10,3.751206,5.726223,-0.379269
*,*,*,209.219,860,0.14,14,5.27272,5.16574,5.23,5.1,0.0783951,75,10,3.611420,12.599258,-0.438796
*,*,*,223.06,860,0.14,15,5.26293,6.00768,5.23,6,0.0338108,72,4,1.869112,3.438601,-0.435358
*,*,*,232.283,840,0.16,16,2.10072,5.9881,2.1,6,0.0119181,70,9,3.873748,6.862365,-0.428939
*,*,*,246.342,810,0.19,17,2.05177,5.11679,2.1,5.1,0.0510644,67,9,3.102768,11.746665,-0.473298
*,*,*,269.727,800,0.2,18,3.81399,5.07762,3.83,5.1,0.0275124,62,17,7.866530,14.971831,-0.500634
*,*,*,320.929,730,0.27,19,3.82378,4.59791,3.83,4.6,0.00656063,51,16,8.841897,10.351991,-0.55992
*,*,*,344.21,710,0.29,20,2.08114,4.59791,2.1,4.6,0.018972,46,6,2.266507,3.419464,-0.609229
*,*,*,353.319,710,0.29,21,2.13009,3.41331,2.1,3.4,0.0329051,44,4,1.578346,20.442120,-0.639679
*,*,*,362.429,700,0.3,22,2.57065,3.38394,2.6,3.4,0.0334594,42,8,3.405806,8.035594,-0.655095
*,*,*,376.459,690,0.31,23,2.59023,4.09861,2.6,4.1,0.00986888,39,8,3.915787,11.515879,-0.662402
*,*,*,396.738,680,0.32,24,4.72447,4.08882,4.73,4.1,0.0124687,35,6,2.390859,19.820004,-0.699352
*,*,*,406.259,680,0.32,25,4.75384,2.79653,4.73,2.8,0.0240919,33,7,3.504686,15.339663,-0.728069
*,*,*,425.444,680,0.32,26,3.96084,2.84548,4,2.8,0.0600157,29,10,5.057507,14.922358,-0.795012
*,*,*,445.025,660,0.34,27,4.01958,3.58953,4,3.55,0.0441143,24,6,3.175837,12.781420,-0.823086
*,*,*,459.008,660,0.34,28,3.24617,3.521,3.255,3.55,0.0303171,20,3,1.230939,3.204466,-0.852738
*,*,*,465.632,650,0.35,29,3.24617,2.83569,3.255,2.8,0.0367685,17,3,1.729354,7.697660,-0.882576
*,*,*,474.523,650,0.35,30,1.98324,2.88464,2.1,2.8,0.14421,13,3,1.556156,7.710348,-1.00316
*,*,*,1.47016e+09,630,*,31,*,*,*,*,6.6394e-317,8,2,0.827504,7.686194,*
*,*,*,1.47016e+09,610,*,*,*,*,*,*,0.06568,4,144,-86401.000000,-86401.000000,*
*,*,*,2.42092e-322,0,*,*,*,*,*,*,0.0950503,0,0,-86401.000000,-86401.000000,*
