Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
miranda,1470158889.717984,False,0,1000,0,0,5.72306,5.9881,5.73,6,0.0137722,120,1,0.000000,8.185063,*
*,*,*,2.23562,990,0.01,1,5.69369,4.61749,5.73,4.6,0.0403021,119,3,0.693659,5.605058,-0.0352266
*,*,*,11.6617,970,0.03,2,6.21257,4.63707,6.23,4.6,0.040965,116,4,1.688324,5.771220,-0.0557238
*,*,*,21.9225,950,0.05,3,6.19299,5.4986,6.23,5.5,0.037041,113,4,1.806839,5.648575,-0.0727807
*,*,*,28.8624,940,0.06,4,6.74123,5.4986,6.73,5.5,0.0113185,111,6,2.742930,5.640929,-0.0684888
*,*,*,39.0472,920,0.08,5,6.76081,2.83569,6.73,2.8,0.0471512,108,5,2.942725,4.402332,-0.115363
*,*,*,45.9317,920,0.08,6,6.27131,2.8259,6.23,2.8,0.0487556,106,6,2.931437,5.644665,-0.136567
*,*,*,59.572,910,0.09,7,6.24194,4.08882,6.23,4.1,0.016351,102,5,3.436526,5.621850,-0.147263
*,*,*,66.4052,900,0.1,8,5.6839,4.09861,5.73,4.1,0.0461205,100,5,2.384149,5.728085,-0.18459
*,*,*,76.5872,890,0.11,9,5.72306,2.83569,5.73,2.8,0.0363596,97,5,1.901172,5.630394,-0.20227
*,*,*,83.4653,880,0.12,10,5.17482,2.8259,5.23,2.8,0.060961,95,5,2.255626,4.323331,-0.235721
*,*,*,93.5611,860,0.14,11,5.25314,4.58812,5.23,4.6,0.026008,92,8,4.233580,4.443965,-0.229506
*,*,*,107.045,850,0.15,12,4.35245,4.64686,4.33,4.6,0.0519591,88,7,3.205080,5.676175,-0.283969
*,*,*,117.306,840,0.16,13,4.34266,5.16574,4.33,5.1,0.0669427,85,6,2.766717,9.000288,-0.320207
*,*,*,124.136,840,0.16,14,5.24335,5.17553,5.23,5.1,0.0766954,83,5,2.380624,5.554759,-0.347522
*,*,*,134.358,830,0.17,15,5.22377,5.97831,5.23,6,0.0225648,80,5,2.544752,5.787918,-0.331924
*,*,*,144.494,810,0.19,16,2.08114,5.95873,2.1,6,0.0453706,77,6,3.194860,5.634418,-0.369028
*,*,*,154.911,790,0.21,17,2.13988,5.10699,2.1,5.1,0.0404928,74,4,1.511517,2.175787,-0.38537
*,*,*,168.528,790,0.21,18,3.84336,5.04825,3.83,5.1,0.0534431,70,3,0.769146,4.428689,-0.435082
*,*,*,175.338,770,0.23,19,3.83357,4.62728,3.83,4.6,0.0275127,68,9,4.968780,5.633313,-0.425635
*,*,*,202.629,760,0.24,20,2.1203,4.56854,2.1,4.6,0.0374438,60,4,1.093213,12.440343,-0.508083
*,*,*,209.512,750,0.25,21,2.09093,3.40352,2.1,3.4,0.00972479,58,4,2.185686,7.890273,-0.502294
*,*,*,226.588,700,0.3,22,2.60981,3.40352,2.6,3.4,0.0104204,53,5,2.096386,2.208835,-0.527815
*,*,*,236.872,690,0.31,23,2.56086,4.14756,2.6,4.1,0.0615995,50,5,1.793348,8.913852,-0.5912
*,*,*,243.712,690,0.31,24,4.71468,4.06924,4.73,4.1,0.0343598,48,5,3.117881,5.649437,-0.59077
*,*,*,253.783,690,0.31,25,4.68531,2.85527,4.73,2.8,0.0710781,45,5,2.142579,5.603193,-0.648309
*,*,*,267.498,670,0.33,26,4.01958,2.83569,4,2.8,0.0407108,41,5,2.661288,5.559261,-0.655533
*,*,*,274.2,670,0.33,27,3.99021,3.521,4,3.55,0.0306081,39,6,2.182641,4.440344,-0.667956
*,*,*,284.421,670,0.33,28,3.25596,3.48184,3.255,3.55,0.0681687,36,6,3.185529,5.669746,-0.726126
*,*,*,294.757,660,0.34,29,3.23638,2.81611,3.255,2.8,0.0246265,33,5,2.596755,5.650287,-0.71847
*,*,*,301.603,660,0.34,30,1.94408,2.84548,2.1,2.8,0.162416,31,5,2.430722,4.447936,-0.841812
*,*,*,1.47016e+09,640,*,31,*,*,*,*,1.83615e-316,28,6,3.561573,0.000000,*
*,*,*,1.47016e+09,610,*,*,*,*,*,*,*,24,8250,0.000000,0.000000,*
*,*,*,1.3488e-321,0,*,*,*,*,*,*,*,0,0,0.000000,0.000000,*
