Robot,Runtime,Run Before,Arrival Time,Health at Goal,Percent Damage, Estimated Goal Index, Given x,Given y,Expected x,Expected y,Disparity, Time Remaining At Goal,Mouse Clicks,Mouse Movements, Ignorance Time,Cognitive Load Estimate
trinculo,1469407439.884634,False,0,1000,0,0,5.69369,5.99789,5.73,6,0.0363703,120,1,1849.797290,8.337514,*
*,*,*,6.80553,980,0.02,1,5.64474,4.59791,5.73,4.6,0.0852855,118,3,11555.700800,10.750824,-0.0739642
*,*,*,26.3879,950,0.05,2,6.26152,4.61749,6.23,4.6,0.0360439,114,7,34451.826146,28.973038,-0.0620329
*,*,*,58.9985,940,0.06,3,6.1832,5.48881,6.23,5.5,0.0481238,107,11,36743.444415,2.206444,-0.136093
*,*,*,82.1512,910,0.09,4,6.71186,5.55734,6.73,5.5,0.06014,102,6,28790.804845,14.981281,-0.180105
*,*,*,100.873,910,0.09,5,6.73144,2.8259,6.73,2.8,0.0259414,98,8,41363.719151,14.827656,-0.194456
*,*,*,119.383,900,0.1,6,6.25173,2.8259,6.23,2.8,0.0338068,94,10,64015.933648,25.895508,-0.235355
*,*,*,142.89,880,0.12,7,6.21257,4.04966,6.23,4.1,0.0532698,89,10,58261.090664,10.845730,-0.289952
*,*,*,157.339,870,0.13,8,5.74264,4.07903,5.73,4.1,0.0244814,86,8,48440.131051,6.748526,-0.293361
*,*,*,171.141,870,0.13,9,5.71327,2.8259,5.73,2.8,0.0308342,83,5,37816.901466,5.685469,-0.328126
*,*,*,180.488,860,0.14,10,5.16502,2.81611,5.23,2.8,0.066943,81,7,48896.027531,10.232970,-0.370207
*,*,*,194.38,860,0.14,11,5.1944,4.54896,5.23,4.6,0.0622324,78,6,35446.196250,5.935464,-0.396674
*,*,*,204.031,850,0.15,12,4.29371,4.59791,4.33,4.6,0.0363541,76,6,58293.886152,5.627066,-0.392266
*,*,*,217.832,830,0.17,13,4.29371,5.06783,4.33,5.1,0.0484961,73,6,68369.060342,5.704684,-0.421372
*,*,*,227.217,820,0.18,14,5.26293,5.0972,5.23,5.1,0.0330446,71,6,96451.291509,19.755688,-0.424783
*,*,*,250.652,820,0.18,15,5.18461,5.96852,5.23,6,0.0552401,66,7,90050.192513,14.940459,-0.49143
*,*,*,269.257,820,0.18,16,2.07135,5.99789,2.1,6,0.0287238,62,7,88915.782769,14.808833,-0.511543
*,*,*,287.719,820,0.18,17,2.07135,5.12657,2.1,5.1,0.039075,58,8,89429.059723,14.987514,-0.559306
*,*,*,306.27,820,0.18,18,3.79441,5.0972,3.83,5.1,0.0356989,54,7,75965.697675,14.998871,-0.596774
*,*,*,324.893,820,0.18,19,3.77483,4.59791,3.83,4.6,0.0552089,50,6,78932.966837,5.626050,-0.651407
*,*,*,338.744,790,0.21,20,2.03219,4.56854,2.1,4.6,0.0747498,47,8,113075.709629,10.209937,-0.681062
*,*,*,352.62,780,0.22,21,2.04198,3.4231,2.1,3.4,0.0624453,44,7,99169.951970,10.162274,-0.696834
*,*,*,366.428,780,0.22,22,2.57065,3.43289,2.6,3.4,0.0440807,41,7,85990.597229,16.294846,-0.713061
*,*,*,385.168,750,0.25,23,2.63918,4.1084,2.6,4.1,0.0400707,37,7,84600.553995,5.689720,-0.735053
*,*,*,394.522,740,0.26,24,4.71468,4.08882,4.73,4.1,0.0189629,35,9,114742.427340,14.871869,-0.734222
*,*,*,413.099,730,0.27,25,4.74405,2.8259,4.73,2.8,0.0294671,31,7,79587.828242,5.432443,-0.7771
*,*,*,426.861,720,0.28,26,3.98042,2.81611,4,2.8,0.0253546,28,7,74278.204690,5.633146,-0.799016
*,*,*,436.074,720,0.28,27,3.98042,3.51121,4,3.55,0.0434518,26,7,85245.221280,10.309680,-0.832589
*,*,*,449.871,720,0.28,28,3.2168,3.54058,3.255,3.55,0.0393494,23,6,78107.784838,10.336517,-0.859512
*,*,*,463.797,720,0.28,29,3.28533,2.76716,3.255,2.8,0.0447001,20,5,103928.885005,14.416216,-0.893525
*,*,*,480.65,690,0.31,30,1.94408,2.81611,2.1,2.8,0.156748,16,4,102594.390798,11.332804,-1.00256
*,*,*,1.46941e+09,690,*,31,*,*,*,*,1.13372e-316,12,10,165298.048137,18.841495,*
*,*,*,1.46941e+09,680,*,*,*,*,*,*,6.78633e+247,5,144,0.000000,0.000000,*
*,*,*,4.00193e-322,0,*,*,*,*,*,*,9.83627e-317,0,0,0.000000,0.000000,*
