Trusted?,Disparity,Health,Time Remaining,Percent Trust,Collected Coins,Coin X,Coin Y,RobotStart X,RobotStart Y
False,0.0,99.0,119,0.0,0,5.972203674117448,4.6,5.972203674117448,4.6
False,0.09911308869772359,81.0,103,0.0,0,5.972203674117448,4.6,5.972203674117448,4.6
False,0.22875951805330516,78.0,95,0.0,0,5.972203674117448,4.6,5.972203674117448,4.6
False,0.07167429418069599,76.0,86,0.0,0,5.972203674117448,4.6,5.972203674117448,4.6
False,0.247198413569767,76.0,77,0.0,0,5.972203674117448,4.6,5.972203674117448,4.6
False,0.22154886213751968,86.0,84,0.0,1,5.73,3.842435209421354,5.73,3.842435209421354
False,0.03703707815682414,96.0,65,0.0,2,4.0,2.965395260219,4.0,2.965395260219
False,0.2230658725290212,96.0,57,0.0,2,4.0,2.965395260219,4.0,2.965395260219
False,0.03609799857316099,96.0,51,0.0,2,4.0,2.965395260219,4.0,2.965395260219
False,0.1625798985536437,99,27,0.0,3,6.23,4.655923891108872,6.23,4.655923891108872
False,0.43566644817388667,83,19,0.0,3,6.23,4.655923891108872,6.23,4.655923891108872
False,0.05815961286346269,81,9,0.0,3,6.23,4.655923891108872,6.23,4.655923891108872
False,0.32866826259750226,80,32,0.0,4,6.391562110734496,6.0,6.391562110734496,6.0
